id_deporte,nombre
1,Aeronautics
2,Air Sports
3,Aquatics
4,Archery
5,Art Competitions
6,Athletics
7,Australian Rules Football
8,Badminton
9,Bandy
10,Baseball/Softball
11,Basketball
12,Basque Pelota
13,Biathlon
14,Bobsleigh
15,Boxing
16,Breaking
17,Canoeing
18,Cricket
19,Croquet
20,Curling
21,Cycling
22,Equestrian
23,Fencing
24,Football
25,Glíma
26,Golf
27,Gymnastics
28,Handball
29,Hockey
30,Ice Hockey
31,Intercalated
32,Jeu de Paume
33,Judo
34,Karate
35,Lacrosse
36,Luge
37,Modern Pentathlon
38,Motorboating
39,Mountaineering
40,Olympic
41,Olympic (non-medal)
42,Polo
43,Racquets
44,Roller Sports
45,Roque
46,Rowing
47,Rugby
48,Sailing
49,Savate
50,Shooting
51,Skating
52,Ski Mountaineering
53,Skiing
54,Sport Climbing
55,Surfing
56,Table Tennis
57,Taekwondo
58,Tennis
59,Triathlon
60,Tug-of-War
61,Volleyball
62,Weightlifting
63,Winter Pentathlon
64,Wrestling
65,YOG
