id_entidad,nombre,codigo_pais
1,Antigua,
2,Bahamas,
3,Cook Islands,
4,Czech Republic,
5,Gambia,
6,Individual Olympic Athletes,
7,NA,
8,Palestine,
9,Republic of Congo,
10,Saint Kitts,
11,Saint Vincent,
12,Taiwan,
13,Trinidad,
14,Vietnam,
15,"Virgin Islands, British",
16,"Virgin Islands, US",
17,Aruba,ABW
18,Africa Eastern and Southern,AFE
19,Afghanistan,AFG
20,Africa Western and Central,AFW
21,Angola,AGO
22,Albania,ALB
23,Andorra,AND
24,Arab World,ARB
25,United Arab Emirates,ARE
26,Argentina,ARG
27,Armenia,ARM
28,American Samoa,ASM
29,Antigua and Barbuda,ATG
30,Australia,AUS
31,Austria,AUT
32,Azerbaijan,AZE
33,Burundi,BDI
34,Belgium,BEL
35,Benin,BEN
36,Burkina Faso,BFA
37,Bangladesh,BGD
38,Bulgaria,BGR
39,Bahrain,BHR
40,"Bahamas, The",BHS
41,Bosnia and Herzegovina,BIH
42,Belarus,BLR
43,Belize,BLZ
44,Bermuda,BMU
45,Bolivia,BOL
46,Brazil,BRA
47,Barbados,BRB
48,Brunei Darussalam,BRN
49,Bhutan,BTN
50,Botswana,BWA
51,Central African Republic,CAF
52,Canada,CAN
53,Central Europe and the Baltics,CEB
54,Switzerland,CHE
55,Channel Islands,CHI
56,Chile,CHL
57,China,CHN
58,Cote d'Ivoire,CIV
59,Cameroon,CMR
60,"Congo, Dem. Rep.",COD
61,"Congo, Rep.",COG
62,Colombia,COL
63,Comoros,COM
64,Cabo Verde,CPV
65,Costa Rica,CRI
66,Caribbean small states,CSS
67,Cuba,CUB
68,Curacao,CUW
69,Cayman Islands,CYM
70,Cyprus,CYP
71,Czechia,CZE
72,Germany,DEU
73,Djibouti,DJI
74,Dominica,DMA
75,Denmark,DNK
76,Dominican Republic,DOM
77,Algeria,DZA
78,East Asia & Pacific (excluding high income),EAP
79,Early-demographic dividend,EAR
80,East Asia & Pacific,EAS
81,Europe & Central Asia (excluding high income),ECA
82,Europe & Central Asia,ECS
83,Ecuador,ECU
84,"Egypt, Arab Rep.",EGY
85,Euro area,EMU
86,Eritrea,ERI
87,Spain,ESP
88,Estonia,EST
89,Ethiopia,ETH
90,European Union,EUU
91,Fragile and conflict affected situations,FCS
92,Finland,FIN
93,Fiji,FJI
94,France,FRA
95,Faroe Islands,FRO
96,"Micronesia, Fed. Sts.",FSM
97,Gabon,GAB
98,United Kingdom,GBR
99,Georgia,GEO
100,Ghana,GHA
101,Gibraltar,GIB
102,Guinea,GIN
103,"Gambia, The",GMB
104,Guinea-Bissau,GNB
105,Equatorial Guinea,GNQ
106,Greece,GRC
107,Grenada,GRD
108,Greenland,GRL
109,Guatemala,GTM
110,Guam,GUM
111,Guyana,GUY
112,High income,HIC
113,"Hong Kong SAR, China",HKG
114,Honduras,HND
115,Heavily indebted poor countries (HIPC),HPC
116,Croatia,HRV
117,Haiti,HTI
118,Hungary,HUN
119,IBRD only,IBD
120,IDA & IBRD total,IBT
121,IDA total,IDA
122,IDA blend,IDB
123,Indonesia,IDN
124,IDA only,IDX
125,Isle of Man,IMN
126,India,IND
127,Not classified,INX
128,Ireland,IRL
129,"Iran, Islamic Rep.",IRN
130,Iraq,IRQ
131,Iceland,ISL
132,Israel,ISR
