id_sede,nombre,id_pais
1,Athina,106
2,Paris,94
3,St. Louis,268
4,London,98
5,Stockholm,240
6,Antwerpen,34
7,Chamonix,94
8,Amsterdam,193
9,Sankt Moritz,54
10,Los Angeles,268
11,Lake Placid,268
12,Berlin,72
13,Garmisch-Partenkirchen,72
14,Helsinki,92
15,Oslo,194
16,Melbourne,30
17,Cortina d'Ampezzo,133
18,Roma,133
19,Squaw Valley,268
20,Tokyo,136
21,Innsbruck,31
22,Mexico City,171
23,Grenoble,94
24,Munich,72
25,Sapporo,136
26,Montreal,52
27,Moskva,219
28,Sarajevo,41
29,Seoul,143
30,Calgary,52
31,Barcelona,87
32,Albertville,94
33,Lillehammer,194
34,Atlanta,268
35,Nagano,136
36,Sydney,30
37,Salt Lake City,268
38,Torino,133
39,Beijing,57
40,Vancouver,52
41,Sochi,219
42,Rio de Janeiro,46
