fuente,valor_fuente,deporte_final,disciplina_final,criterio,evidencia_referencia,estado,filas_afectadas
fuente1,3-on-3 Ice Hockey (Ice Hockey),Ice Hockey,3-on-3 Ice Hockey,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,195
fuente1,3x3 Basketball (Basketball),Basketball,Basketball 3x3,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,67
fuente1,Alpine Skiing (Skiing),Skiing,Alpine Skiing,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,11103
fuente1,Archery,Archery,Archery,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,2625
fuente1,Art Competitions,Art Competitions,Art Competitions,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,87
fuente1,Artistic Gymnastics (Gymnastics),Gymnastics,Artistic Gymnastics,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,27721
fuente1,Artistic Swimming (Aquatics),Aquatics,Artistic Swimming,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1033
fuente1,Athletics,Athletics,Athletics,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,45916
fuente1,Australian Rules Football,Australian Rules Football,Australian Rules Football,denominación histórica documentada en la evolución del programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1
fuente1,Badminton,Badminton,Badminton,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,1649
fuente1,Ballooning (Air Sports),Air Sports,Ballooning,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,7
fuente1,Bandy,Bandy,Bandy,denominación canónica contrastada con el programa olímpico,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=3415338&parentDocumentId=3415336&skipCopyright=true&skipWatermark=true,RESOLVED,1
fuente1,Baseball (Baseball/Softball),Baseball/Softball,Baseball,jerarquía explícita Discipline (Sport) en Fuente 1,https://library.olympics.com/digitalCollection/DigitalCollectionAttachmentDownloadHandler.ashx?documentId=174689&parentDocumentId=174657&skipCopyright=true&skipWatermark=true,RESOLVED,1068
