fuente,archivo,columna,problema_detectado,regla_aplicada,justificacion,valores_afectados,operaciones_procesadas
fuente1,data/raw/fuente1/clean/bios.csv,*,espacios en texto,Aplicar strip() a columnas textuales sin eliminar tildes ni Unicode.,Evitar diferencias artificiales por espacios y conservar el contenido original.,943,943
fuente1,data/raw/fuente1/clean/bios.csv,NOC,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/bios.csv,born_city,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,34592
fuente1,data/raw/fuente1/clean/bios.csv,born_country,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,34592
fuente1,data/raw/fuente1/clean/bios.csv,born_date,fecha no ISO o fecha validable,Normalizar fechas interpretables a YYYY-MM-DD.,Alinear las fechas con el tipo DATE previsto en el modelo ER.,0,143693
fuente1,data/raw/fuente1/clean/bios.csv,born_date,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1807
fuente1,data/raw/fuente1/clean/bios.csv,born_region,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,34592
fuente1,data/raw/fuente1/clean/bios.csv,died_date,fecha no ISO o fecha validable,Normalizar fechas interpretables a YYYY-MM-DD.,Alinear las fechas con el tipo DATE previsto en el modelo ER.,0,33940
fuente1,data/raw/fuente1/clean/bios.csv,died_date,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,111560
fuente1,data/raw/fuente1/clean/bios.csv,height_cm,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,38849
fuente1,data/raw/fuente1/clean/bios.csv,height_cm,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,106651,106651
fuente1,data/raw/fuente1/clean/bios.csv,weight_kg,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,43430
fuente1,data/raw/fuente1/clean/bios.csv,weight_kg,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,102070,102070
fuente1,data/raw/fuente1/clean/bios_locs.csv,*,espacios en texto,Aplicar strip() a columnas textuales sin eliminar tildes ni Unicode.,Evitar diferencias artificiales por espacios y conservar el contenido original.,943,943
fuente1,data/raw/fuente1/clean/bios_locs.csv,NOC,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/bios_locs.csv,born_city,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,34592
fuente1,data/raw/fuente1/clean/bios_locs.csv,born_country,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,34592
fuente1,data/raw/fuente1/clean/bios_locs.csv,born_date,fecha no ISO o fecha validable,Normalizar fechas interpretables a YYYY-MM-DD.,Alinear las fechas con el tipo DATE previsto en el modelo ER.,0,143693
fuente1,data/raw/fuente1/clean/bios_locs.csv,born_date,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1807
fuente1,data/raw/fuente1/clean/bios_locs.csv,born_region,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,34592
fuente1,data/raw/fuente1/clean/bios_locs.csv,died_date,fecha no ISO o fecha validable,Normalizar fechas interpretables a YYYY-MM-DD.,Alinear las fechas con el tipo DATE previsto en el modelo ER.,0,33940
fuente1,data/raw/fuente1/clean/bios_locs.csv,died_date,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,111560
fuente1,data/raw/fuente1/clean/bios_locs.csv,height_cm,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,38849
fuente1,data/raw/fuente1/clean/bios_locs.csv,height_cm,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,106651,106651
fuente1,data/raw/fuente1/clean/bios_locs.csv,lat,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,75955
fuente1,data/raw/fuente1/clean/bios_locs.csv,lat,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,501,69545
