fuente,archivo,columna,valor_original,frecuencia,motivo
fuente1,data/raw/fuente1/raw/bios.csv,Born,(1926 or 1927),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(c. 1915),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(c. 1929),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1897),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1902),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1904),2,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1907),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1909),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1911),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1912),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1914),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1915),2,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1917),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1919),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1920),3,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1921),3,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1923),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1924),5,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1925),3,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1926),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1927),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1928),3,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1929),5,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1931),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1932),5,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1933),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1934),3,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1935),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,(circa 1936),1,No se identificó una fecha completa.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1905,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1910,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1913,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1922,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1928,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1929,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1935,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1939,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1940,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1942,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1943,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1945,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1949,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1950,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1951,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1952,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1953,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1954,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1955,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1957,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1958,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1959,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1960,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1962,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1963,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1964,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1965,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1966,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1969,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1970,3,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1972,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1973,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1976,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1978,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1979,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1980,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1982,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1984,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1987,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1989,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1991,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 1995,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 2000,1,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 2003,2,Fecha extraída sin ciudad/región explícita.
fuente1,data/raw/fuente1/raw/bios.csv,Born,1 April 2004,3,Fecha extraída sin ciudad/región explícita.
