componente_atleta,miembros,nombres,tamano,fuentes,pares_evaluados,pares_safe,pares_review_conflict,pares_same_source_review,transitividad_insegura,attribute_conflict,clasificacion,id_atleta_canonico_propuesto,nombre_canonico_propuesto,puntuacion_completitud_canonico,razon,campos_a_rellenar,campos_attribute_conflict
AT000001,2;197394,Arnaud Boetsch | Arnaud Boetsch,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,2,Arnaud Boetsch,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000002,6;205589,Nicolas Chatelain | Nicolas Chatelain,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,6,Nicolas Chatelain,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000003,8;207610,Henri Cochet | Henri Cochet,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,8,Henri Cochet,15/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000004,25;256063,Paul Lecaron | Paul Lecaron,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,25,Paul Lecaron,15/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000005,32;289990,Guillaume Raoux | Guillaume Raoux,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,32,Guillaume Raoux,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000006,34;296583,Jean-Pierre Samazeuilh | Jean-Pierre Samazeuilh,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,34,Jean-Pierre Samazeuilh,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000007,49;157348,Alison Gordon | Alison Helen Gordon,2,fuente1 | fuente2 | fuente3,1,1,0,0,NO,NO,SAFE_ATHLETE_COMPONENT,49,Alison Gordon,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,
AT000008,51;230779,Alice Greene | Alice Greene,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,51,Alice Greene,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000009,54;238011,Andrea Holt | Andrea Holt,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,54,Andrea Holt,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000010,55;160544,Monique Javer | Monique Alicia Javer,2,fuente1 | fuente2 | fuente3,1,1,0,0,NO,NO,SAFE_ATHLETE_COMPONENT,55,Monique Javer,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,
AT000011,66;175372,Sara Sankey | Sara Louise Sankey,2,fuente1 | fuente2 | fuente3,1,1,0,0,NO,NO,SAFE_ATHLETE_COMPONENT,66,Sara Sankey,13/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,
AT000012,68;301195,Dorothy Shepherd-Barron | Dorothy Shepherd-barron,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,68,Dorothy Shepherd-Barron,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000013,70;180075,Helen Troke | Helen Suzanne Troke,2,fuente1 | fuente2 | fuente3,1,1,0,0,NO,NO,SAFE_ATHLETE_COMPONENT,70,Helen Troke,13/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,
AT000014,86;209423,Walter Crawley | Walter Crawley,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,86,Walter Crawley,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000015,90;216732,Desmond Douglas | Desmond Douglas,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,90,Desmond Douglas,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000016,92;220245,Lionel Escombe | Lionel Escombe,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,92,Lionel Escombe,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000017,95;228918,Leslie Godfree | Leslie Godfree,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,95,Leslie Godfree,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000018,96;157318,Andy Goode | Andy Brian Goode,2,fuente1 | fuente2 | fuente3,1,1,0,0,NO,NO,SAFE_ATHLETE_COMPONENT,96,Andy Goode,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,
AT000019,100;237091,George Hillyard | George Hillyard,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,100,George Hillyard,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000020,102;248735,Algernon Kingscote | Algernon Kingscote,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,102,Algernon Kingscote,15/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000021,104;260892,Arthur Lowe | Arthur Lowe,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,104,Arthur Lowe,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000022,109;277251,Arthur Norris | Arthur Norris,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,109,Arthur Norris,7/3,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000023,110;282008,James Parke | James Parke,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,110,James Parke,15/5,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000024,117;309273,Matthew Syed | Matthew Syed,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,117,Matthew Syed,12/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
AT000025,130;277071,Katja Nolten | Katja Nolten,2,fuente1 | fuente2 | fuente3,1,0,1,1,NO,NO,REVIEW_ATHLETE_COMPONENT,130,Katja Nolten,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,
