id_atleta_a,nombre_a,id_atleta_b,nombre_b,fuentes,fecha_a,fecha_b,sexo_a,sexo_b,contextos_a,contextos_b,contextos_compartidos,contextos_solo_a,contextos_solo_b,conflictos_biograficos,unicidad,score_nombre,score_contexto,clasificacion_final,razon,tipo_muestra
166389,Marina Marghiev-Nicienco,264321,Marina Marghiev-nicienco,fuente2 | fuente3,,,F,F,"[""2008 Summer | MDA | Moldova | athletics hammer throw women | "", ""2016 Summer | MDA | Moldova | athletics hammer throw women | ""]","[""2016 Summer | MDA | Moldova | athletics hammer throw women | ""]","[""2016 Summer | MDA | Moldova | athletics hammer throw women | ""]","[""2008 Summer | MDA | Moldova | athletics hammer throw women | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.5,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
42583,Alex Tripolski,314587,Alex Tripolski,fuente1 | fuente2 | fuente3,1962-04-02,,Male,M,"[""1996 Summer | ISR |  | 10 air men metres pistol | "", ""1996 Summer | ISR |  | 50 free men metres pistol | "", ""1996 Summer | ISR | Israel | 10 air men metres pistol shooting | "", ""1996 Summer | ISR | Israel | 50 free men metres pistol shooting | ""]","[""1996 Summer | ISR | Israel | 50 free men metres pistol shooting | ""]","[""1996 Summer | ISR | Israel | 50 free men metres pistol shooting | ""]","[""1996 Summer | ISR |  | 10 air men metres pistol | "", ""1996 Summer | ISR |  | 50 free men metres pistol | "", ""1996 Summer | ISR | Israel | 10 air men metres pistol shooting | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
160780,Jo Seong-Min,243311,Jo Seong-min,fuente2 | fuente3,,,M,M,"[""2012 Summer | KOR | South Korea | dinghy men person sailing two | ""]","[""2012 Summer | KOR | South Korea | dinghy men person sailing two | ""]","[""2012 Summer | KOR | South Korea | dinghy men person sailing two | ""]",[],[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,1.0,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
67082,Arvo Huutoniemi,239802,Arvo Huutoniemi,fuente1 | fuente2 | fuente3,1913-10-29,,Male,M,"[""1948 Summer | FIN |  | discus men throw | "", ""1948 Summer | FIN | Finland | athletics discus men throw | "", ""1952 Summer | FIN |  | discus men throw | "", ""1952 Summer | FIN | Finland | athletics discus men throw | ""]","[""1952 Summer | FIN | Finland | athletics discus men throw | ""]","[""1952 Summer | FIN | Finland | athletics discus men throw | ""]","[""1948 Summer | FIN |  | discus men throw | "", ""1948 Summer | FIN | Finland | athletics discus men throw | "", ""1952 Summer | FIN |  | discus men throw | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
33251,Khaliuny Boldbaatar,247372,Khaliuny Boldbaatar,fuente1 | fuente2 | fuente3,1971-10-20,,Male,M,"[""1992 Summer | MGL |  | lightweight men | "", ""1992 Summer | MGL | Mongolia | judo lightweight men | "", ""1996 Summer | MGL |  | lightweight men | "", ""1996 Summer | MGL | Mongolia | judo lightweight men | ""]","[""1996 Summer | MGL | Mongolia | judo lightweight men | ""]","[""1996 Summer | MGL | Mongolia | judo lightweight men | ""]","[""1992 Summer | MGL |  | lightweight men | "", ""1992 Summer | MGL | Mongolia | judo lightweight men | "", ""1996 Summer | MGL |  | lightweight men | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
21080,Florent Bessemans,195649,Florent Bessemans,fuente1 | fuente2 | fuente3,1940-01-02,,Male,M,"[""1968 Summer | BEL |  | epee individual men | "", ""1968 Summer | BEL |  | foil individual men | "", ""1968 Summer | BEL | Belgium | epee fencing individual men | "", ""1968 Summer | BEL | Belgium | fencing foil individual men | ""]","[""1968 Summer | BEL | Belgium | epee fencing individual men | ""]","[""1968 Summer | BEL | Belgium | epee fencing individual men | ""]","[""1968 Summer | BEL |  | epee individual men | "", ""1968 Summer | BEL |  | foil individual men | "", ""1968 Summer | BEL | Belgium | fencing foil individual men | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
33131,Lars Adolfsson,184478,Lars Adolfsson,fuente1 | fuente2 | fuente3,1965-12-20,,Male,M,"[""1988 Summer | SWE |  | half men middleweight | "", ""1988 Summer | SWE | Sweden | half judo men middleweight | "", ""1992 Summer | SWE |  | half men middleweight | "", ""1992 Summer | SWE | Sweden | half judo men middleweight | "", ""2020 Summer | POL | Poland | four men team | ""]","[""1992 Summer | SWE | Sweden | half judo men middleweight | "", ""2020 Summer | POL | Poland | 50km men race walk | ""]","[""1992 Summer | SWE | Sweden | half judo men middleweight | ""]","[""1988 Summer | SWE |  | half men middleweight | "", ""1988 Summer | SWE | Sweden | half judo men middleweight | "", ""1992 Summer | SWE |  | half men middleweight | "", ""2020 Summer | POL | Poland | four men team | ""]","[""2020 Summer | POL | Poland | 50km men race walk | ""]","[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.166667,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
102159,Tina Thompson,312261,Tina Thompson,fuente1 | fuente2 | fuente3,1975-02-10,,Female,F,"[""2004 Summer | USA | United States | basketball women | Gold"", ""2008 Summer | USA | United States | basketball women | Gold""]","[""2008 Summer | USA | United States | basketball women | Gold""]","[""2008 Summer | USA | United States | basketball women | Gold""]","[""2004 Summer | USA | United States | basketball women | Gold""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.5,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
78156,George Mattos,266214,George Mattos,fuente1 | fuente2 | fuente3,1929-10-06,,Male,M,"[""1952 Summer | USA |  | men pole vault | "", ""1952 Summer | USA | United States | athletics men pole vault | "", ""1956 Summer | USA |  | men pole vault | "", ""1956 Summer | USA | United States | athletics men pole vault | ""]","[""1956 Summer | USA | United States | athletics men pole vault | ""]","[""1956 Summer | USA | United States | athletics men pole vault | ""]","[""1952 Summer | USA |  | men pole vault | "", ""1952 Summer | USA | United States | athletics men pole vault | "", ""1956 Summer | USA |  | men pole vault | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
113695,Joel Milburn,269599,Joel Milburn,fuente1 | fuente2 | fuente3,1986-03-17,,Male,M,"[""2008 Summer | AUS |  | 400 men metres | "", ""2008 Summer | AUS | Australia | 4 400 athletics men metres relay x | "", ""2008 Summer | AUS | Australia | 4 400 men metres relay x | "", ""2008 Summer | AUS | Australia | 400 athletics men metres | ""]","[""2008 Summer | AUS | Australia | 4 400 athletics men metres relay x | ""]","[""2008 Summer | AUS | Australia | 4 400 athletics men metres relay x | ""]","[""2008 Summer | AUS |  | 400 men metres | "", ""2008 Summer | AUS | Australia | 4 400 men metres relay x | "", ""2008 Summer | AUS | Australia | 400 athletics men metres | ""]",[],"[""unknown: fecha_nacimiento, fecha_fallecimiento, nacionalidad, altura_cm, peso_kg""]",UNICA,1.0,0.25,EXACT_DUPLICATE_IDENTITY,"Nombre normalizado idéntico, contexto compartido, sin conflicto biográfico y candidato único.",EXACT_DUPLICATE_IDENTITY
