fuente,estado,tipo_match,cantidad,deterministic,fuzzy
fuente1,MATCHED,SOURCE1_BASE,145500,False,False
fuente2,AMBIGUOUS,DETERMINISTIC_AMBIGUOUS,1009,True,False
fuente2,MATCHED,DETERMINISTIC_STRONG,97748,True,False
fuente2,UNMATCHED,NEW_SOURCE_ENTITY,36814,False,False
fuente3,AMBIGUOUS,DETERMINISTIC_AMBIGUOUS,1845,True,False
fuente3,MATCHED,DETERMINISTIC_CONTEXTUAL,496,True,False
fuente3,MATCHED,DETERMINISTIC_STRONG,79961,True,False
fuente3,UNMATCHED,NEW_SOURCE_ENTITY,153601,False,False
fuente4,AMBIGUOUS,DETERMINISTIC_AMBIGUOUS,3,True,False
fuente4,MATCHED,DETERMINISTIC_STRONG,32,True,False
