id_atleta_origen_a,nombre_a,id_atleta_origen_b,nombre_b,fuentes_atleta_a,fuentes_atleta_b,ids_originales_a,ids_originales_b,contextos_compartidos,biografia_estado,senales_altura_peso,same_source,clasificacion,razon,event_aliases_used,id_atleta_canonico_propuesto
2,Arnaud Boetsch,197394,Arnaud Boetsch,fuente1 | fuente2 | fuente3,fuente3,fuente1:2 | fuente2:12698 | fuente3:24217,fuente3:24218,"[""1996 Summer | FRA | France | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
6,Nicolas Chatelain,205589,Nicolas Chatelain,fuente1 | fuente2 | fuente3,fuente3,fuente1:6 | fuente2:19978 | fuente3:38833,fuente3:38834,"[""1992 Summer | FRA | France-1 | 2245 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
8,Henri Cochet,207610,Henri Cochet,fuente1 | fuente2 | fuente3,fuente3,fuente1:8 | fuente2:22149 | fuente3:42945,fuente3:42946,"[""1924 Summer | FRA | France-1 | 2 | Silver""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
25,Paul Lecaron,256063,Paul Lecaron,fuente1 | fuente2 | fuente3,fuente3,fuente1:25 | fuente2:67675 | fuente3:134427,fuente3:134428,"[""1900 Summer | FRA | France-3 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
32,Guillaume Raoux,289990,Guillaume Raoux,fuente1 | fuente2 | fuente3,fuente3,fuente1:32 | fuente2:98917 | fuente3:197035,fuente3:197036,"[""1996 Summer | FRA | France | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
34,Jean-Pierre Samazeuilh,296583,Jean-Pierre Samazeuilh,fuente1 | fuente2 | fuente3,fuente3,fuente1:34 | fuente2:104955 | fuente3:209055,fuente3:209056,"[""1920 Summer | FRA | France-2 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
49,Alison Gordon,157348,Alison Helen Gordon,fuente1 | fuente3,fuente2,fuente1:49 | fuente3:82281,fuente2:41793,"[""1992 Summer | GBR | Great Britain | 2075 | ""]",UNKNOWN/COMPATIBLE,"altura_cm: diferencia=0; señal, no regla de rechazo | peso_kg: diferencia=0; señal, no regla de rechazo",,SAFE_ATHLETE_PAIR,"Contexto compartido, candidato único y sin contradicción biográfica conocida.",SAFE_EVENT_COMPONENT_ONLY,49
51,Alice Greene,230779,Alice Greene,fuente1 | fuente2 | fuente3,fuente3,fuente1:51 | fuente2:42660 | fuente3:83935,fuente3:83936,"[""1908 Summer | GBR | Great Britain | 2263 | Silver""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
54,Andrea Holt,238011,Andrea Holt,fuente1 | fuente2 | fuente3,fuente3,fuente1:54 | fuente2:49573 | fuente3:97940,fuente3:97941,"[""1996 Summer | GBR | Great Britain | 2076 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAME_SOURCE_REVIEW,SAME_SOURCE_REVIEW: fuente3,SAFE_EVENT_COMPONENT_ONLY,
55,Monique Javer,160544,Monique Alicia Javer,fuente1 | fuente3,fuente2,fuente1:55 | fuente3:106931,fuente2:54058,"[""1992 Summer | GBR | Great Britain | 26 | ""]",UNKNOWN/COMPATIBLE,"altura_cm: diferencia=0; señal, no regla de rechazo | peso_kg: diferencia=0; señal, no regla de rechazo",,SAFE_ATHLETE_PAIR,"Contexto compartido, candidato único y sin contradicción biográfica conocida.",SAFE_EVENT_COMPONENT_ONLY,55
