entidad,filas_antes,filas_despues,diferencia,sha_backup,sha_preview,sha_processed_final,estado
ATLETA,338772,336419,-2353,9d9a1800843cb34f83ae7a6d9a6fd5ca24d12dc3a085baf58528ae43f70c6744,97b2089e82ea1f0d3ad4102f3d234b8cbe9e8928d00bebe05c8f246e778baa18,97b2089e82ea1f0d3ad4102f3d234b8cbe9e8928d00bebe05c8f246e778baa18,MATCH
DEPORTE,65,65,0,b096ecfdde1d7abf3eabcfa6ad80a58a485ee5351ea4e053ffd571e373b3738a,,b096ecfdde1d7abf3eabcfa6ad80a58a485ee5351ea4e053ffd571e373b3738a,MATCH
DISCIPLINA,117,117,0,2335e257494e011a86904d00ca87ef3844740a20dd1e39af39e56ddd1e00b3c5,,2335e257494e011a86904d00ca87ef3844740a20dd1e39af39e56ddd1e00b3c5,MATCH
EDICION_OLIMPICA,61,61,0,2c51d0a0c43627e182ab6262173327af70ff0e4fa0f62dea7f8bde73964013b1,,2c51d0a0c43627e182ab6262173327af70ff0e4fa0f62dea7f8bde73964013b1,MATCH
ENTIDAD_GEOGRAFICA,282,282,0,3630e019afdd63e7afd1e0e98aa60faad7d627113ec45703c9b662bb294ecb67,,3630e019afdd63e7afd1e0e98aa60faad7d627113ec45703c9b662bb294ecb67,MATCH
EVENTO,3106,3007,-99,8dd67d329bae3f45730f26dbf58c8d3dc60f0d45e1eeee131776e27af6cb613e,d40e80508e38a07e95d1a829ffc0d390477e92ff66d6f960c49cb985b35044cf,d40e80508e38a07e95d1a829ffc0d390477e92ff66d6f960c49cb985b35044cf,MATCH
NOC,236,236,0,5b687b1cfd49fa0da323f70dc0d053068fd22767df3a1c09f68e486965d17554,,5b687b1cfd49fa0da323f70dc0d053068fd22767df3a1c09f68e486965d17554,MATCH
PARTICIPACION,826605,733414,-93191,a89617f2f469ede6967884cd7c7365e97a1e7aa56710ace9a1daf0d23e1d9b15,e168d53a72fff69724a86e0d60d218f567d7140a229c904e1364bafb496abcc1,e168d53a72fff69724a86e0d60d218f567d7140a229c904e1364bafb496abcc1,MATCH
POBLACION,17024,17024,0,73b271ae1dcd517538ec9dcb490d24ba54fcb48ac974d25df03fcb43d7026161,,73b271ae1dcd517538ec9dcb490d24ba54fcb48ac974d25df03fcb43d7026161,MATCH
SEDE,42,42,0,1e3f0148c394460798a1a88259413d9cbfac97aa4257cb0c4896eb5e576d11f5,,1e3f0148c394460798a1a88259413d9cbfac97aa4257cb0c4896eb5e576d11f5,MATCH
