clave_logica_pre,filas,extras_duplicados_preexistentes,id_atleta,id_edicion,id_evento_original,id_noc,equipo,medalla,ids_participacion,componentes_safe_relacionados
28|2|23|73|B|,2,1,28,2,23,73,B,,116;117,
2739|3|19|223||,2,1,2739,3,19,223,,,5776;5777,
2743|3|19|223||,2,1,2743,3,19,223,,,5790;5791,
2746|3|19|223||,2,1,2746,3,19,223,,,5803;5804,
2747|3|19|223||,2,1,2747,3,19,223,,,5806;5807,
2755|3|132|223||,2,1,2755,3,132,223,,,5824;5825,
2757|3|19|223||,2,1,2757,3,19,223,,,5830;5831,
2764|3|138|223||,2,1,2764,3,138,223,,,5854;5855,
2777|3|19|223||,2,1,2777,3,19,223,,,5897;5898,
2778|3|132|223||,2,1,2778,3,132,223,,,5902;5903,
2780|3|147|223||,2,1,2780,3,147,223,,,5916;5917,
2782|3|19|223||,2,1,2782,3,19,223,,,5921;5922,
2784|3|19|223||,2,1,2784,3,19,223,,,5929;5930,
8676|3|164|223||,2,1,8676,3,164,223,,,13242;13243,
8676|3|166|223||,2,1,8676,3,166,223,,,13245;13246,
11222|3|132|38||,4,3,11222,3,132,38,,,18104;18105;18106;18107,
11588|7|215|21|Weppelghem|,2,1,11588,7,215,21,Weppelghem,,19214;19216,
11683|7|216|223|Nigra / United States|,2,1,11683,7,216,223,Nigra / United States,,19458;19463,
11726|6|216|21|La Sioute / Belgium|,2,1,11726,6,216,21,La Sioute / Belgium,,19596;19599,
11754|6|216|21|Clonmore / Belgium|,2,1,11754,6,216,21,Clonmore / Belgium,,19680;19685,
11754|6|215|21|Clonmore|,2,1,11754,6,215,21,Clonmore,,19682;19684,
11793|6|216|21|Capricieux / Belgium|,2,1,11793,6,216,21,Capricieux / Belgium,,19771;19776,
11793|6|215|21|Capricieux|,2,1,11793,6,215,21,Capricieux,,19773;19775,
11841|6|215|73|Castibalza|,2,1,11841,6,215,73,Castibalza,,19955;19957,
12047|6|215|223|Chiswell|,2,1,12047,6,215,223,Chiswell,,20533;20535,
12124|7|215|155|Nökken|,2,1,12124,7,215,155,Nökken,,20744;20746,
12152|6|215|78|Harmony|,2,1,12152,6,215,78,Harmony,,20840;20842,
12372|7|215|21|Gaucho|,2,1,12372,7,215,21,Gaucho,,21475;21477,
12375|7|215|21|Sweet Girl|,2,1,12375,7,215,21,Sweet Girl,,21489;21491,
12382|6|215|223|Deceive|,2,1,12382,6,215,223,Deceive,,21509;21511,
12527|6|215|78|The Flea|,2,1,12527,6,215,78,The Flea,,21963;21965,
12550|6|215|21|Beau Soleil|,2,1,12550,6,215,21,Beau Soleil,,22029;22031,
12633|6|219|58|Streg|,2,1,12633,6,219,58,Streg,,22270;22272,
12659|6|215|73|Dignité|,2,1,12659,6,215,73,Dignité,,22349;22351,
14241|5|244|78||,2,1,14241,5,244,78,,,25807;25808,
17690|2|343|135|Red|,2,1,17690,2,343,135,Red,,32309;32310,
17741|2|343|73|C|,2,1,17741,2,343,73,C,,32412;32413,
17742|2|343|73|Blue|,2,1,17742,2,343,73,Blue,,32417;32418,
17873|5|145|78||,2,1,17873,5,145,78,,,32592;32594,
18020|3|132|223||,2,1,18020,3,132,223,,,32771;32772,
18022|3|132|223||,2,1,18022,3,132,223,,,32775;32776,
18024|3|132|223||,2,1,18024,3,132,223,,,32780;32781,
18025|3|132|223||,2,1,18025,3,132,223,,,32783;32784,
18026|3|132|223||,2,1,18026,3,132,223,,,32787;32788,
18028|3|132|223||,2,1,18028,3,132,223,,,32791;32792,
18029|3|132|223||,2,1,18029,3,132,223,,,32794;32795,
18031|3|132|223||,2,1,18031,3,132,223,,,32801;32802,
18032|3|132|223||,2,1,18032,3,132,223,,,32805;32806,
18037|3|132|223||,2,1,18037,3,132,223,,,32814;32815,
18040|3|132|223||,2,1,18040,3,132,223,,,32823;32824,
18041|3|132|223||,2,1,18041,3,132,223,,,32828;32829,
18043|3|132|223||,2,1,18043,3,132,223,,,32833;32834,
18045|3|132|223||,2,1,18045,3,132,223,,,32838;32839,
18046|3|132|223||,2,1,18046,3,132,223,,,32841;32842,
18048|3|132|223||,2,1,18048,3,132,223,,,32846;32847,
18049|3|132|223||,2,1,18049,3,132,223,,,32849;32850,
18050|3|132|223||,2,1,18050,3,132,223,,,32852;32853,
18051|3|132|223||,2,1,18051,3,132,223,,,32855;32856,
18054|3|132|223||,2,1,18054,3,132,223,,,32862;32863,
18056|3|132|223||,2,1,18056,3,132,223,,,32867;32868,
18058|3|132|223||,2,1,18058,3,132,223,,,32876;32877,
18064|3|132|78||,2,1,18064,3,132,78,,,32890;32891,
18066|3|132|223||,2,1,18066,3,132,223,,,32896;32897,
18069|3|132|223||,2,1,18069,3,132,223,,,32904;32905,
18070|3|132|223||,2,1,18070,3,132,223,,,32909;32910,
18072|3|132|223||,2,1,18072,3,132,223,,,32913;32914,
18076|3|132|223||,2,1,18076,3,132,223,,,32923;32924,
18077|3|132|223||,2,1,18077,3,132,223,,,32926;32927,
18078|3|132|223||,2,1,18078,3,132,223,,,32929;32930,
18084|3|132|223||,2,1,18084,3,132,223,,,32944;32945,
18086|3|132|223||,2,1,18086,3,132,223,,,32949;32950,
18088|3|132|223||,2,1,18088,3,132,223,,,32954;32955,
18091|3|132|223||,2,1,18091,3,132,223,,,32960;32961,
18092|3|132|223||,2,1,18092,3,132,223,,,32963;32964,
18093|3|132|223||,2,1,18093,3,132,223,,,32966;32967,
18094|3|132|223||,2,1,18094,3,132,223,,,32971;32972,
61310|2|999|73|Sidi-Fekkar|,2,1,61310,2,999,73,Sidi-Fekkar,,130107;130108,
61316|2|999|73||,2,1,61316,2,999,73,,,130121;130122,
61381|2|993|73||,2,1,61381,2,993,73,,,130219;130220,
61381|2|999|73||,2,1,61381,2,999,73,,,130221;130222,
61690|2|999|73||,2,1,61690,2,999,73,,,130698;130699,
62066|2|999|73|Sidi-Fekkar|,2,1,62066,2,999,73,Sidi-Fekkar,,131240;131241,
62263|2|999|73|Sidi-Fekkar|,2,1,62263,2,999,73,Sidi-Fekkar,,131552;131553,
62263|2|994|73|Henri Laverne|,2,1,62263,2,994,73,Henri Laverne,,131554;131555,
62264|2|994|73|Eugène Laverne|,2,1,62264,2,994,73,Eugène Laverne,,131557;131558,
