id_evento_a,nombre_a,id_evento_b,nombre_b,deporte,disciplina,genero_a,genero_b,similitud,regla_detectada,auto_merge_candidate,razon
471,"Platform, Men (Olympic)",472,"Synchronized Platform, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
560,"Team All-Around, Free System, Men (Olympic)",863,"Team All-Around, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.818182,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
818,"Springboard, Men (Olympic)",837,"Synchronized Springboard, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.779661,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
835,"100 metres Freestyle, Men (Olympic)",875,"100 metres Freestyle, Men (Intercalated)",Aquatics,Diving,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
869,"50 yards Freestyle, Men (Olympic)",872,"4 × 50 yards Freestyle Relay, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
876,"400 metres Freestyle, Men (Intercalated)",883,"400 metres Freestyle, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.782609,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1983,Diving Men's Platform,2303,Diving Men's Synchronized Platform,Aquatics,Diving,MEN,MEN,0.763636,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2178,Diving Men's Springboard,2384,Diving Men's Synchronized Springboard,Aquatics,Diving,MEN,MEN,0.786885,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2918,Men's 3m Springboard,3015,Men's Synchronised 3m Springboard,Aquatics,Diving,MEN,MEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2922,Men's 10m Platform,3013,Men's Synchronised 10m Platform,Aquatics,Diving,MEN,MEN,0.734694,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2953,Men's Synchronised 10m Platform Team,3013,Men's Synchronised 10m Platform,Aquatics,Diving,MEN,MEN,0.925373,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2991,Men's Synchronised 3m Springboard Team,3015,Men's Synchronised 3m Springboard,Aquatics,Diving,MEN,MEN,0.929577,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
214,"Springboard, Women (Olympic)",809,"Synchronized Springboard, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.793651,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
469,"Platform, Women (Olympic)",470,"Synchronized Platform, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.77193,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
807,"100 metres Freestyle, Women (Olympic)",890,"4 × 100 metres Freestyle Relay, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.871795,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2045,Diving Women's Platform,2369,Diving Women's Synchronized Platform,Aquatics,Diving,WOMEN,WOMEN,0.779661,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2118,Diving Women's Springboard,2119,Diving Women's Synchronized Springboard,Aquatics,Diving,WOMEN,WOMEN,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2723,Women's 3m Springboard,3104,Women's Synchronised 3m Springboard,Aquatics,Diving,WOMEN,WOMEN,0.77193,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2724,Women's Synchronised 3m Springboard Team,3104,Women's Synchronised 3m Springboard,Aquatics,Diving,WOMEN,WOMEN,0.933333,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2788,Women's 10m Platform,3014,Women's Synchronised 10m Platform,Aquatics,Diving,WOMEN,WOMEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2789,Women's Synchronised 10m Platform Team,3014,Women's Synchronised 10m Platform,Aquatics,Diving,WOMEN,WOMEN,0.929577,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
412,"100 metres Freestyle, Men (Olympic)",694,"100 metres Freestyle, Men (Intercalated)",Aquatics,Swimming,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
412,"100 metres Freestyle, Men (Olympic)",810,"4 × 100 metres Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.864865,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
412,"100 metres Freestyle, Men (Olympic)",881,"100 metres Freestyle For Sailors, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.842105,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
413,"500 metres Freestyle, Men (Olympic)",782,"1,500 metres Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.969697,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
418,"400 metres Freestyle, Men (Olympic)",695,"400 metres Freestyle, Men (Intercalated)",Aquatics,Swimming,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
