componente_evento,eventos_originales,evento_canonico,nombres,deporte,disciplina,fuentes,ediciones,participaciones_totales_afectadas,duplicados_preexistentes,extras_preexistentes,duplicados_inducidos_por_alias,extras_mergeables_inducidos,extras_conflictivos_inducidos,atletas_afectados,ediciones_afectadas,razon_semantica
EV500004,4;2745,4,"Singles, Men (Olympic) | Men's Singles",table tennis,table tennis,fuente1 | fuente3,36;38;41;43;45;47;50;54;58;61,727,0,0,0,0,0,443,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500011,31;2952,31,"Singles, Women (Olympic) | Women's Singles",table tennis,table tennis,fuente1 | fuente3,36;38;41;43;45;47;50;54;58;61,721,0,0,0,0,0,464,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500014,37;2693,37,"Team, Women (Olympic) | Women's Team",table tennis,table tennis,fuente1 | fuente3,47;50;54;58;61,286,0,0,3,3,0,208,5,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500015,39;2019,39,"Hockey, Men (Olympic) | Hockey Men's Hockey",hockey,hockey,fuente1 | fuente2 | fuente3,10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;41;43;45;47;5;50;54;58;7,12059,1586,1586,3021,3021,0,5651,24,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500020,54;2909,54,"Team, Men (Olympic) | Men's Team",table tennis,table tennis,fuente1 | fuente3,47;50;54;58;61,284,0,0,0,0,0,211,5,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500021,68;2967,68,"Individual, Men (Olympic) | Men's Individual",modern pentathlon,modern pentathlon,fuente1 | fuente3,10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;41;43;45;47;50;54;58;6;61;7;8,1071,0,0,0,0,0,801,26,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500025,73;2714,73,"Team, Men (Olympic) | Men's Team",archery,archery,fuente1 | fuente3,36;38;41;43;45;47;50;54;58;61,466,0,0,1,1,0,343,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500026,74;2389,74,"Target Archery, 28 metres, Team, Men (Olympic) | Archery Men's Target Archery, 28 metres, Team",archery,archery,fuente1 | fuente2 | fuente3,7,71,1,1,14,14,0,56,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500027,75;2390,75,"Target Archery, 33 metres, Team, Men (Olympic) | Archery Men's Target Archery, 33 metres, Team",archery,archery,fuente1 | fuente2 | fuente3,7,48,0,0,6,6,0,42,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500028,76;2391,76,"Target Archery, 50 metres, Team, Men (Olympic) | Archery Men's Target Archery, 50 metres, Team",archery,archery,fuente1 | fuente2 | fuente3,7,48,0,0,6,6,0,42,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
