componente_evento,eventos_originales,evento_canonico,nombres,deporte,disciplina,fuentes,ediciones,participaciones_totales_afectadas,duplicados_preexistentes,extras_preexistentes,duplicados_inducidos_por_alias,extras_mergeables_inducidos,extras_conflictivos_inducidos,atletas_afectados,ediciones_afectadas,razon_semantica
EV500064,303;1902,303,"Football, Men (Olympic) | Football Men's Football",football,football,fuente1 | fuente2 | fuente3 | fuente4,10;14;16;18;2;20;22;24;26;28;3;30;32;34;36;38;4;41;43;45;47;5;50;54;58;6;7;8,17421,2925,2925,3529,3529,0,10122,28,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500078,425;1913,425,"Ice Hockey, Men (Olympic) | Ice Hockey Men's Ice Hockey",ice hockey,ice hockey,fuente1 | fuente2 | fuente3 | fuente4,11;13;15;17;19;21;23;25;27;29;31;33;35;37;39;40;42;44;46;49;53;57;60;7;9,10159,23,23,3160,3160,0,4784,25,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500015,39;2019,39,"Hockey, Men (Olympic) | Hockey Men's Hockey",hockey,hockey,fuente1 | fuente2 | fuente3,10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;41;43;45;47;5;50;54;58;7,12059,1586,1586,3021,3021,0,5651,24,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500040,150;1900,150,"Basketball, Men (Olympic) | Basketball Men's Basketball",basketball,basketball,fuente1 | fuente2 | fuente3 | fuente4,14;16;18;20;22;24;26;28;30;32;34;36;38;41;43;45;47;50;54;58,9878,1311,1311,1881,1881,0,5308,20,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500096,583;1987,583,"Handball, Men (Olympic) | Handball Men's Handball",handball,handball,fuente1 | fuente2 | fuente3,14;28;30;32;34;36;38;41;43;45;47;50;54;58,6988,1211,1211,1253,1253,0,3459,14,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500132,909;2036,909,"Volleyball, Men (Olympic) | Volleyball Men's Volleyball",volleyball,volleyball,fuente1 | fuente2 | fuente3,24;26;28;30;32;34;36;38;41;43;45;47;50;54;58,5721,935,935,1138,1138,0,2736,15,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500065,338;1944,338,"Hockey, Women (Olympic) | Hockey Women's Hockey",hockey,hockey,fuente1 | fuente2 | fuente3 | fuente4,32;34;36;38;41;43;45;47;50;54;58,4586,605,605,1017,1017,0,2143,11,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500131,908;2063,908,"Volleyball, Women (Olympic) | Volleyball Women's Volleyball",volleyball,volleyball,fuente1 | fuente2 | fuente3,24;26;28;30;32;34;36;38;41;43;45;47;50;54;58,4791,632,632,857,857,0,2429,15,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500081,468;1954,468,"Football, Women (Olympic) | Football Women's Football",football,football,fuente1 | fuente2 | fuente3,41;43;45;47;50;54;58,3341,468,468,709,709,0,1589,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500043,154;1935,154,"Handball, Women (Olympic) | Handball Women's Handball",handball,handball,fuente1 | fuente2 | fuente3 | fuente4,30;32;34;36;38;41;43;45;47;50;54;58,4376,624,624,652,652,0,2243,12,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500041,152;1982,152,"Basketball, Women (Olympic) | Basketball Women's Basketball",basketball,basketball,fuente1 | fuente2 | fuente3,30;32;34;36;38;41;43;45;47;50;54;58,3915,575,575,624,624,0,2027,12,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500157,1445;2202,1445,"Ice Hockey, Women (Olympic) | Ice Hockey Women's Ice Hockey",ice hockey,ice hockey,fuente1 | fuente2,42;44;46;49;53;57;60,1891,0,0,501,501,0,789,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500037,113;2033,113,"Softball, Women (Olympic) | Softball Women's Softball",baseball softball,softball,fuente1 | fuente2 | fuente3,41;43;45;47;58,1525,281,281,378,378,0,686,5,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500092,510;2271,510,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,2;4;5;6;7,625,12,12,144,144,0,404,5,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500047,203;2332,203,"Rugby, Men (Olympic) | Rugby Men's Rugby",rugby,rugby,fuente1 | fuente2 | fuente3,2;5;7;8,442,54,54,110,110,0,263,4,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500048,211;1903,211,"Tug-Of-War, Men (Olympic) | Tug-Of-War Men's Tug-Of-War",tug of war,tug of war,fuente1 | fuente2 | fuente3 | fuente4,2;3;4;5;6;7,428,69,69,68,68,0,244,6,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500120,713;2276,713,"Free Rifle, 400, 600 and 800 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,8,257,4,4,60,60,0,193,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500093,511;2272,511,"Military Rifle, Prone, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 300 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,7,218,3,3,54,54,0,161,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500095,515;2274,515,"Military Rifle, Standing, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Standing, 300 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,7,223,0,0,54,54,0,169,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500094,513;2273,513,"Military Rifle, Prone, 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 600 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,7,209,2,2,50,50,0,157,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500046,202;2396,202,"Polo, Men (Olympic) | Polo Men's Polo",polo,polo,fuente1 | fuente2 | fuente3,14;2;5;7;8,282,29,29,43,43,0,184,5,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500124,727;2227,727,"Military Rifle, 200, 400, 500 and 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,6,180,0,0,42,42,0,138,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500151,1335;2159,1335,"2 × 6 kilometres and 2 × 7.5 kilometres Relay, Mixed (Olympic) | Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",biathlon,biathlon,fuente1 | fuente2,53;57;60,282,0,0,39,39,0,191,3,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500122,723;2436,723,"Military Rifle, 200/500/600/800/900/1,000 yards, Team, Men (Olympic) | Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",shooting,shooting,fuente1 | fuente2 | fuente3,5,143,7,7,38,38,0,98,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500125,728;2610,728,"Small-Bore Rifle, Prone, 50 metres, Team, Men (Olympic) | Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,6,71,0,0,18,18,0,53,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500026,74;2389,74,"Target Archery, 28 metres, Team, Men (Olympic) | Archery Men's Target Archery, 28 metres, Team",archery,archery,fuente1 | fuente2 | fuente3,7,71,1,1,14,14,0,56,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500066,344;2449,344,"Cricket, Men (Olympic) | Cricket Men's Cricket",cricket,cricket,fuente1 | fuente2 | fuente3,2,69,14,14,12,12,0,40,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
