clasificacion,componente_evento,clave_logica_post,filas,eventos_originales,evento_canonico,cantidad_eventos_originales,extras_inducidos_por_alias,campos_conflictivos,ids_participacion,id_atleta,id_edicion,id_noc,equipo,medalla
ALIAS_INDUCED_MERGEABLE,EV500015,155|5|39|83|Germany|,3,2019;39,39,2,1,,480;503048;736259,155,5,83,Germany,
ALIAS_INDUCED_MERGEABLE,EV500026,313|7|74|21|Belgium|Silver,3,2389;74,74,2,1,,879;313137;582253,313,7,21,Belgium,Silver
ALIAS_INDUCED_MERGEABLE,EV500027,313|7|75|21|Belgium|Gold,2,2390;75,75,2,1,,880;313138,313,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500028,313|7|76|21|Belgium|Gold,2,2391;76,76,2,1,,881;313139,313,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500031,316|7|79|21|Belgium|Gold,2,2620;79,79,2,1,,886;350836,316,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500032,316|7|80|21|Belgium|Gold,2,2621;80,80,2,1,,887;350837,316,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,322|7|74|21|Belgium|Silver,2,2389;74,74,2,1,,901;361019,322,7,21,Belgium,Silver
ALIAS_INDUCED_MERGEABLE,EV500027,322|7|75|21|Belgium|Gold,2,2390;75,75,2,1,,902;361020,322,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500028,322|7|76|21|Belgium|Gold,2,2391;76,76,2,1,,903;361021,322,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,324|7|74|21|Belgium|Silver,2,2389;74,74,2,1,,905;376921,324,7,21,Belgium,Silver
ALIAS_INDUCED_MERGEABLE,EV500027,324|7|75|21|Belgium|Gold,2,2390;75,75,2,1,,906;376922,324,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500028,324|7|76|21|Belgium|Gold,2,2391;76,76,2,1,,907;376923,324,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500031,325|7|79|21|Belgium|Gold,2,2620;79,79,2,1,,910;377994,325,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500032,325|7|80|21|Belgium|Gold,2,2621;80,80,2,1,,911;377995,325,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500031,327|7|79|21|Belgium|Gold,2,2620;79,79,2,1,,915;402462,327,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500032,327|7|80|21|Belgium|Gold,2,2621;80,80,2,1,,916;402463,327,7,21,Belgium,Gold
ALIAS_INDUCED_MERGEABLE,EV500026,329|7|74|21|Belgium|Silver,2,2389;74,74,2,1,,919;555051,329,7,21,Belgium,Silver
