id_evento_a,nombre_a,id_evento_b,nombre_b,deporte,disciplina,genero_a,genero_b,similitud,regla_detectada,auto_merge_candidate,razon,fuentes_a,fuentes_b,coexistencia_misma_fuente,tokens_extra_a,tokens_extra_b,perdida_multiplicidad,clasificacion_final,razon_refinada,semantic_key_a,semantic_key_b,modalidades_a,modalidades_b,modificadores_a,modificadores_b,clasificacion_phase4,razon_phase4
471,"Platform, Men (Olympic)",472,"Synchronized Platform, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [], [], [], [""platform""]]","[""men"", false, false, [], [], [], [""platform"", ""synchronized""]]",,,platform,platform | synchronized,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
560,"Team All-Around, Free System, Men (Olympic)",863,"Team All-Around, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.818182,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1912', 'Summer'), ('1920', 'Summer')]",free system,,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [""team""], [], [], [""all"", ""around"", ""free"", ""system""]]","[""men"", false, false, [""team""], [], [], [""all"", ""around""]]",team,team,all | around | free | system,all | around,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
818,"Springboard, Men (Olympic)",837,"Synchronized Springboard, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.779661,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [], [], [], [""springboard""]]","[""men"", false, false, [], [], [], [""springboard"", ""synchronized""]]",,,springboard,springboard | synchronized,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
835,"100 metres Freestyle, Men (Olympic)",875,"100 metres Freestyle, Men (Intercalated)",Aquatics,Diving,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,intercalated,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""freestyle""], [], [], [""metres""]]","[""men"", false, false, [""freestyle""], [], [], [""intercalated"", ""metres""]]",freestyle,freestyle,metres,intercalated | metres,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
869,"50 yards Freestyle, Men (Olympic)",872,"4 × 50 yards Freestyle Relay, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1904', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [""freestyle""], [], [], [""yards""]]","[""men"", false, false, [""freestyle"", ""relay""], [], [], [""x"", ""yards""]]",freestyle,freestyle | relay,yards,x | yards,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
876,"400 metres Freestyle, Men (Intercalated)",883,"400 metres Freestyle, Men (Olympic)",Aquatics,Diving,MEN,MEN,0.782609,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,intercalated,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""freestyle""], [], [], [""intercalated"", ""metres""]]","[""men"", false, false, [""freestyle""], [], [], [""metres""]]",freestyle,freestyle,intercalated | metres,metres,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
1983,Diving Men's Platform,2303,Diving Men's Synchronized Platform,Aquatics,Diving,MEN,MEN,0.763636,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [], [], [], [""platform""]]","[""men"", false, false, [], [], [], [""platform"", ""synchronized""]]",,,platform,platform | synchronized,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2178,Diving Men's Springboard,2384,Diving Men's Synchronized Springboard,Aquatics,Diving,MEN,MEN,0.786885,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [], [], [], [""springboard""]]","[""men"", false, false, [], [], [], [""springboard"", ""synchronized""]]",,,springboard,springboard | synchronized,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2918,Men's 3m Springboard,3015,Men's Synchronised 3m Springboard,Aquatics,Diving,MEN,MEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2024', 'Summer')]",,synchronised,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [], [""3m""], [], [""3m"", ""springboard""]]","[""men"", false, false, [], [""3m""], [], [""3m"", ""springboard"", ""synchronised""]]",,,3m | springboard,3m | springboard | synchronised,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2922,Men's 10m Platform,3013,Men's Synchronised 10m Platform,Aquatics,Diving,MEN,MEN,0.734694,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2024', 'Summer')]",,synchronised,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [], [""10m""], [], [""10m"", ""platform""]]","[""men"", false, false, [], [""10m""], [], [""10m"", ""platform"", ""synchronised""]]",,,10m | platform,10m | platform | synchronised,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
