evento_origen,evento_canonico,regla_aplicada,confianza,evidencia
2434,843,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Underwater Swimming, Men (Olympic) <-> Swimming Men's Underwater Swimming | Aquatics / Swimming / MEN"
2552,861,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"200 metres Team Swimming, Men (Olympic) <-> Swimming Men's 200 metres Team Swimming | Aquatics / Swimming / MEN"
1942,649,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Water Polo, Men (Olympic) <-> Water Polo Men's Water Polo | Aquatics / Water Polo / MEN"
2024,1410,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Water Polo, Women (Olympic) <-> Water Polo Women's Water Polo | Aquatics / Water Polo / WOMEN"
2713,70,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Individual, Men (Olympic) <-> Men's Individual | Archery / Archery / MEN"
2714,73,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team, Men (Olympic) <-> Men's Team | Archery / Archery / MEN"
2389,74,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Target Archery, 28 metres, Team, Men (Olympic) <-> Archery Men's Target Archery, 28 metres, Team | Archery / Archery / MEN"
2390,75,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Target Archery, 33 metres, Team, Men (Olympic) <-> Archery Men's Target Archery, 33 metres, Team | Archery / Archery / MEN"
2391,76,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Target Archery, 50 metres, Team, Men (Olympic) <-> Archery Men's Target Archery, 50 metres, Team | Archery / Archery / MEN"
2618,77,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Pole Archery, Small Birds, Individual, Men (Olympic) <-> Archery Men's Pole Archery, Small Birds, Individual | Archery / Archery / MEN"
2619,78,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Pole Archery, Large Birds, Individual, Men (Olympic) <-> Archery Men's Pole Archery, Large Birds, Individual | Archery / Archery / MEN"
2620,79,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Pole Archery, Small Birds, Team, Men (Olympic) <-> Archery Men's Pole Archery, Small Birds, Team | Archery / Archery / MEN"
2621,80,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Pole Archery, Large Birds, Team, Men (Olympic) <-> Archery Men's Pole Archery, Large Birds, Team | Archery / Archery / MEN"
2663,87,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Target Archery, 28 metres, Individual, Men (Olympic) <-> Archery Men's Target Archery, 28 metres, Individual | Archery / Archery / MEN"
