componente_evento,miembros,nombres,tamano,deportes,disciplinas,generos,pares_evaluados,pares_safe,pares_conflict_review,pares_faltantes,coexistencia,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV00001,1;2091;2897,"Men's Singles | Singles, Men (Olympic) | Tennis Men's Singles",3,tennis,tennis,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1,"Singles, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00002,2;1992;2898;3054,"Doubles, Men (Olympic) | Men's Doubles | Men's Doubles Team | Tennis Men's Doubles",4,tennis,tennis,men,6,3,0,0,,SAFE_EVENT_COMPONENT,2,"Doubles, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00003,3;1717;2409;2937;3083,"Doubles, Mixed (Olympic) | Doubles, Mixed Youth (YOG) | Mixed Doubles | Mixed Doubles Team | Tennis Mixed Doubles",5,tennis,tennis,mixed,10,4,0,0,,SAFE_EVENT_COMPONENT,1717,"Doubles, Mixed Youth (YOG)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00004,4;2745,"Men's Singles | Singles, Men (Olympic)",2,table tennis,table tennis,men,1,1,0,0,,SAFE_EVENT_COMPONENT,4,"Singles, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00005,6;19,"Singles, Handicap, Men (Olympic (non-medal)) | Singles, Men (Olympic (non-medal))",2,tennis,tennis,men,1,1,0,0,,SAFE_EVENT_COMPONENT,6,"Singles, Handicap, Men (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00006,7;38,"Doubles, Handicap, Men (Olympic (non-medal)) | Doubles, Men (Olympic (non-medal))",2,tennis,tennis,men,1,1,0,0,,SAFE_EVENT_COMPONENT,7,"Doubles, Handicap, Men (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00007,8;1956;2428;2955,"Fencing Men's epee, Individual | Fencing Men's epee, Masters, Individual | Men's Épée Individual | Épée, Individual, Men (Olympic)",4,fencing,fencing,men,6,3,1,0,"fuente2:[('1900', 'Summer'), ('1906', 'Summer')] | fuente3:[('1900', 'Summer'), ('1906', 'Summer')]",REVIEW_EVENT_COMPONENT,2428,"Fencing Men's epee, Masters, Individual",contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00008,24;1915;2725,"Badminton Men's Singles | Men's Singles | Singles, Men (Olympic)",3,badminton,badminton,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1915,Badminton Men's Singles,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00009,26;2408;2830,"Singles, Women (Olympic) | Tennis Women's Singles | Women's Singles",3,tennis,tennis,women,3,2,0,0,,SAFE_EVENT_COMPONENT,26,"Singles, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00010,27;2410;2908;3075,"Doubles, Women (Olympic) | Tennis Women's Doubles | Women's Doubles | Women's Doubles Team",4,tennis,tennis,women,6,3,0,0,,SAFE_EVENT_COMPONENT,27,"Doubles, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00011,28;2363;2981;3038,"Badminton Women's Doubles | Doubles, Women (Olympic) | Women's Doubles | Women's Doubles Team",4,badminton,badminton,women,6,3,0,0,,SAFE_EVENT_COMPONENT,2363,Badminton Women's Doubles,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00012,29;100;1713;2241;2985;3027,"Badminton Mixed Doubles | Doubles, Mixed (Olympic (non-medal)) | Doubles, Mixed (Olympic) | Doubles, Mixed Youth (YOG) | Mixed Doubles | Mixed Doubles Team",6,badminton,badminton,mixed,15,5,0,0,,SAFE_EVENT_COMPONENT,100,"Doubles, Mixed (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00013,30;36,"Singles, Handicap, Women (Olympic (non-medal)) | Singles, Women (Olympic (non-medal))",2,tennis,tennis,women,1,1,0,0,,SAFE_EVENT_COMPONENT,30,"Singles, Handicap, Women (Olympic (non-medal))","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00014,31;2952,"Singles, Women (Olympic) | Women's Singles",2,table tennis,table tennis,women,1,1,0,0,,SAFE_EVENT_COMPONENT,31,"Singles, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00015,33;2089;2707,"Badminton Women's Singles | Singles, Women (Olympic) | Women's Singles",3,badminton,badminton,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2089,Badminton Women's Singles,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00016,34;2321;2796;3037,"Badminton Men's Doubles | Doubles, Men (Olympic) | Men's Doubles | Men's Doubles Team",4,badminton,badminton,men,6,3,0,0,,SAFE_EVENT_COMPONENT,2321,Badminton Men's Doubles,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00017,37;2693,"Team, Women (Olympic) | Women's Team",2,table tennis,table tennis,women,1,1,0,0,,SAFE_EVENT_COMPONENT,37,"Team, Women (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00018,39;2019,"Hockey Men's Hockey | Hockey, Men (Olympic)",2,hockey,hockey,men,1,1,0,0,,SAFE_EVENT_COMPONENT,39,"Hockey, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00019,46;542,"110 metres Hurdles, Men (Intercalated) | 110 metres Hurdles, Men (Olympic)",2,athletics,athletics,men,1,1,0,0,,SAFE_EVENT_COMPONENT,542,"110 metres Hurdles, Men (Intercalated)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00020,47;1947;2810,"Athletics Men's High Jump | High Jump, Men (Olympic) | Men's High Jump",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1947,Athletics Men's High Jump,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00021,48;1946;2982,"Athletics Men's Pole Vault | Men's Pole Vault | Pole Vault, Men (Olympic)",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1946,Athletics Men's Pole Vault,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00022,49;1967;2979,"Athletics Men's Long Jump | Long Jump, Men (Olympic) | Men's Long Jump",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,1967,Athletics Men's Long Jump,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00023,50;2080;2783,"Athletics Men's Triple Jump | Men's Triple Jump | Triple Jump, Men (Olympic)",3,athletics,athletics,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2080,Athletics Men's Triple Jump,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00024,54;2909,"Men's Team | Team, Men (Olympic)",2,table tennis,table tennis,men,1,1,0,0,,SAFE_EVENT_COMPONENT,54,"Team, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00025,68;2967,"Individual, Men (Olympic) | Men's Individual",2,modern pentathlon,modern pentathlon,men,1,1,0,0,,SAFE_EVENT_COMPONENT,68,"Individual, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00026,70;2162;2713,"Archery Men's Individual | Individual, Men (Olympic) | Men's Individual",3,archery,archery,men,3,2,0,0,,SAFE_EVENT_COMPONENT,2162,Archery Men's Individual,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00027,71;2034;2752,"Archery Women's Individual | Individual, Women (Olympic) | Women's Individual",3,archery,archery,women,3,2,0,0,,SAFE_EVENT_COMPONENT,2034,Archery Women's Individual,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00028,72;118;2230;2656;2865,"Archery Women's Team | Archery Women's Team Round | Team Round, Women (Olympic) | Team, Women (Olympic) | Women's Team",5,archery,archery,women,10,4,0,0,,SAFE_EVENT_COMPONENT,2656,Archery Women's Team Round,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00029,73;2714,"Men's Team | Team, Men (Olympic)",2,archery,archery,men,1,1,0,0,,SAFE_EVENT_COMPONENT,73,"Team, Men (Olympic)","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00030,74;2389,"Archery Men's Target Archery, 28 metres, Team | Target Archery, 28 metres, Team, Men (Olympic)",2,archery,archery,men,1,1,0,0,,SAFE_EVENT_COMPONENT,2389,"Archery Men's Target Archery, 28 metres, Team","Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
