componente_evento,miembros,nombres,deporte,disciplina,pares_evaluados,pares_safe,pares_review,pares_conflict,pares_faltantes,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV500001,1;2091;2897,"Singles, Men (Olympic) | Tennis Men's Singles | Men's Singles",tennis,tennis,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500002,2;1992;3054,"Doubles, Men (Olympic) | Tennis Men's Doubles | Men's Doubles",tennis,tennis,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500003,3;2409;3083,"Doubles, Mixed (Olympic) | Tennis Mixed Doubles | Mixed Doubles",tennis,tennis,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500004,4;2745,"Singles, Men (Olympic) | Men's Singles",table tennis,table tennis,1,1,0,0,0,SAFE_EVENT_COMPONENT,4,"Singles, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500005,8;1956;2955,"Épée, Individual, Men (Olympic) | Fencing Men's epee, Individual | Men's Épée Individual",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500006,24;1915;2725,"Singles, Men (Olympic) | Badminton Men's Singles | Men's Singles",badminton,badminton,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500007,26;2408;2830,"Singles, Women (Olympic) | Tennis Women's Singles | Women's Singles",tennis,tennis,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500008,27;2410;3075,"Doubles, Women (Olympic) | Tennis Women's Doubles | Women's Doubles",tennis,tennis,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500009,28;2363;3038,"Doubles, Women (Olympic) | Badminton Women's Doubles | Women's Doubles",badminton,badminton,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500010,29;100;2241;3027,"Doubles, Mixed (Olympic) | Doubles, Mixed (Olympic (non-medal)) | Badminton Mixed Doubles | Mixed Doubles",badminton,badminton,6,3,0,0,3,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500011,31;2952,"Singles, Women (Olympic) | Women's Singles",table tennis,table tennis,1,1,0,0,0,SAFE_EVENT_COMPONENT,31,"Singles, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500012,33;2089;2707,"Singles, Women (Olympic) | Badminton Women's Singles | Women's Singles",badminton,badminton,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500013,34;2321;3037,"Doubles, Men (Olympic) | Badminton Men's Doubles | Men's Doubles",badminton,badminton,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500014,37;2693,"Team, Women (Olympic) | Women's Team",table tennis,table tennis,1,1,0,0,0,SAFE_EVENT_COMPONENT,37,"Team, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500015,39;2019,"Hockey, Men (Olympic) | Hockey Men's Hockey",hockey,hockey,1,1,0,0,0,SAFE_EVENT_COMPONENT,39,"Hockey, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500016,47;1947;2810,"High Jump, Men (Olympic) | Athletics Men's High Jump | Men's High Jump",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500017,48;1946;2982,"Pole Vault, Men (Olympic) | Athletics Men's Pole Vault | Men's Pole Vault",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500018,49;1967;2979,"Long Jump, Men (Olympic) | Athletics Men's Long Jump | Men's Long Jump",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500019,50;2080;2783,"Triple Jump, Men (Olympic) | Athletics Men's Triple Jump | Men's Triple Jump",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500020,54;2909,"Team, Men (Olympic) | Men's Team",table tennis,table tennis,1,1,0,0,0,SAFE_EVENT_COMPONENT,54,"Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500021,68;2967,"Individual, Men (Olympic) | Men's Individual",modern pentathlon,modern pentathlon,1,1,0,0,0,SAFE_EVENT_COMPONENT,68,"Individual, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500022,70;2162;2713,"Individual, Men (Olympic) | Archery Men's Individual | Men's Individual",archery,archery,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500023,71;2034;2752,"Individual, Women (Olympic) | Archery Women's Individual | Women's Individual",archery,archery,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500024,72;2230;2865,"Team, Women (Olympic) | Archery Women's Team | Women's Team",archery,archery,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500025,73;2714,"Team, Men (Olympic) | Men's Team",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,73,"Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500026,74;2389,"Target Archery, 28 metres, Team, Men (Olympic) | Archery Men's Target Archery, 28 metres, Team",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,74,"Target Archery, 28 metres, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
