componente_evento,deporte,disciplina,eventos,nombres,fuentes,ediciones,participaciones_afectadas,deduplicaciones,razon_semantica
EV500001,tennis,tennis,1;2091;2897,"Singles, Men (Olympic) | Tennis Men's Singles | Men's Singles",fuente1 | fuente2 | fuente3,1 | 2 | 3 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,2507,316,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500005,fencing,fencing,8;1956;2955,"Épée, Individual, Men (Olympic) | Fencing Men's epee, Individual | Men's Épée Individual",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,5062,407,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500006,badminton,badminton,24;1915;2725,"Singles, Men (Olympic) | Badminton Men's Singles | Men's Singles",fuente1 | fuente2 | fuente3 | fuente4,38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,1000,145,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500007,tennis,tennis,26;2408;2830,"Singles, Women (Olympic) | Tennis Women's Singles | Women's Singles",fuente1 | fuente2 | fuente3,2 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,1891,207,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500009,badminton,badminton,28;2363;3038,"Doubles, Women (Olympic) | Badminton Women's Doubles | Women's Doubles",fuente1 | fuente2 | fuente3,38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,981,105,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500012,badminton,badminton,33;2089;2707,"Singles, Women (Olympic) | Badminton Women's Singles | Women's Singles",fuente1 | fuente2 | fuente3,38 | 41 | 43 | 45 | 47 | 50 | 54 | 58 | 61,1029,154,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500015,hockey,hockey,39;2019,"Hockey, Men (Olympic) | Hockey Men's Hockey",fuente1 | fuente2 | fuente3,10 | 12 | 14 | 16 | 18 | 20 | 22 | 24 | 26 | 28 | 30 | 32 | 34 | 36 | 38 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 7,12059,4607,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500016,athletics,athletics,47;1947;2810,"High Jump, Men (Olympic) | Athletics Men's High Jump | Men's High Jump",fuente1 | fuente2 | fuente3 | fuente4,1 | 10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,2726,396,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500017,athletics,athletics,48;1946;2982,"Pole Vault, Men (Olympic) | Athletics Men's Pole Vault | Men's Pole Vault",fuente1 | fuente2 | fuente3 | fuente4,1 | 10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,2130,300,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500018,athletics,athletics,49;1967;2979,"Long Jump, Men (Olympic) | Athletics Men's Long Jump | Men's Long Jump",fuente1 | fuente2 | fuente3,1 | 10 | 12 | 14 | 16 | 18 | 2 | 20 | 22 | 24 | 26 | 28 | 3 | 30 | 32 | 34 | 36 | 38 | 4 | 41 | 43 | 45 | 47 | 5 | 50 | 54 | 58 | 6 | 61 | 7 | 8,3078,374,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
