componente_evento,id_evento_origen,nombre_origen,id_evento_canonico_propuesto,nombre_canonico_propuesto,merge_propuesto,estado_componente,razon
EV00001,1,"Singles, Men (Olympic)",1,"Singles, Men (Olympic)",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00001,2091,Tennis Men's Singles,1,"Singles, Men (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00001,2897,Men's Singles,1,"Singles, Men (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00002,2,"Doubles, Men (Olympic)",2,"Doubles, Men (Olympic)",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00002,1992,Tennis Men's Doubles,2,"Doubles, Men (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00002,2898,Men's Doubles Team,2,"Doubles, Men (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00002,3054,Men's Doubles,2,"Doubles, Men (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00003,3,"Doubles, Mixed (Olympic)",1717,"Doubles, Mixed Youth (YOG)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00003,1717,"Doubles, Mixed Youth (YOG)",1717,"Doubles, Mixed Youth (YOG)",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00003,2409,Tennis Mixed Doubles,1717,"Doubles, Mixed Youth (YOG)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00003,2937,Mixed Doubles Team,1717,"Doubles, Mixed Youth (YOG)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00003,3083,Mixed Doubles,1717,"Doubles, Mixed Youth (YOG)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00004,4,"Singles, Men (Olympic)",4,"Singles, Men (Olympic)",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00004,2745,Men's Singles,4,"Singles, Men (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00005,6,"Singles, Handicap, Men (Olympic (non-medal))",6,"Singles, Handicap, Men (Olympic (non-medal))",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00005,19,"Singles, Men (Olympic (non-medal))",6,"Singles, Handicap, Men (Olympic (non-medal))",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00006,7,"Doubles, Handicap, Men (Olympic (non-medal))",7,"Doubles, Handicap, Men (Olympic (non-medal))",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00006,38,"Doubles, Men (Olympic (non-medal))",7,"Doubles, Handicap, Men (Olympic (non-medal))",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00007,8,"Épée, Individual, Men (Olympic)",,,NO,REVIEW_EVENT_COMPONENT,contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00007,1956,"Fencing Men's epee, Individual",,,NO,REVIEW_EVENT_COMPONENT,contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00007,2428,"Fencing Men's epee, Masters, Individual",,,NO,REVIEW_EVENT_COMPONENT,contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00007,2955,Men's Épée Individual,,,NO,REVIEW_EVENT_COMPONENT,contiene CONFLICT_ALIAS/REVIEW_ALIAS interno; coexistencia en misma fuente/edición
EV00008,24,"Singles, Men (Olympic)",1915,Badminton Men's Singles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00008,1915,Badminton Men's Singles,1915,Badminton Men's Singles,NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00008,2725,Men's Singles,1915,Badminton Men's Singles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00009,26,"Singles, Women (Olympic)",26,"Singles, Women (Olympic)",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00009,2408,Tennis Women's Singles,26,"Singles, Women (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00009,2830,Women's Singles,26,"Singles, Women (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00010,27,"Doubles, Women (Olympic)",27,"Doubles, Women (Olympic)",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00010,2410,Tennis Women's Doubles,27,"Doubles, Women (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00010,2908,Women's Doubles Team,27,"Doubles, Women (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00010,3075,Women's Doubles,27,"Doubles, Women (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00011,28,"Doubles, Women (Olympic)",2363,Badminton Women's Doubles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00011,2363,Badminton Women's Doubles,2363,Badminton Women's Doubles,NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00011,2981,Women's Doubles Team,2363,Badminton Women's Doubles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00011,3038,Women's Doubles,2363,Badminton Women's Doubles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00012,29,"Doubles, Mixed (Olympic)",100,"Doubles, Mixed (Olympic (non-medal))",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00012,100,"Doubles, Mixed (Olympic (non-medal))",100,"Doubles, Mixed (Olympic (non-medal))",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00012,1713,"Doubles, Mixed Youth (YOG)",100,"Doubles, Mixed (Olympic (non-medal))",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00012,2241,Badminton Mixed Doubles,100,"Doubles, Mixed (Olympic (non-medal))",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00012,2985,Mixed Doubles Team,100,"Doubles, Mixed (Olympic (non-medal))",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00012,3027,Mixed Doubles,100,"Doubles, Mixed (Olympic (non-medal))",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00013,30,"Singles, Handicap, Women (Olympic (non-medal))",30,"Singles, Handicap, Women (Olympic (non-medal))",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00013,36,"Singles, Women (Olympic (non-medal))",30,"Singles, Handicap, Women (Olympic (non-medal))",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00014,31,"Singles, Women (Olympic)",31,"Singles, Women (Olympic)",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00014,2952,Women's Singles,31,"Singles, Women (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00015,33,"Singles, Women (Olympic)",2089,Badminton Women's Singles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00015,2089,Badminton Women's Singles,2089,Badminton Women's Singles,NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00015,2707,Women's Singles,2089,Badminton Women's Singles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00016,34,"Doubles, Men (Olympic)",2321,Badminton Men's Doubles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00016,2321,Badminton Men's Doubles,2321,Badminton Men's Doubles,NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00016,2796,Men's Doubles Team,2321,Badminton Men's Doubles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00016,3037,Men's Doubles,2321,Badminton Men's Doubles,YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00017,37,"Team, Women (Olympic)",37,"Team, Women (Olympic)",NO,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
EV00017,2693,Women's Team,37,"Team, Women (Olympic)",YES,SAFE_EVENT_COMPONENT,"Todos los pares internos son SAFE_ALIAS; atributos de dominio homogéneos; canon elegido por información, calidad de fuente, cobertura y desempate por ID."
