id_evento,nombre,deporte,disciplina,genero,modalidad_principal,modalidad_equipo,modalidad_individual,distancia,peso_categoria,aparato,tipo_prueba,numero_participantes,youth,non_medal,mixed,modificadores_restantes,modalidades,redundancia_padre,semantic_key,fuentes
1,"Singles, Men (Olympic)",tennis,tennis,men,singles,,individual,,,,,singles,NO,NO,NO,,singles,0,"[""men"", false, false, [""singles""], [], [], []]",fuente1
2,"Doubles, Men (Olympic)",tennis,tennis,men,doubles,,individual,,,,,doubles,NO,NO,NO,,doubles,0,"[""men"", false, false, [""doubles""], [], [], []]",fuente1
3,"Doubles, Mixed (Olympic)",tennis,tennis,mixed,mixed,,individual,,,,,doubles,NO,NO,YES,,doubles | mixed,0,"[""mixed"", false, false, [""doubles"", ""mixed""], [], [], []]",fuente1
4,"Singles, Men (Olympic)",table tennis,table tennis,men,singles,,individual,,,,,singles,NO,NO,NO,,singles,0,"[""men"", false, false, [""singles""], [], [], []]",fuente1
5,"Doubles, Men (Olympic)",,,,doubles,,individual,,,,,doubles,NO,NO,NO,,doubles,0,"["""", false, false, [""doubles""], [], [], []]",
6,"Singles, Handicap, Men (Olympic (non-medal))",tennis,tennis,men,singles,,individual,,,,handicap | medal,singles,NO,YES,NO,handicap | medal,singles,0,"[""men"", false, true, [""singles""], [], [], [""handicap"", ""medal""]]",fuente1
7,"Doubles, Handicap, Men (Olympic (non-medal))",tennis,tennis,men,doubles,,individual,,,,handicap | medal,doubles,NO,YES,NO,handicap | medal,doubles,0,"[""men"", false, true, [""doubles""], [], [], [""handicap"", ""medal""]]",fuente1
8,"Épée, Individual, Men (Olympic)",fencing,fencing,men,individual,,individual,,,,epee,individual,NO,NO,NO,epee,individual,0,"[""men"", false, false, [""individual""], [], [], [""epee""]]",fuente1
9,Tennis,,,,,,,,,,tennis,,NO,NO,NO,tennis,,0,"["""", false, false, [], [], [], [""tennis""]]",
10,"Doubles, Men (Olympic)",,,,doubles,,individual,,,,,doubles,NO,NO,NO,,doubles,0,"["""", false, false, [""doubles""], [], [], []]",
11,"Doubles, Handicap, Mixed (Olympic (non-medal))",,,,mixed,,individual,,,,handicap | medal,doubles,NO,YES,YES,handicap | medal,doubles | mixed,0,"["""", false, true, [""doubles"", ""mixed""], [], [], [""handicap"", ""medal""]]",
12,"Singles, Handicap, Men (Olympic (non-medal))",,,,singles,,individual,,,,handicap | medal,singles,NO,YES,NO,handicap | medal,singles,0,"["""", false, true, [""singles""], [], [], [""handicap"", ""medal""]]",
13,"Doubles, Handicap, Men (Olympic (non-medal))",,,,doubles,,individual,,,,handicap | medal,doubles,NO,YES,NO,handicap | medal,doubles,0,"["""", false, true, [""doubles""], [], [], [""handicap"", ""medal""]]",
14,"Singles, Men (Intercalated)",,,,singles,,individual,,,,intercalated,singles,NO,NO,NO,intercalated,singles,0,"["""", false, false, [""singles""], [], [], [""intercalated""]]",
15,"Doubles, Mixed (Intercalated)",,,,mixed,,individual,,,,intercalated,doubles,NO,NO,YES,intercalated,doubles | mixed,0,"["""", false, false, [""doubles"", ""mixed""], [], [], [""intercalated""]]",
16,"Doubles, Men (Intercalated)",,,,doubles,,individual,,,,intercalated,doubles,NO,NO,NO,intercalated,doubles,0,"["""", false, false, [""doubles""], [], [], [""intercalated""]]",
17,"Doubles, Covered Courts, Mixed (Olympic)",tennis,tennis,mixed,mixed,,individual,,,,courts | covered,doubles,NO,NO,YES,courts | covered,doubles | mixed,0,"[""mixed"", false, false, [""doubles"", ""mixed""], [], [], [""courts"", ""covered""]]",fuente1
18,"Singles, Covered Courts, Men (Olympic)",,,,singles,,individual,,,,courts | covered,singles,NO,NO,NO,courts | covered,singles,0,"["""", false, false, [""singles""], [], [], [""courts"", ""covered""]]",
19,"Singles, Men (Olympic (non-medal))",tennis,tennis,men,singles,,individual,,,,medal,singles,NO,YES,NO,medal,singles,0,"[""men"", false, true, [""singles""], [], [], [""medal""]]",fuente1
20,"Doubles, Handicap, Mixed (Olympic (non-medal))",,,,mixed,,individual,,,,handicap | medal,doubles,NO,YES,YES,handicap | medal,doubles | mixed,0,"["""", false, true, [""doubles"", ""mixed""], [], [], [""handicap"", ""medal""]]",
21,"Doubles, Covered Courts, Men (Olympic)",,,,doubles,,individual,,,,courts | covered,doubles,NO,NO,NO,courts | covered,doubles,0,"["""", false, false, [""doubles""], [], [], [""courts"", ""covered""]]",
22,Polo,,,,,,,,,,polo,,NO,NO,NO,polo,,0,"["""", false, false, [], [], [], [""polo""]]",
23,"Polo, Men (Olympic (non-medal))",,,,,,,,,,medal | polo,,NO,YES,NO,medal | polo,,0,"["""", false, true, [], [], [], [""medal"", ""polo""]]",
24,"Singles, Men (Olympic)",badminton,badminton,men,singles,,individual,,,,,singles,NO,NO,NO,,singles,0,"[""men"", false, false, [""singles""], [], [], []]",fuente1
25,"Singles, Covered Courts, Women (Olympic)",tennis,tennis,women,singles,,individual,,,,courts | covered,singles,NO,NO,NO,courts | covered,singles,0,"[""women"", false, false, [""singles""], [], [], [""courts"", ""covered""]]",fuente1
26,"Singles, Women (Olympic)",tennis,tennis,women,singles,,individual,,,,,singles,NO,NO,NO,,singles,0,"[""women"", false, false, [""singles""], [], [], []]",fuente1
27,"Doubles, Women (Olympic)",tennis,tennis,women,doubles,,individual,,,,,doubles,NO,NO,NO,,doubles,0,"[""women"", false, false, [""doubles""], [], [], []]",fuente1
28,"Doubles, Women (Olympic)",badminton,badminton,women,doubles,,individual,,,,,doubles,NO,NO,NO,,doubles,0,"[""women"", false, false, [""doubles""], [], [], []]",fuente1
29,"Doubles, Mixed (Olympic)",badminton,badminton,mixed,mixed,,individual,,,,,doubles,NO,NO,YES,,doubles | mixed,0,"[""mixed"", false, false, [""doubles"", ""mixed""], [], [], []]",fuente1
30,"Singles, Handicap, Women (Olympic (non-medal))",tennis,tennis,women,singles,,individual,,,,handicap | medal,singles,NO,YES,NO,handicap | medal,singles,0,"[""women"", false, true, [""singles""], [], [], [""handicap"", ""medal""]]",fuente1
31,"Singles, Women (Olympic)",table tennis,table tennis,women,singles,,individual,,,,,singles,NO,NO,NO,,singles,0,"[""women"", false, false, [""singles""], [], [], []]",fuente1
32,"Doubles, Women (Olympic)",,,,doubles,,individual,,,,,doubles,NO,NO,NO,,doubles,0,"["""", false, false, [""doubles""], [], [], []]",
33,"Singles, Women (Olympic)",badminton,badminton,women,singles,,individual,,,,,singles,NO,NO,NO,,singles,0,"[""women"", false, false, [""singles""], [], [], []]",fuente1
34,"Doubles, Men (Olympic)",badminton,badminton,men,doubles,,individual,,,,,doubles,NO,NO,NO,,doubles,0,"[""men"", false, false, [""doubles""], [], [], []]",fuente1
35,"Singles, Men (Olympic (non-medal))",badminton,badminton,men,singles,,individual,,,,medal,singles,NO,YES,NO,medal,singles,0,"[""men"", false, true, [""singles""], [], [], [""medal""]]",fuente1
36,"Singles, Women (Olympic (non-medal))",tennis,tennis,women,singles,,individual,,,,medal,singles,NO,YES,NO,medal,singles,0,"[""women"", false, true, [""singles""], [], [], [""medal""]]",fuente1
37,"Team, Women (Olympic)",table tennis,table tennis,women,team,team,,,,,,team,NO,NO,NO,,team,0,"[""women"", false, false, [""team""], [], [], []]",fuente1
38,"Doubles, Men (Olympic (non-medal))",tennis,tennis,men,doubles,,individual,,,,medal,doubles,NO,YES,NO,medal,doubles,0,"[""men"", false, true, [""doubles""], [], [], [""medal""]]",fuente1
39,"Hockey, Men (Olympic)",hockey,hockey,men,,,,,,,,,NO,NO,NO,,,0,"[""men"", false, false, [], [], [], []]",fuente1
40,Tennis,,,,,,,,,,tennis,,NO,NO,NO,tennis,,0,"["""", false, false, [], [], [], [""tennis""]]",
41,"Singles, Men (Olympic)",,,,singles,,individual,,,,,singles,NO,NO,NO,,singles,0,"["""", false, false, [""singles""], [], [], []]",
42,"Doubles, Men (Olympic)",,,,doubles,,individual,,,,,doubles,NO,NO,NO,,doubles,0,"["""", false, false, [""doubles""], [], [], []]",
43,"100 metres, Men (Olympic)",athletics,athletics,men,,,,,,,metres,,NO,NO,NO,metres,,0,"[""men"", false, false, [], [], [], [""metres""]]",fuente1
44,"400 metres, Men (Olympic)",athletics,athletics,men,,,,,,,metres,,NO,NO,NO,metres,,0,"[""men"", false, false, [], [], [], [""metres""]]",fuente1
45,"800 metres, Men (Olympic)",,,,,,,,,,metres,,NO,NO,NO,metres,,0,"["""", false, false, [], [], [], [""metres""]]",
