id_evento,nombre,deporte,disciplina,genero,categoria_edad,condicion_medalla,modalidad,team_individual,distancia_normalizada,distancia_compuesta,categoria_peso,aparato,numero_participantes,youth,non_medal,modificadores_restantes,redundancia_padre,semantic_key,fuentes
1,"Singles, Men (Olympic)",tennis,tennis,men,adult,medal,singles,,,,,,,NO,NO,,0,"[""tennis"", ""tennis"", ""men"", ""adult"", ""medal"", [""singles""], [], [], [], []]",fuente1
2,"Doubles, Men (Olympic)",tennis,tennis,men,adult,medal,doubles,,,,,,,NO,NO,,0,"[""tennis"", ""tennis"", ""men"", ""adult"", ""medal"", [""doubles""], [], [], [], []]",fuente1
3,"Doubles, Mixed (Olympic)",tennis,tennis,mixed,adult,medal,doubles | mixed,,,,,,,NO,NO,,0,"[""tennis"", ""tennis"", ""mixed"", ""adult"", ""medal"", [""doubles"", ""mixed""], [], [], [], []]",fuente1
4,"Singles, Men (Olympic)",table tennis,table tennis,men,adult,medal,singles,,,,,,,NO,NO,,0,"[""table tennis"", ""table tennis"", ""men"", ""adult"", ""medal"", [""singles""], [], [], [], []]",fuente1
5,"Doubles, Men (Olympic)",,,,adult,medal,doubles,,,,,,,NO,NO,,0,"["""", """", """", ""adult"", ""medal"", [""doubles""], [], [], [], []]",
6,"Singles, Handicap, Men (Olympic (non-medal))",tennis,tennis,men,adult,medal,singles,,,,,,,NO,NO,handicap,0,"[""tennis"", ""tennis"", ""men"", ""adult"", ""medal"", [""singles""], [], [], [], [""handicap""]]",fuente1
7,"Doubles, Handicap, Men (Olympic (non-medal))",tennis,tennis,men,adult,medal,doubles,,,,,,,NO,NO,handicap,0,"[""tennis"", ""tennis"", ""men"", ""adult"", ""medal"", [""doubles""], [], [], [], [""handicap""]]",fuente1
8,"Épée, Individual, Men (Olympic)",fencing,fencing,men,adult,medal,individual,individual,,,,,individual,NO,NO,epee,0,"[""fencing"", ""fencing"", ""men"", ""adult"", ""medal"", [""individual""], [], [], [], [""epee""]]",fuente1
9,Tennis,,,,adult,medal,,,,,,,,NO,NO,tennis,0,"["""", """", """", ""adult"", ""medal"", [], [], [], [], [""tennis""]]",
10,"Doubles, Men (Olympic)",,,,adult,medal,doubles,,,,,,,NO,NO,,0,"["""", """", """", ""adult"", ""medal"", [""doubles""], [], [], [], []]",
