id_evento_origen,nombre_origen,id_evento_canonico,nombre_canonico,componente_evento,estado,razon
1,"Singles, Men (Olympic)",1,"Singles, Men (Olympic)",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
2,"Doubles, Men (Olympic)",2,"Doubles, Men (Olympic)",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
3,"Doubles, Mixed (Olympic)",3,"Doubles, Mixed (Olympic)",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
4,"Singles, Men (Olympic)",4,"Singles, Men (Olympic)",EV500004,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
5,"Doubles, Men (Olympic)",5,"Doubles, Men (Olympic)",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
6,"Singles, Handicap, Men (Olympic (non-medal))",6,"Singles, Handicap, Men (Olympic (non-medal))",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
7,"Doubles, Handicap, Men (Olympic (non-medal))",7,"Doubles, Handicap, Men (Olympic (non-medal))",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
8,"Épée, Individual, Men (Olympic)",8,"Épée, Individual, Men (Olympic)",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
9,Tennis,9,Tennis,,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
10,"Doubles, Men (Olympic)",10,"Doubles, Men (Olympic)",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
11,"Doubles, Handicap, Mixed (Olympic (non-medal))",11,"Doubles, Handicap, Mixed (Olympic (non-medal))",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
12,"Singles, Handicap, Men (Olympic (non-medal))",12,"Singles, Handicap, Men (Olympic (non-medal))",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
13,"Doubles, Handicap, Men (Olympic (non-medal))",13,"Doubles, Handicap, Men (Olympic (non-medal))",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
14,"Singles, Men (Intercalated)",14,"Singles, Men (Intercalated)",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
15,"Doubles, Mixed (Intercalated)",15,"Doubles, Mixed (Intercalated)",,UNCHANGED,No remapeado; componente en revisión o sin alias seguro
