clave_logica_final,clasificacion,causa_primaria,filas_entrada,filas_eliminadas,id_participacion_superviviente,ids_participacion_entrada,id_atletas_originales,id_eventos_originales,campos_enriquecidos,campos_conflictivos,fuentes
28|2|23|73|B|,CONFLICT_PRESERVED,CONFLICT_PRESERVED,2,0,,116;117,28,23,,posicion,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
155|5|39|83|Germany|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,480,480;503048;736259,155,39;2019,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
313|7|74|21|Belgium|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,879,879;313137;582253,313,74;2389,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
313|7|75|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,880,880;313138,313,75;2390,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
313|7|76|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,881,881;313139,313,76;2391,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
316|7|79|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,886,886;350836,316,79;2620,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
316|7|80|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,887,887;350837,316,80;2621,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
322|7|74|21|Belgium|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,901,901;361019,322,74;2389,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
322|7|75|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,902,902;361020,322,75;2390,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
322|7|76|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,903,903;361021,322,76;2391,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
324|7|74|21|Belgium|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,905,905;376921,324,74;2389,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
324|7|75|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,906,906;376922,324,75;2390,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
324|7|76|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,907,907;376923,324,76;2391,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
325|7|79|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,910,910;377994,325,79;2620,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
325|7|80|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,911,911;377995,325,80;2621,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
327|7|79|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,915,915;402462,327,79;2620,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
327|7|80|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,916,916;402463,327,80;2621,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
329|7|74|21|Belgium|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,919,919;555051,329,74;2389,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
329|7|75|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,920,920;555052,329,75;2390,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
329|7|76|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,921,921;555053,329,76;2391,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
330|7|79|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,924,924;555224,330,79;2620,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
330|7|80|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,925,925;555225,330,80;2621,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
331|7|79|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,928,928;555249,331,79;2620,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
331|7|80|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,929,929;555250,331,80;2621,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
333|7|74|21|Belgium|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,940,940;556091,333,74;2389,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
333|7|75|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,941,941;556092,333,75;2390,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
333|7|76|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,942,942;556093,333,76;2391,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
334|7|79|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,945,945;556264,334,79;2620,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
334|7|80|21|Belgium|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,946,946;556265,334,80;2621,,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
468|7|74|73|France|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,1209,1209;374987,468,74;2389,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
468|7|75|73|France|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,1210,1210;374988,468,75;2390,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
468|7|76|73|France|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,1211,1211;374989,468,76;2391,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
487|7|74|73|France|Bronze,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS + ATHLETE_MERGE,2,1,1250,1250;452563,487;165763,74;2389,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
487|7|75|73|France|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS + ATHLETE_MERGE,2,1,1251,1251;452564,487;165763,75;2390,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
487|7|76|73|France|Silver,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS + ATHLETE_MERGE,2,1,1252,1252;452565,487;165763,76;2391,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1343|41|113|38|Canada|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3015,3015;325087,1343,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1344|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3016,3016;325712;592509,1344,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1345|41|113|150|Netherlands|,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3017,3017;325713;592510,1345,113;2033,edad,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1346|41|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,3,2,3018,3018;327879;594280,1346,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
1346|43|113|223|United States|Gold,PREEXISTING_COMPLEMENTARY_DUPLICATE,EVENT_ALIAS,2,1,3019,3019;327880,1346,113;2033,edad;altura_cm_registrada;peso_kg_registrado,,No determinable directamente en PARTICIPACION; trazabilidad por IDs en reportes de matching
