grupo_logico,filas,duplicados_mergeables,duplicados_conflictivos,clasificacion,ids_participacion,atletas_originales,eventos_originales,campos_conflictivos,id_atleta_canonico,id_evento_canonico
28|2|23|73|B|,2,0,1,CONFLICTING_DUPLICATE_CANDIDATE,116;117,28,23,posicion,28,23
155|5|39|83|Germany|,3,2,0,MERGEABLE_DUPLICATE_CANDIDATE,480;503048;736259,155,2019;39,,155,39
293|45|2656|14|Australia|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,833;337244,293,2230;72,,293,2656
313|7|2389|21|Belgium|Silver,3,2,0,MERGEABLE_DUPLICATE_CANDIDATE,879;313137;582253,313,2389;74,,313,2389
313|7|2390|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,880;313138,313,2390;75,,313,2390
313|7|2391|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,881;313139,313,2391;76,,313,2391
316|7|2620|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,886;350836,316,2620;79,,316,2620
316|7|2621|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,887;350837,316,2621;80,,316,2621
322|7|2389|21|Belgium|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,901;361019,322,2389;74,,322,2389
322|7|2390|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,902;361020,322,2390;75,,322,2390
322|7|2391|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,903;361021,322,2391;76,,322,2391
324|7|2389|21|Belgium|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,905;376921,324,2389;74,,324,2389
324|7|2390|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,906;376922,324,2390;75,,324,2390
324|7|2391|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,907;376923,324,2391;76,,324,2391
325|7|2620|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,910;377994,325,2620;79,,325,2620
325|7|2621|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,911;377995,325,2621;80,,325,2621
327|7|2620|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,915;402462,327,2620;79,,327,2620
327|7|2621|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,916;402463,327,2621;80,,327,2621
329|7|2389|21|Belgium|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,919;555051,329,2389;74,,329,2389
329|7|2390|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,920;555052,329,2390;75,,329,2390
329|7|2391|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,921;555053,329,2391;76,,329,2391
330|7|2620|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,924;555224,330,2620;79,,330,2620
330|7|2621|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,925;555225,330,2621;80,,330,2621
331|7|2620|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,928;555249,331,2620;79,,331,2620
331|7|2621|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,929;555250,331,2621;80,,331,2621
333|7|2389|21|Belgium|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,940;556091,333,2389;74,,333,2389
333|7|2390|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,941;556092,333,2390;75,,333,2390
333|7|2391|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,942;556093,333,2391;76,,333,2391
334|7|2620|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,945;556264,334,2620;79,,334,2620
334|7|2621|21|Belgium|Gold,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,946;556265,334,2621;80,,334,2621
341|38|2656|24|Bhutan|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,959;445394,341,2230;72,,341,2656
342|38|2656|24|Bhutan|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,961;551234,342,2230;72,,342,2656
343|38|2656|24|Bhutan|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,963;551241,343,2230;72,,343,2656
