estado,valor_original,id_entidad,entidad,frecuencia,criterio
NO_VALUE,,,,826524,sin valor
RESOLVED,AUS,30,Australia,4,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,BEL,34,Belgium,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,CRO,116.0,Croatia,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,CZE,71,Czechia,35,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,FRA,94,France,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,FRG,72,Germany,9,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,GBR,98,United Kingdom,2,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,GDR,72,Germany,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,GER,72,Germany,2,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,GRE,106,Greece,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,IRL,128,Ireland,3,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,NOR,194,Norway,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,RUS,219,Russian Federation,8,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,SGP,225,Singapore,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,SLO,239.0,Slovenia,3,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,SRB,231,Serbia,2,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,SUI,54,Switzerland,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,SVK,238,Slovak Republic,2,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,TTO,259,Trinidad and Tobago,1,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
RESOLVED,USA,268,United States,2,código ISO/NOC explícitamente mapeado o nombre/alias geográfico exacto
