muestra,componente_atleta,miembros,nombres,tamano,fuentes,pares_evaluados,pares_safe,pares_review_conflict,pares_same_source_review,transitividad_insegura,attribute_conflict,clasificacion,id_atleta_canonico_propuesto,nombre_canonico_propuesto,puntuacion_completitud_canonico,razon,campos_a_rellenar,campos_attribute_conflict,id_atleta_origen_a,nombre_a,id_atleta_origen_b,nombre_b,fuentes_atleta_a,fuentes_atleta_b,ids_originales_a,ids_originales_b,contextos_compartidos,biografia_estado,senales_altura_peso,same_source,event_aliases_used,componente_evento,deportes,disciplinas,generos,pares_conflict_review,pares_faltantes,coexistencia,id_evento_canonico_propuesto
SAFE_ATHLETE_COMPONENT,AT000007,49;157348,Alison Gordon | Alison Helen Gordon,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,49,Alison Gordon,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000010,55;160544,Monique Javer | Monique Alicia Javer,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,55,Monique Javer,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000011,66;175372,Sara Sankey | Sara Louise Sankey,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,66,Sara Sankey,13/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000013,70;180075,Helen Troke | Helen Suzanne Troke,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,70,Helen Troke,13/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000018,96;157318,Andy Goode | Andy Brian Goode,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,96,Andy Goode,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000045,259;166427,Tonny Maringgi | Tonny Z. Maringgi,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,259,Tonny Maringgi,16/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000079,407;155153,Luis González | Luis Alberto de Jesus Fernndez Gonzalez,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,YES,SAFE_ATHLETE_COMPONENT,407,Luis González,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,altura_cm;peso_kg,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000094,487;165763,Arthur Mabillon | Franois Arthur Mabillon,2.0,fuente1 | fuente2,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,487,Arthur Mabillon,15/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000218,1153;153165,Frederick Desrosiers | Frederick C. Desrosiers,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,1153,Frederick Desrosiers,16/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000219,1193;164211,Louis Lavoie | Louis A. Lavoie,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,1193,Louis Lavoie,15/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000269,1722;162780,Poul Kops | Poul Brge Kops,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,1722,Poul Kops,15/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000270,1737;167737,Achton Mikkelsen | Achton Kjr Mikkelsen,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,1737,Achton Mikkelsen,14/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000271,1770;152307,Victoriano Sosa | Victoriano Damin Sosa,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,1770,Victoriano Sosa,11/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000272,1813;210773,Talaat Dahshan | Talaat El-dahshan,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,1813,Talaat Dahshan,14/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000274,1819;233439,Mohi Hamaky | Mohi El-hamaky,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,1819,Mohi Hamaky,16/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
