clave_logica_original,id_atleta,id_edicion,id_evento,id_noc,equipo,medalla,cantidad_filas,duplicados_excedentes,clasificacion,campos_conflictivos,campos_complementarios,ids_participacion,procedencia
28|2|23|73|B|,28,2,23,73,B,,2,1,PREEXISTING_CONFLICT,posicion,,116;117,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2739|3|19|223||,2739,3,19,223,,,2,1,PREEXISTING_CONFLICT,posicion,,5776;5777,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2743|3|19|223||,2743,3,19,223,,,2,1,PREEXISTING_CONFLICT,posicion,,5790;5791,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2746|3|19|223||,2746,3,19,223,,,2,1,PREEXISTING_CONFLICT,posicion,,5803;5804,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2747|3|19|223||,2747,3,19,223,,,2,1,PREEXISTING_CONFLICT,posicion,,5806;5807,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2755|3|132|223||,2755,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,5824;5825,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2757|3|19|223||,2757,3,19,223,,,2,1,PREEXISTING_CONFLICT,posicion,,5830;5831,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2764|3|138|223||,2764,3,138,223,,,2,1,PREEXISTING_CONFLICT,posicion,,5854;5855,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2777|3|19|223||,2777,3,19,223,,,2,1,PREEXISTING_CONFLICT,posicion,,5897;5898,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2778|3|132|223||,2778,3,132,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,5902;5903,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2780|3|147|223||,2780,3,147,223,,,2,1,PREEXISTING_CONFLICT,posicion,,5916;5917,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2782|3|19|223||,2782,3,19,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,5921;5922,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
2784|3|19|223||,2784,3,19,223,,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,5929;5930,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
8676|3|164|223||,8676,3,164,223,,,2,1,PREEXISTING_CONFLICT,posicion,,13242;13243,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
8676|3|166|223||,8676,3,166,223,,,2,1,PREEXISTING_CONFLICT,posicion,,13245;13246,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11222|3|132|38||,11222,3,132,38,,,4,3,PREEXISTING_CONFLICT,posicion;empatado,,18104;18105;18106;18107,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11588|7|215|21|Weppelghem|,11588,7,215,21,Weppelghem,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,19214;19216,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11683|7|216|223|Nigra / United States|,11683,7,216,223,Nigra / United States,,2,1,PREEXISTING_CONFLICT,posicion,,19458;19463,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11726|6|216|21|La Sioute / Belgium|,11726,6,216,21,La Sioute / Belgium,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,19596;19599,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11754|6|216|21|Clonmore / Belgium|,11754,6,216,21,Clonmore / Belgium,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,19680;19685,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11754|6|215|21|Clonmore|,11754,6,215,21,Clonmore,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,19682;19684,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11793|6|216|21|Capricieux / Belgium|,11793,6,216,21,Capricieux / Belgium,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,19771;19776,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11793|6|215|21|Capricieux|,11793,6,215,21,Capricieux,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,19773;19775,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
11841|6|215|73|Castibalza|,11841,6,215,73,Castibalza,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,19955;19957,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12047|6|215|223|Chiswell|,12047,6,215,223,Chiswell,,2,1,PREEXISTING_CONFLICT,posicion,,20533;20535,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12124|7|215|155|Nökken|,12124,7,215,155,Nökken,,2,1,PREEXISTING_CONFLICT,posicion,,20744;20746,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12152|6|215|78|Harmony|,12152,6,215,78,Harmony,,2,1,PREEXISTING_COMPLEMENTARY_DUPLICATE,,posicion;estado_resultado,20840;20842,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
12372|7|215|21|Gaucho|,12372,7,215,21,Gaucho,,2,1,PREEXISTING_CONFLICT,posicion;empatado,,21475;21477,No incluida en PARTICIPACION; auditada por identificadores de atleta y evento
