archivo,filas,sha256
atleta.csv,338772,9d9a1800843cb34f83ae7a6d9a6fd5ca24d12dc3a085baf58528ae43f70c6744
deporte.csv,65,b096ecfdde1d7abf3eabcfa6ad80a58a485ee5351ea4e053ffd571e373b3738a
disciplina.csv,117,2335e257494e011a86904d00ca87ef3844740a20dd1e39af39e56ddd1e00b3c5
edicion_olimpica.csv,61,2c51d0a0c43627e182ab6262173327af70ff0e4fa0f62dea7f8bde73964013b1
entidad_geografica.csv,282,3630e019afdd63e7afd1e0e98aa60faad7d627113ec45703c9b662bb294ecb67
evento.csv,3106,8dd67d329bae3f45730f26dbf58c8d3dc60f0d45e1eeee131776e27af6cb613e
noc.csv,236,5b687b1cfd49fa0da323f70dc0d053068fd22767df3a1c09f68e486965d17554
participacion.csv,826605,a89617f2f469ede6967884cd7c7365e97a1e7aa56710ace9a1daf0d23e1d9b15
poblacion.csv,17024,73b271ae1dcd517538ec9dcb490d24ba54fcb48ac974d25df03fcb43d7026161
sede.csv,42,1e3f0148c394460798a1a88259413d9cbfac97aa4257cb0c4896eb5e576d11f5
