filas_fuente4_total,id_fuente4,matches_fuente2,cantidad_matches,estado,criterio
100,1,"[""1""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,2,"[""2""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,3,"[""3""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,4,"[""4""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,5,"[""5""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,5,"[""5""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,5,"[""5""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,5,"[""5""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,5,"[""5""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,5,"[""5""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,6,"[""6""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,6,"[""6""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,6,"[""6""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,6,"[""6""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,6,"[""6""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,6,"[""6""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,6,"[""6""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,6,"[""6""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,7,"[""7""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,7,"[""7""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,7,"[""7""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,7,"[""7""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,7,"[""7""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,7,"[""7""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,7,"[""7""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,7,"[""7""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,8,"[""8""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,8,"[""8""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,9,"[""9""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,10,"[""10""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,11,"[""11""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,12,"[""12""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,13,"[""13""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,13,"[""13""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,14,"[""14""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,15,"[""15""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,15,"[""15""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,15,"[""15""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,15,"[""15""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,15,"[""15""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,16,"[""16""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,17,"[""17""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
100,18,"[""18""]",1,MATCHED_EXACT,igualdad normalizada en 14 columnas comunes
