id_evento_secundario,nombre_secundario,id_evento_canonico,nombre_canonico,deporte,disciplina,part_secundario,part_canonico
19,"Singles, Men (Olympic (non-medal))",1,"Singles, Men (Olympic)",Tennis,Tennis,38,841
2091,Tennis Men's Singles,1,"Singles, Men (Olympic)",Tennis,Tennis,1075,841
2897,Men's Singles,1,"Singles, Men (Olympic)",Tennis,Tennis,128,841
38,"Doubles, Men (Olympic (non-medal))",2,"Doubles, Men (Olympic)",Tennis,Tennis,21,831
1992,Tennis Men's Doubles,2,"Doubles, Men (Olympic)",Tennis,Tennis,1018,831
3054,Men's Doubles,2,"Doubles, Men (Olympic)",Tennis,Tennis,65,831
2409,Tennis Mixed Doubles,3,"Doubles, Mixed (Olympic)",Tennis,Tennis,260,209
3083,Mixed Doubles,3,"Doubles, Mixed (Olympic)",Tennis,Tennis,37,209
2180,Table Tennis Men's Singles,4,"Singles, Men (Olympic)",Table Tennis,Table Tennis,653,721
2245,Table Tennis Men's Doubles,5,"Doubles, Men (Olympic)",Table Tennis,Table Tennis,392,322
1956,"Fencing Men's epee, Individual",8,"Épée, Individual, Men (Olympic)",Fencing,Fencing,2188,1814
2955,Men's Épée Individual,8,"Épée, Individual, Men (Olympic)",Fencing,Fencing,71,1814
2329,"Tennis Mixed Doubles, Covered Courts",17,"Doubles, Covered Courts, Mixed (Olympic)",Tennis,Tennis,29,19
2529,"Tennis Men's Singles, Covered Courts",18,"Singles, Covered Courts, Men (Olympic)",Tennis,Tennis,48,33
2528,"Tennis Men's Doubles, Covered Courts",21,"Doubles, Covered Courts, Men (Olympic)",Tennis,Tennis,42,31
35,"Singles, Men (Olympic (non-medal))",24,"Singles, Men (Olympic)",Badminton,Badminton,1,331
1915,Badminton Men's Singles,24,"Singles, Men (Olympic)",Badminton,Badminton,374,331
2725,Men's Singles,24,"Singles, Men (Olympic)",Badminton,Badminton,81,331
2263,"Tennis Women's Singles, Covered Courts",25,"Singles, Covered Courts, Women (Olympic)",Tennis,Tennis,27,17
36,"Singles, Women (Olympic (non-medal))",26,"Singles, Women (Olympic)",Tennis,Tennis,10,629
2408,Tennis Women's Singles,26,"Singles, Women (Olympic)",Tennis,Tennis,807,629
2830,Women's Singles,26,"Singles, Women (Olympic)",Tennis,Tennis,127,629
2410,Tennis Women's Doubles,27,"Doubles, Women (Olympic)",Tennis,Tennis,681,574
3075,Women's Doubles,27,"Doubles, Women (Olympic)",Tennis,Tennis,64,574
97,"Doubles, Women (Olympic (non-medal))",28,"Doubles, Women (Olympic)",Badminton,Badminton,4,337
2363,Badminton Women's Doubles,28,"Doubles, Women (Olympic)",Badminton,Badminton,366,337
3038,Women's Doubles,28,"Doubles, Women (Olympic)",Badminton,Badminton,32,337
100,"Doubles, Mixed (Olympic (non-medal))",29,"Doubles, Mixed (Olympic)",Badminton,Badminton,1,290
2241,Badminton Mixed Doubles,29,"Doubles, Mixed (Olympic)",Badminton,Badminton,322,290
3027,Mixed Doubles,29,"Doubles, Mixed (Olympic)",Badminton,Badminton,32,290
2075,Table Tennis Women's Singles,31,"Singles, Women (Olympic)",Table Tennis,Table Tennis,696,718
2076,Table Tennis Women's Doubles,32,"Doubles, Women (Olympic)",Table Tennis,Table Tennis,394,290
99,"Singles, Women (Olympic (non-medal))",33,"Singles, Women (Olympic)",Badminton,Badminton,1,339
2089,Badminton Women's Singles,33,"Singles, Women (Olympic)",Badminton,Badminton,389,339
2707,Women's Singles,33,"Singles, Women (Olympic)",Badminton,Badminton,81,339
98,"Doubles, Men (Olympic (non-medal))",34,"Doubles, Men (Olympic)",Badminton,Badminton,8,326
2321,Badminton Men's Doubles,34,"Doubles, Men (Olympic)",Badminton,Badminton,369,326
3037,Men's Doubles,34,"Doubles, Men (Olympic)",Badminton,Badminton,34,326
2513,Table Tennis Women's Team,37,"Team, Women (Olympic)",Table Tennis,Table Tennis,187,282
3034,Men,39,"Hockey, Men (Olympic)",Hockey,Hockey,212,6268
2015,Athletics Men's 400 metres,44,"400 metres, Men (Olympic)",Athletics,Athletics,1883,1629
2018,Athletics Men's 800 metres,45,"800 metres, Men (Olympic)",Athletics,Athletics,1791,1439
2000,Athletics Men's 110 metres Hurdles,46,"110 metres Hurdles, Men (Olympic)",Athletics,Athletics,1217,987
388,"High Jump, Men (Olympic (non-medal))",47,"High Jump, Men (Olympic)",Athletics,Athletics,4,944
1947,Athletics Men's High Jump,47,"High Jump, Men (Olympic)",Athletics,Athletics,1170,944
2810,Men's High Jump,47,"High Jump, Men (Olympic)",Athletics,Athletics,64,944
1169,"Pole Vault, Men (Olympic (non-medal))",48,"Pole Vault, Men (Olympic)",Athletics,Athletics,2,744
1946,Athletics Men's Pole Vault,48,"Pole Vault, Men (Olympic)",Athletics,Athletics,883,744
2982,Men's Pole Vault,48,"Pole Vault, Men (Olympic)",Athletics,Athletics,60,744
1104,"Long Jump, Men (Olympic (non-medal))",49,"Long Jump, Men (Olympic)",Athletics,Athletics,7,1120
1967,Athletics Men's Long Jump,49,"Long Jump, Men (Olympic)",Athletics,Athletics,1286,1120
2979,Men's Long Jump,49,"Long Jump, Men (Olympic)",Athletics,Athletics,64,1120
1105,"Triple Jump, Men (Olympic (non-medal))",50,"Triple Jump, Men (Olympic)",Athletics,Athletics,2,938
2080,Athletics Men's Triple Jump,50,"Triple Jump, Men (Olympic)",Athletics,Athletics,1117,938
2783,Men's Triple Jump,50,"Triple Jump, Men (Olympic)",Athletics,Athletics,64,938
2141,Table Tennis Men's Team,54,"Team, Men (Olympic)",Table Tennis,Table Tennis,166,280
508,"Architecture, Open (Olympic (non-medal))",59,"Architecture, Open (Olympic)",Art Competitions,Art Competitions,2,3
146,"Long Jump, Men (Olympic (non-medal))",66,"Long Jump, Men (Olympic)",Tennis,Tennis,1,1
2009,Modern Pentathlon Men's Individual,68,"Individual, Men (Olympic)",Modern Pentathlon,Modern Pentathlon,1318,1064
2072,Modern Pentathlon Men's Team,69,"Team, Men (Olympic)",Modern Pentathlon,Modern Pentathlon,665,491
2162,Archery Men's Individual,70,"Individual, Men (Olympic)",Archery,Archery,959,796
2713,Men's Individual,70,"Individual, Men (Olympic)",Archery,Archery,126,796
2034,Archery Women's Individual,71,"Individual, Women (Olympic)",Archery,Archery,850,711
