id_secundario,nombre_secundario,id_canonico,nombre_canonico,norm_name,sexo,nocs,part_secundario,part_canonico
197394,Arnaud Boetsch,2,Arnaud Boetsch,arnaud boetsch,male,73,1,4
198421,Jean Borotra,3,Jean Borotra,jean borotra,male,73,1,6
198422,Jean Borotra,3,Jean Borotra,jean borotra,male,73,1,6
200760,Jacques Brugnon,4,Jacques Brugnon,jacques brugnon,male,73,1,6
200761,Jacques Brugnon,4,Jacques Brugnon,jacques brugnon,male,73,1,6
205589,Nicolas Chatelain,6,Nicolas Chatelain,nicolas chatelain,male,73,1,4
206303,Patrick Chila,7,Patrick Chila,patrick chila,male,73,1,12
206304,Patrick Chila,7,Patrick Chila,patrick chila,male,73,1,12
206305,Patrick Chila,7,Patrick Chila,patrick chila,male,73,1,12
206306,Patrick Chila,7,Patrick Chila,patrick chila,male,73,1,12
206307,Patrick Chila,7,Patrick Chila,patrick chila,male,73,1,12
207610,Henri Cochet,8,Henri Cochet,henri cochet,male,73,1,5
223817,Guy Forget,17,Guy Forget,guy forget,male,,0,9
223818,Guy Forget,17,Guy Forget,guy forget,male,,0,9
223819,Guy Forget,17,Guy Forget,guy forget,male,,0,9
227040,Jean-Philippe Gatien,18,Jean-Philippe Gatien,jean-philippe gatien,male,73,1,16
227041,Jean-Philippe Gatien,18,Jean-Philippe Gatien,jean-philippe gatien,male,73,1,16
227042,Jean-Philippe Gatien,18,Jean-Philippe Gatien,jean-philippe gatien,male,73,1,16
227043,Jean-Philippe Gatien,18,Jean-Philippe Gatien,jean-philippe gatien,male,73,1,16
227044,Jean-Philippe Gatien,18,Jean-Philippe Gatien,jean-philippe gatien,male,73,1,16
227045,Jean-Philippe Gatien,18,Jean-Philippe Gatien,jean-philippe gatien,male,73,1,16
227046,Jean-Philippe Gatien,18,Jean-Philippe Gatien,jean-philippe gatien,male,73,1,16
256063,Paul Lecaron,25,Paul Lecaron,paul lecaron,male,73,1,6
256135,Henri Leconte,26,Henri Leconte,henri leconte,male,73,1,8
256136,Henri Leconte,26,Henri Leconte,henri leconte,male,73,1,8
256137,Henri Leconte,26,Henri Leconte,henri leconte,male,73,1,8
289990,Guillaume Raoux,32,Guillaume Raoux,guillaume raoux,male,73,1,4
296583,Jean-Pierre Samazeuilh,34,Jean-Pierre Samazeuilh,jean-pierre samazeuilh,male,73,1,6
297342,Fabrice Santoro,35,Fabrice Santoro,fabrice santoro,male,73,1,8
297343,Fabrice Santoro,35,Fabrice Santoro,fabrice santoro,male,73,1,8
297344,Fabrice Santoro,35,Fabrice Santoro,fabrice santoro,male,73,1,8
199408,Julie Bradbury,41,Julie Bradbury,julie bradbury,female,78,1,6
199409,Julie Bradbury,41,Julie Bradbury,julie bradbury,female,78,1,6
