id_evento_secundario,nombre_secundario,id_evento_canonico,nombre_canonico,deporte,disciplina,part_secundario,part_canonico
1956,"Fencing Men's epee, Individual",8,"Épée, Individual, Men (Olympic)",Fencing,Fencing,1,2903
1915,Badminton Men's Singles,24,"Singles, Men (Olympic)",Badminton,Badminton,2,532
2725,Men's Singles,24,"Singles, Men (Olympic)",Badminton,Badminton,1,532
851,"100 metres Freestyle, Men (Olympic)",43,"100 metres, Men (Olympic)",Athletics,Athletics,3,3170
1947,Athletics Men's High Jump,47,"High Jump, Men (Olympic)",Athletics,Athletics,1,1540
2588,Art Competitions Mixed Architecture,59,"Architecture, Open (Olympic)",Art Competitions,Art Competitions,51,5
2009,Modern Pentathlon Men's Individual,68,"Individual, Men (Olympic)",Modern Pentathlon,Modern Pentathlon,1,1674
1949,"Athletics Men's 1,500 metres",95,"1,500 metres, Men (Olympic)",Athletics,Athletics,1,2036
2041,Athletics Men's Marathon,96,"Marathon, Men (Olympic)",Athletics,Athletics,3,3651
2700,Men's Marathon,96,"Marathon, Men (Olympic)",Athletics,Athletics,1,3651
1981,Boxing Men's Flyweight,105,"Flyweight, Men (Olympic)",Boxing,Boxing,1,981
2073,Boxing Men's Bantamweight,108,"Bantamweight, Men (Olympic)",Boxing,Boxing,1,1011
2090,Boxing Men's Light-Middleweight,111,"Light-Middleweight, Men (Olympic)",Boxing,Boxing,1,516
1960,Sailing Mixed 8 metres,123,"8 metres, Open (Olympic)",Sailing,Sailing,321,227
2188,"Art Competitions Mixed Painting, Unknown Event",130,"Painting, Unknown Event, Open (Olympic)",Art Competitions,Art Competitions,892,2
1974,"Cycling Men's Road Race, Individual",151,"Road Race, Individual, Men (Olympic)",Cycling,Cycling Road,2,4787
2239,Sailing Mixed One Person Dinghy,156,"One Person Dinghy, Open (Olympic)",Sailing,Sailing,743,567
2123,Athletics Men's Decathlon,157,"Decathlon, Men (Olympic)",Athletics,Athletics,1,1290
2161,"Canoeing Men's Kayak Singles, Slalom",174,"Kayak Singles, Slalom, Men (Olympic)",Canoeing,Canoe Slalom,1,359
2266,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",195,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",Shooting,Shooting,436,321
2189,"Cycling Men's Team Pursuit, 4,000 metres",199,"Team Pursuit, 4,000 metres, Men (Olympic)",Cycling,Cycling Track,2,2168
2108,Cycling Men's 100 kilometres Team Time Trial,201,"100 kilometres Team Time Trial, Men (Olympic)",Cycling,Cycling Road,3,1633
1728,"Rugby Sevens, Men (Olympic)",203,"Rugby, Men (Olympic)",Rugby,Rugby,364,421
2027,"Equestrianism Mixed Three-Day Event, Individual",208,"Individual, Open (Olympic)",Equestrian,Equestrian Eventing,1031,2
1961,"Equestrianism Mixed Jumping, Individual",209,"Individual, Open (Olympic)",Equestrian,Equestrian Jumping,1429,2636
2302,"Equestrianism Mixed Jumping, Team",210,"Team, Open (Olympic)",Equestrian,Equestrian Jumping,1285,2323
2196,"Equestrianism Men's Three-Day Event, Individual",217,"Individual, Men (Olympic)",Equestrian,Equestrian Eventing,652,839
2197,"Equestrianism Men's Three-Day Event, Team",218,"Team, Men (Olympic)",Equestrian,Equestrian Eventing,612,728
227,Equestrian Dressage (Equestrian),221,Equestrian Eventing (Equestrian),Equestrian,Equestrian Jumping,23,71
2614,Equestrianism Mixed Four-In-Hand Competition,226,"Four-In-Hand Competition, Open (Olympic)",Equestrian,Equestrian Driving,43,28
229,Equestrian Eventing (Equestrian),454,Fencing,Fencing,Fencing,1,6
2633,Equestrianism Mixed Long Jump,232,"Long Jump, Open (Olympic)",Equestrian,Equestrian Jumping,13,8
2647,Equestrianism Mixed High Jump,234,"High Jump, Open (Olympic)",Equestrian,Equestrian Jumping,8,7
2778,Women,252,"Cross-Country, Women (Olympic)",Cycling,Mountain Bike,57,282
2364,"Speed Skating Women's 3,000 metres",263,"3,000 metres, Women (Olympic)",Skating,Speed Skating,406,468
2468,"Speed Skating Women's 5,000 metres",264,"5,000 metres, Women (Olympic)",Skating,Speed Skating,144,171
2165,Speed Skating Women's Team Pursuit (6 laps),265,"Team Pursuit (6 laps), Women (Olympic)",Skating,Speed Skating,93,160
2151,"Cycling Men's 1,000 metres Time Trial",270,"1,000 metres Time Trial, Men (Olympic)",Cycling,Cycling Track,2,649
2884,Men,285,"Cross-Country, Men (Olympic)",Cycling,Mountain Bike,59,395
2285,Cross Country Skiing Men's 18 kilometres,329,"18 kilometres, Men (Olympic)",Skiing,Cross Country Skiing,371,391
1907,Cross Country Skiing Men's 50 kilometres,330,"50 kilometres, Men (Olympic)",Skiing,Cross Country Skiing,1100,1297
2500,"Croquet Mixed Singles, One Ball",345,"Singles, One Ball, Open (Olympic)",Croquet,Croquet,13,9
2501,Croquet Mixed Doubles,346,"Doubles, Open (Olympic)",Croquet,Croquet,3,2
2564,"Croquet Mixed Singles, Two Balls",347,"Singles, Two Balls, Open (Olympic)",Croquet,Croquet,11,8
2492,Motorboating Mixed A-Class (Open),350,"A-Class (Open), Open (Olympic)",Motorboating,Motorboating,10,7
