id_participacion,id_atleta,nombre,anio,edad_csv,edad_calculada_aprox,estado,motivo
10,3,Jean Borotra,1924,,26,REVIEW,Missing or inconsistent age/date requires review.
13,4,Jacques Brugnon,1924,,29,REVIEW,Missing or inconsistent age/date requires review.
15,5,Albert Canet,1912,,34,REVIEW,Missing or inconsistent age/date requires review.
16,5,Albert Canet,1912,,34,REVIEW,Missing or inconsistent age/date requires review.
22,7,Patrick Chila,2000,,31,REVIEW,Missing or inconsistent age/date requires review.
25,8,Henri Cochet,1924,,23,REVIEW,Missing or inconsistent age/date requires review.
27,8,Henri Cochet,1924,,23,REVIEW,Missing or inconsistent age/date requires review.
29,10,Guy de la Chapelle,1900,,32,REVIEW,Missing or inconsistent age/date requires review.
39,12,Max Decugis,1900,,18,REVIEW,Missing or inconsistent age/date requires review.
41,12,Max Decugis,1906,,24,REVIEW,Missing or inconsistent age/date requires review.
42,12,Max Decugis,1906,,24,REVIEW,Missing or inconsistent age/date requires review.
43,12,Max Decugis,1906,,24,REVIEW,Missing or inconsistent age/date requires review.
49,12,Max Decugis,1920,,38,REVIEW,Missing or inconsistent age/date requires review.
50,12,Max Decugis,1920,,38,REVIEW,Missing or inconsistent age/date requires review.
71,18,Jean-Philippe Gatien,1992,,24,REVIEW,Missing or inconsistent age/date requires review.
76,18,Jean-Philippe Gatien,2000,,32,REVIEW,Missing or inconsistent age/date requires review.
80,19,Maurice Germot,1906,,24,REVIEW,Missing or inconsistent age/date requires review.
81,19,Maurice Germot,1906,,24,REVIEW,Missing or inconsistent age/date requires review.
85,19,Maurice Germot,1912,,30,REVIEW,Missing or inconsistent age/date requires review.
86,20,André Gobert,1912,,22,REVIEW,Missing or inconsistent age/date requires review.
87,20,André Gobert,1912,,22,REVIEW,Missing or inconsistent age/date requires review.
90,22,René Lacoste,1924,,20,REVIEW,Missing or inconsistent age/date requires review.
122,30,Édouard Mény de Marangue,1912,,30,REVIEW,Missing or inconsistent age/date requires review.
124,31,André Prévost,1900,,25,REVIEW,Missing or inconsistent age/date requires review.
144,38,Helen Aitchison,1912,,31,REVIEW,Missing or inconsistent age/date requires review.
148,39,Geraldine Beamish,1920,,37,REVIEW,Missing or inconsistent age/date requires review.
149,40,Dora Boothby,1908,,27,REVIEW,Missing or inconsistent age/date requires review.
156,44,Evelyn Colyer,1924,,22,REVIEW,Missing or inconsistent age/date requires review.
157,45,Charlotte Cooper,1900,,30,REVIEW,Missing or inconsistent age/date requires review.
158,45,Charlotte Cooper,1900,,30,REVIEW,Missing or inconsistent age/date requires review.
164,46,Phyllis Covell,1924,,29,REVIEW,Missing or inconsistent age/date requires review.
165,47,Gladys Eastlake-Smith,1908,,25,REVIEW,Missing or inconsistent age/date requires review.
172,51,Alice Greene,1908,,29,REVIEW,Missing or inconsistent age/date requires review.
173,52,Edith Hannam,1912,,34,REVIEW,Missing or inconsistent age/date requires review.
174,52,Edith Hannam,1912,,34,REVIEW,Missing or inconsistent age/date requires review.
175,53,Dorothy Holman,1920,,37,REVIEW,Missing or inconsistent age/date requires review.
177,53,Dorothy Holman,1920,,37,REVIEW,Missing or inconsistent age/date requires review.
182,57,Dorothy Lambert Chambers,1908,,30,REVIEW,Missing or inconsistent age/date requires review.
188,59,Kitty McKane,1920,,24,REVIEW,Missing or inconsistent age/date requires review.
189,59,Kitty McKane,1920,,24,REVIEW,Missing or inconsistent age/date requires review.
190,59,Kitty McKane,1920,,24,REVIEW,Missing or inconsistent age/date requires review.
191,59,Kitty McKane,1924,,28,REVIEW,Missing or inconsistent age/date requires review.
193,59,Kitty McKane,1924,,28,REVIEW,Missing or inconsistent age/date requires review.
196,60,Winifred McNair,1920,,43,REVIEW,Missing or inconsistent age/date requires review.
207,64,Mabel Parton,1912,,31,REVIEW,Missing or inconsistent age/date requires review.
212,68,Dorothy Shepherd-Barron,1924,,27,REVIEW,Missing or inconsistent age/date requires review.
216,71,Ruth Winch,1908,,38,REVIEW,Missing or inconsistent age/date requires review.
224,73,Joanne Wright-Goode,2000,,28,REVIEW,Missing or inconsistent age/date requires review.
229,75,Simon Archer,2000,,27,REVIEW,Missing or inconsistent age/date requires review.
234,76,Roper Barrett,1908,,35,REVIEW,Missing or inconsistent age/date requires review.
235,76,Roper Barrett,1912,,39,REVIEW,Missing or inconsistent age/date requires review.
241,78,Alfred Beamish,1912,,33,REVIEW,Missing or inconsistent age/date requires review.
245,79,John Pius Boland,1896,,26,REVIEW,Missing or inconsistent age/date requires review.
246,79,John Pius Boland,1896,,26,REVIEW,Missing or inconsistent age/date requires review.
247,80,Neil Broad,1996,,30,REVIEW,Missing or inconsistent age/date requires review.
249,81,George Caridia,1908,,39,REVIEW,Missing or inconsistent age/date requires review.
250,81,George Caridia,1908,,39,REVIEW,Missing or inconsistent age/date requires review.
257,83,Clement Cazalet,1908,,39,REVIEW,Missing or inconsistent age/date requires review.
265,87,Charles Dixon,1908,,35,REVIEW,Missing or inconsistent age/date requires review.
266,87,Charles Dixon,1912,,39,REVIEW,Missing or inconsistent age/date requires review.
267,87,Charles Dixon,1912,,39,REVIEW,Missing or inconsistent age/date requires review.
268,87,Charles Dixon,1912,,39,REVIEW,Missing or inconsistent age/date requires review.
269,88,Laurie Doherty,1900,,25,REVIEW,Missing or inconsistent age/date requires review.
270,88,Laurie Doherty,1900,,25,REVIEW,Missing or inconsistent age/date requires review.
271,88,Laurie Doherty,1900,,25,REVIEW,Missing or inconsistent age/date requires review.
276,89,Reggie Doherty,1900,,28,REVIEW,Missing or inconsistent age/date requires review.
277,89,Reggie Doherty,1900,,28,REVIEW,Missing or inconsistent age/date requires review.
278,89,Reggie Doherty,1900,,28,REVIEW,Missing or inconsistent age/date requires review.
282,89,Reggie Doherty,1908,,36,REVIEW,Missing or inconsistent age/date requires review.
285,91,Wilberforce Eaves,1908,,41,REVIEW,Missing or inconsistent age/date requires review.
299,97,Arthur Wentworth Gore,1908,,40,REVIEW,Missing or inconsistent age/date requires review.
300,97,Arthur Wentworth Gore,1908,,40,REVIEW,Missing or inconsistent age/date requires review.
308,99,Tim Henman,1996,,22,REVIEW,Missing or inconsistent age/date requires review.
312,100,George Hillyard,1908,,44,REVIEW,Missing or inconsistent age/date requires review.
331,106,Harold Mahony,1900,,33,REVIEW,Missing or inconsistent age/date requires review.
332,106,Harold Mahony,1900,,33,REVIEW,Missing or inconsistent age/date requires review.
333,106,Harold Mahony,1900,,33,REVIEW,Missing or inconsistent age/date requires review.
340,109,Arthur Norris,1900,,,REVIEW,Missing or inconsistent age/date requires review.
341,109,Arthur Norris,1900,,,REVIEW,Missing or inconsistent age/date requires review.
346,110,James Parke,1908,,27,REVIEW,Missing or inconsistent age/date requires review.
355,113,Josiah Ritchie,1908,,38,REVIEW,Missing or inconsistent age/date requires review.
356,113,Josiah Ritchie,1908,,38,REVIEW,Missing or inconsistent age/date requires review.
357,113,Josiah Ritchie,1908,,38,REVIEW,Missing or inconsistent age/date requires review.
364,116,George Simond,1908,,41,REVIEW,Missing or inconsistent age/date requires review.
369,118,Noel Turnbull,1920,,30,REVIEW,Missing or inconsistent age/date requires review.
371,119,Archibald Warden,1900,,31,REVIEW,Missing or inconsistent age/date requires review.
381,122,Max Woosnam,1920,,28,REVIEW,Missing or inconsistent age/date requires review.
382,122,Max Woosnam,1920,,28,REVIEW,Missing or inconsistent age/date requires review.
387,124,Steffi Graf,1988,,19,REVIEW,Missing or inconsistent age/date requires review.
388,124,Steffi Graf,1988,,19,REVIEW,Missing or inconsistent age/date requires review.
389,124,Steffi Graf,1992,,23,REVIEW,Missing or inconsistent age/date requires review.
396,127,Claudia Kohde-Kilsch,1988,,25,REVIEW,Missing or inconsistent age/date requires review.
397,128,Dora Köring,1912,,32,REVIEW,Missing or inconsistent age/date requires review.
398,128,Dora Köring,1912,,32,REVIEW,Missing or inconsistent age/date requires review.
436,138,Boris Becker,1992,,25,REVIEW,Missing or inconsistent age/date requires review.
441,140,Steffen Fetzner,1992,,24,REVIEW,Missing or inconsistent age/date requires review.
446,143,Otto Froitzheim,1908,,24,REVIEW,Missing or inconsistent age/date requires review.
451,144,Marc-Kevin Goellner,1996,,26,REVIEW,Missing or inconsistent age/date requires review.
