id_atleta,nombre,fecha_nacimiento,participaciones,gold,silver,bronze,total_medallas,estado,motivo,fuente_oficial
3,Jean Borotra,1898-08-13,6,0,0,2,2,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
4,Jacques Brugnon,1895-05-11,6,0,2,0,2,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
5,Albert Canet,1878-04-17,6,0,0,4,4,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
7,Patrick Chila,1969-11-27,12,0,0,2,2,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
8,Henri Cochet,1901-12-14,5,0,4,0,4,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
10,Guy de la Chapelle,1868-07-16,3,0,0,1,1,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
11,"Élie, Comte de Lastours",1874-08-12,6,0,0,0,0,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
12,Max Decugis,1882-09-24,13,4,1,1,6,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
14,Étienne Durand,,4,0,0,0,0,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
16,Adrien Fauchier-Magnan,1873-11-19,3,0,0,0,0,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
18,Jean-Philippe Gatien,1968-10-16,16,0,2,2,4,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
19,Maurice Germot,1882-11-15,14,4,2,0,6,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
20,André Gobert,1890-09-30,2,2,0,0,2,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
22,René Lacoste,1904-07-02,2,0,0,1,1,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
24,Paul Lebreton,1875-10-19,4,0,0,0,0,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
25,Paul Lecaron,1863-07-29,6,0,0,0,0,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
28,"Guy, Baron Lejeune",,10,0,0,0,0,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
30,Édouard Mény de Marangue,1882-11-30,2,0,0,1,1,REVIEW_IDENTITY,Included because athlete has a medal or a top-three result; no claim of individual external verification for every profile.,IOC/Olympic World Library where specified
