id_participacion,id_atleta,nombre,anio,id_edicion,id_evento,evento,id_noc,posicion,estado_resultado,medalla
2,1,Jean-François Blanchy,1912,6,2,"Doubles, Men (Olympic)",73,,DNS,
26,8,Henri Cochet,1924,8,3,"Doubles, Mixed (Olympic)",73,,DNS,
38,12,Max Decugis,1900,2,1,"Singles, Men (Olympic)",73,,DNS,
44,12,Max Decugis,1908,5,1,"Singles, Men (Olympic)",73,,DNS,
45,12,Max Decugis,1908,5,2,"Doubles, Men (Olympic)",73,,DNS,
46,12,Max Decugis,1912,6,17,"Doubles, Covered Courts, Mixed (Olympic)",73,,DNS,
47,12,Max Decugis,1912,6,18,"Singles, Covered Courts, Men (Olympic)",73,,DNS,
52,13,J. Defert,1896,1,2,"Doubles, Men (Olympic)",73,,DNS,
83,19,Maurice Germot,1908,5,2,"Doubles, Men (Olympic)",73,,DNS,
91,23,Daniel Lawton,1912,6,1,"Singles, Men (Olympic)",73,,DNS,
92,23,Daniel Lawton,1912,6,2,"Doubles, Men (Olympic)",73,,DNS,
120,29,Albert Lippmann,1900,2,6,"Singles, Handicap, Men (Olympic (non-medal))",73,,DNS,
131,34,Jean-Pierre Samazeuilh,1912,6,1,"Singles, Men (Olympic)",73,,DNS,
132,34,Jean-Pierre Samazeuilh,1912,6,2,"Doubles, Men (Olympic)",73,,DNS,
161,45,Charlotte Cooper,1908,5,26,"Singles, Women (Olympic)",78,,DNS,
183,57,Dorothy Lambert Chambers,1908,5,25,"Singles, Covered Courts, Women (Olympic)",78,,DNS,
231,76,Roper Barrett,1908,5,1,"Singles, Men (Olympic)",78,,DNS,
232,76,Roper Barrett,1908,5,2,"Doubles, Men (Olympic)",78,,DNS,
233,76,Roper Barrett,1908,5,18,"Singles, Covered Courts, Men (Olympic)",78,,DNS,
275,88,Laurie Doherty,1908,5,1,"Singles, Men (Olympic)",78,,DNS,
286,91,Wilberforce Eaves,1908,5,2,"Doubles, Men (Olympic)",78,,DNS,
297,97,Arthur Wentworth Gore,1908,5,1,"Singles, Men (Olympic)",78,,DNS,
298,97,Arthur Wentworth Gore,1908,5,2,"Doubles, Men (Olympic)",78,,DNS,
311,100,George Hillyard,1908,5,1,"Singles, Men (Olympic)",78,,DNS,
448,143,Otto Froitzheim,1912,6,1,"Singles, Men (Olympic)",83,,DNS,
449,143,Otto Froitzheim,1912,6,2,"Doubles, Men (Olympic)",83,,DNS,
469,150,Oskar Kreuzer,1912,6,3,"Doubles, Mixed (Olympic)",83,,DNS,
470,150,Oskar Kreuzer,1912,6,2,"Doubles, Men (Olympic)",83,,DNS,
474,152,Paul Lindpaintner,1912,6,2,"Doubles, Men (Olympic)",83,,DNS,
508,162,Fritz Traun,1896,1,44,"400 metres, Men (Olympic)",83,,DNS,
510,162,Fritz Traun,1896,1,46,"110 metres Hurdles, Men (Olympic)",83,,DNS,
511,162,Fritz Traun,1896,1,47,"High Jump, Men (Olympic)",83,,DNS,
512,162,Fritz Traun,1896,1,48,"Pole Vault, Men (Olympic)",83,,DNS,
513,162,Fritz Traun,1896,1,49,"Long Jump, Men (Olympic)",83,,DNS,
514,162,Fritz Traun,1896,1,50,"Triple Jump, Men (Olympic)",83,,DNS,
520,164,Otto von Müller,1912,6,3,"Doubles, Mixed (Olympic)",83,,DNS,
535,171,Lena Valaoritou,1924,8,27,"Doubles, Women (Olympic)",85,,DNS,
552,178,Demetrius Casdagli,1906,4,14,"Singles, Men (Intercalated)",85,,DNS,
562,180,Pantelis Papadopoulos,1924,8,3,"Doubles, Mixed (Olympic)",85,,DNS,
570,183,D. Frangopoulos,1896,1,56,"100 metres Freestyle, Men (Olympic)",85,,DNS,
571,183,D. Frangopoulos,1896,1,57,"500 metres Freestyle, Men (Olympic)",85,,DNS,
572,183,D. Frangopoulos,1896,1,58,"1,200 metres Freestyle, Men (Olympic)",85,,DNS,
638,211,Ilona Váradi,1924,8,27,"Doubles, Women (Olympic)",94,,DNS,
664,222,Dezső Lauber,1908,5,2,"Doubles, Men (Olympic)",94,,DNS,
667,223,László Markovits,1992,38,2,"Doubles, Men (Olympic)",94,,DNS,
671,225,Sándor Noszály,1992,38,2,"Doubles, Men (Olympic)",94,,DNS,
679,226,Momcsilló Tapavicza,1896,1,65,"Pole Vault, Men (Olympic)",94,,DNS,
680,226,Momcsilló Tapavicza,1896,1,66,"Long Jump, Men (Olympic)",94,,DNS,
681,226,Momcsilló Tapavicza,1896,1,67,"Shot Put, Men (Olympic)",94,,DNS,
684,227,Ede Tóth,1912,6,1,"Singles, Men (Olympic)",94,,DNS,
685,227,Ede Tóth,1912,6,2,"Doubles, Men (Olympic)",94,,DNS,
696,230,Béla Kehrling,1924,8,3,"Doubles, Mixed (Olympic)",94,,DNS,
717,237,Anton Liederer,1984,34,68,"Individual, Men (Olympic)",15,,DNF,
1492,614,Nicole Provis-Bradtke,1996,41,27,"Doubles, Women (Olympic)",14,,DNS,
1496,616,Rennae Stubbs,1996,41,27,"Doubles, Women (Olympic)",14,,DNS,
1522,625,Teddy Flack,1896,1,44,"400 metres, Men (Olympic)",14,,DNS,
1525,625,Teddy Flack,1896,1,96,"Marathon, Men (Olympic)",14,,DNF,
1551,637,Ronald Thomas,1920,7,2,"Doubles, Men (Olympic)",14,,DNS,
1587,650,Rolf Kinzl,1908,5,2,"Doubles, Men (Olympic)",15,,DNS,
1611,657,"Ludwig, Graf von Salm-Hoogstraeten",1912,6,2,"Doubles, Men (Olympic)",15,,DNS,
1647,667,Marthe Dupont,1924,8,27,"Doubles, Women (Olympic)",21,,DNS,
1663,673,Victor de Laveleye,1928,10,39,"Hockey, Men (Olympic)",21,,DNS,
1671,676,Marie Janssen,1924,8,27,"Doubles, Women (Olympic)",21,,DNS,
1739,694,Jaroslav Hainz,1912,6,21,"Doubles, Covered Courts, Men (Olympic)",28,,DNS,
1741,695,Jiří Kodl,1912,6,2,"Doubles, Men (Olympic)",28,,DNS,
1743,696,Josef Gruss,1908,5,2,"Doubles, Men (Olympic)",28,,DNS,
1745,697,Josef Šebek,1912,6,3,"Doubles, Mixed (Olympic)",28,,DNS,
1747,697,Josef Šebek,1912,6,17,"Doubles, Covered Courts, Mixed (Olympic)",28,,DNS,
1748,697,Josef Šebek,1912,6,18,"Singles, Covered Courts, Men (Olympic)",28,,DNS,
1749,697,Josef Šebek,1912,6,21,"Doubles, Covered Courts, Men (Olympic)",28,,DNS,
1802,718,Diana Koleva-Tsvetanova,1996,41,33,"Singles, Women (Olympic)",34,,DNS,
1808,719,Katerina Maleeva,1992,38,27,"Doubles, Women (Olympic)",34,,DNS,
1811,720,Maggy Maleeva,1992,38,27,"Doubles, Women (Olympic)",34,,DNS,
1874,742,Claude Russell-Brown,1908,5,2,"Doubles, Men (Olympic)",38,,DNS,
1894,749,Anil Kaul,1996,41,24,"Singles, Men (Olympic)",38,,DNS,
2031,802,Paola Bologna,1924,8,27,"Doubles, Women (Olympic)",104,,DNS,
2045,805,Rosetta Gagliardi,1924,8,3,"Doubles, Mixed (Olympic)",104,,DNS,
2054,810,Giulia Perelli,1920,7,26,"Singles, Women (Olympic)",104,,DNS,
2055,810,Giulia Perelli,1920,7,3,"Doubles, Mixed (Olympic)",104,,DNS,
2067,814,"Mino, Conte Balbi Di Robecco",1920,7,3,"Doubles, Mixed (Olympic)",104,,DNS,
2070,815,"Alberto, Conte Bonacossa",1920,7,2,"Doubles, Men (Olympic)",104,,DNS,
2081,819,Cesare Colombo,1924,8,1,"Singles, Men (Olympic)",104,,DNS,
2082,819,Cesare Colombo,1924,8,2,"Doubles, Men (Olympic)",104,,DNS,
2367,941,Camille Wolff,1924,8,3,"Doubles, Mixed (Olympic)",127,,DNS,
2377,944,Karim Alami,1992,38,2,"Doubles, Men (Olympic)",130,,DNS,
2381,945,Hicham Arazi,2004,45,2,"Doubles, Men (Olympic)",130,,DNS,
2383,946,Younès El-Aynaoui,1992,38,2,"Doubles, Men (Olympic)",130,,DNS,
2385,946,Younès El-Aynaoui,2004,45,2,"Doubles, Men (Olympic)",130,,DNS,
2398,954,Alan Sidek Mohamed,1988,36,98,"Doubles, Men (Olympic (non-medal))",131,,DNS,
2400,955,Ajib Sidek Mohamed,1988,36,98,"Doubles, Men (Olympic (non-medal))",131,,DNS,
2600,1024,Molla Bjurstedt-Mallory,1924,8,27,"Doubles, Women (Olympic)",155,,DNS,
2602,1025,Caro Dahl,1920,7,3,"Doubles, Mixed (Olympic)",155,,DNS,
2605,1025,Caro Dahl,1924,8,27,"Doubles, Women (Olympic)",155,,DNS,
2612,1027,Conrad Langaard,1920,7,3,"Doubles, Mixed (Olympic)",155,,DNS,
2630,1032,Trygve Smith,1912,6,3,"Doubles, Mixed (Olympic)",155,,DNS,
2989,1317,David Oleme,1976,30,106,"Lightweight, Men (Olympic)",45,,DNS,
3527,1718,Peter Jørgensen,1936,14,102,"Light-Heavyweight, Men (Olympic)",58,,DNS,
3624,1808,Mahmoud Ahmed,1976,30,107,"Heavyweight, Men (Olympic)",63,,DNS,
3683,1853,Alejandro Arteche,1948,16,107,"Heavyweight, Men (Olympic)",67,,DNS,
4910,2409,José María Alonso,1920,7,3,"Doubles, Mixed (Olympic)",67,,DNS,
4914,2410,José Manuel Alonso,1920,7,3,"Doubles, Mixed (Olympic)",67,,DNS,
4985,2442,Antoinette Gilou,1908,5,26,"Singles, Women (Olympic)",73,,DNS,
4994,2445,Suzanne Lenglen,1924,8,26,"Singles, Women (Olympic)",73,,DNS,
4995,2445,Suzanne Lenglen,1924,8,3,"Doubles, Mixed (Olympic)",73,,DNS,
5046,2463,Rodrigo Pereira,1924,8,2,"Doubles, Men (Olympic)",168,,DNS,
5105,2487,Cătălina Cristea,1996,41,27,"Doubles, Women (Olympic)",175,,DNS,
5108,2488,Ruxandra Dragomir,1996,41,27,"Doubles, Women (Olympic)",175,,DNS,
5121,2494,Nicolae Mișu,1924,8,2,"Doubles, Men (Olympic)",175,,DNS,
5176,2516,Louis Raymond,1924,8,2,"Doubles, Men (Olympic)",176,,DNS,
5181,2519,Pat Spence,1924,8,2,"Doubles, Men (Olympic)",176,,DNS,
5215,2530,Aleksandr Alenitsyn,1912,6,1,"Singles, Men (Olympic)",177,,DNS,
5287,2560,Alberto Chiesa,1920,7,2,"Doubles, Men (Olympic)",197,,DNS,
5338,2580,Margareta Cederschiöld,1912,6,3,"Doubles, Mixed (Olympic)",200,,DNS,
5359,2586,Margareta Lindberg,1920,7,3,"Doubles, Mixed (Olympic)",200,,DNS,
5383,2595,Olle Andersson,1920,7,3,"Doubles, Mixed (Olympic)",200,,DNS,
5401,2600,Jonas Björkman,2004,45,2,"Doubles, Men (Olympic)",200,,DNS,
5424,2604,Torsten Grönfors,1912,6,129,"Doubles, Covered Courts, Men (Olympic)",200,,DNS,
5440,2610,Carl Kempe,1912,6,1,"Singles, Men (Olympic)",200,,DNS,
5441,2610,Carl Kempe,1912,6,3,"Doubles, Mixed (Olympic)",200,,DNS,
5443,2610,Carl Kempe,1912,6,2,"Doubles, Men (Olympic)",200,,DNS,
5468,2618,Frans Möller,1912,6,21,"Doubles, Covered Courts, Men (Olympic)",200,,DNS,
5494,2622,Gunnar Setterwall,1912,6,2,"Doubles, Men (Olympic)",200,,DNS,
5530,2635,Milada Skrbková,1920,7,26,"Singles, Women (Olympic)",204,,DNS,
5535,2638,Karel Ardelt,1912,6,1,"Singles, Men (Olympic)",28,,DNS,
5536,2638,Karel Ardelt,1912,6,2,"Doubles, Men (Olympic)",28,,DNS,
5542,2641,Jaroslav Just,1912,6,3,"Doubles, Mixed (Olympic)",28,,DNS,
5544,2641,Jaroslav Just,1912,6,18,"Singles, Covered Courts, Men (Olympic)",28,,DNS,
5545,2641,Jaroslav Just,1912,6,21,"Doubles, Covered Courts, Men (Olympic)",28,,DNS,
5567,2653,Ladislav Žemla,1908,5,2,"Doubles, Men (Olympic)",28,,DNS,
5707,2713,Lindsay Davenport,2008,47,26,"Singles, Women (Olympic)",223,,DNS,
5743,2725,Marion Jones,1900,2,30,"Singles, Handicap, Women (Olympic (non-medal))",223,,DNS,
5788,2742,Joe Cunningham,1904,3,2,"Doubles, Men (Olympic)",223,,DNS,
5810,2749,Chris Forney,1904,3,19,"Singles, Men (Olympic (non-medal))",223,,DNS,
5811,2749,Chris Forney,1904,3,38,"Doubles, Men (Olympic (non-medal))",223,,DNS,
5833,2757,Hugh McKittrick Jones,1904,3,38,"Doubles, Men (Olympic (non-medal))",223,,DNS,
5835,2758,Harold Kauffman,1904,3,38,"Doubles, Men (Olympic (non-medal))",223,,DNS,
5864,2766,John Neely,1904,3,2,"Doubles, Men (Olympic)",223,,DNS,
5869,2769,Tommy Reidy,1992,38,24,"Singles, Men (Olympic)",223,,DNS,
5882,2774,Fred Sanderson,1904,3,38,"Doubles, Men (Olympic (non-medal))",223,,DNS,
5908,2779,Nathan Smith,1904,3,19,"Singles, Men (Olympic (non-medal))",223,,DNS,
5935,2785,Charles Voigt,1900,2,149,"Individual, Men (Olympic)",73,,DNS,
5959,2795,Oleg Ogorodov,1996,41,2,"Doubles, Men (Olympic)",224,,DNS,
5961,2796,Dmitry Tomashevich,1996,41,2,"Doubles, Men (Olympic)",224,,DNS,
5990,2806,Aleksander Đurđenski,1924,8,2,"Doubles, Men (Olympic)",234,,DNS,
