id_evento,id_disciplina,deporte,disciplina,nombre_evento,clave_semantica,estado,motivo,fuente_oficial
1,96,Tennis,Tennis,"Singles, Men (Olympic)","Tennis|Tennis|Singles, Men (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
2,96,Tennis,Tennis,"Doubles, Men (Olympic)","Tennis|Tennis|Doubles, Men (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
3,96,Tennis,Tennis,"Doubles, Mixed (Olympic)","Tennis|Tennis|Doubles, Mixed (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
4,94,Table Tennis,Table Tennis,"Singles, Men (Olympic)","Table Tennis|Table Tennis|Singles, Men (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
5,94,Table Tennis,Table Tennis,"Doubles, Men (Olympic)","Table Tennis|Table Tennis|Doubles, Men (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
6,96,Tennis,Tennis,"Singles, Handicap, Men (Olympic (non-medal))","Tennis|Tennis|Singles, Handicap, Men (Olympic (non-medal))",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
7,96,Tennis,Tennis,"Doubles, Handicap, Men (Olympic (non-medal))","Tennis|Tennis|Doubles, Handicap, Men (Olympic (non-medal))",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
8,41,Fencing,Fencing,"Épée, Individual, Men (Olympic)","Fencing|Fencing|Épée, Individual, Men (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
9,41,Fencing,Fencing,Tennis,Fencing|Fencing|Tennis,REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
10,41,Fencing,Fencing,"Doubles, Men (Olympic)","Fencing|Fencing|Doubles, Men (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
11,41,Fencing,Fencing,"Doubles, Handicap, Mixed (Olympic (non-medal))","Fencing|Fencing|Doubles, Handicap, Mixed (Olympic (non-medal))",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
12,41,Fencing,Fencing,"Singles, Handicap, Men (Olympic (non-medal))","Fencing|Fencing|Singles, Handicap, Men (Olympic (non-medal))",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
13,41,Fencing,Fencing,"Doubles, Handicap, Men (Olympic (non-medal))","Fencing|Fencing|Doubles, Handicap, Men (Olympic (non-medal))",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
14,96,Tennis,Tennis,"Singles, Men (Intercalated)","Tennis|Tennis|Singles, Men (Intercalated)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
15,96,Tennis,Tennis,"Doubles, Mixed (Intercalated)","Tennis|Tennis|Doubles, Mixed (Intercalated)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
16,96,Tennis,Tennis,"Doubles, Men (Intercalated)","Tennis|Tennis|Doubles, Men (Intercalated)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
17,96,Tennis,Tennis,"Doubles, Covered Courts, Mixed (Olympic)","Tennis|Tennis|Doubles, Covered Courts, Mixed (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
18,96,Tennis,Tennis,"Singles, Covered Courts, Men (Olympic)","Tennis|Tennis|Singles, Covered Courts, Men (Olympic)",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
19,96,Tennis,Tennis,"Singles, Men (Olympic (non-medal))","Tennis|Tennis|Singles, Men (Olympic (non-medal))",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
20,96,Tennis,Tennis,"Doubles, Handicap, Mixed (Olympic (non-medal))","Tennis|Tennis|Doubles, Handicap, Mixed (Olympic (non-medal))",REVIEW_EVENT,Semantic event key retained; no claim of row-by-row official extraction.,IOC Olympic results/programmes
