id_edicion,anio,id_evento,evento,codigo_noc,gold,silver,bronze,filas_atleta,estado,motivo,fuente_oficial
1,1896,1,"Singles, Men (Olympic)",GBR,John Pius Boland,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1,"Singles, Men (Olympic)",GRE,,Demetrius Casdagli,Konstantinos Paspatis,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1,"Singles, Men (Olympic)",HUN,,,Momcsilló Tapavicza,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1102,"Unlimited Class, Greco-Roman, Men (Olympic)",GER,Carl Schuhmann,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1115,"Horse Vault, Men (Olympic)",GER,Carl Schuhmann,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1116,"Parallel Bars, Teams, Men (Olympic)",GER,Carl Schuhmann,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1118,"Horizontal Bar, Teams, Men (Olympic)",GER,Carl Schuhmann,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,151,"Road Race, Individual, Men (Olympic)",GBR,,,Edward Battel,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,151,"Road Race, Individual, Men (Olympic)",GER,,Anton Gödrich,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,151,"Road Race, Individual, Men (Olympic)",GRE,Aristidis Konstantinidis,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1928,Athletics Men's Shot Put,USA,Bob Garrett; Robert Garrett,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
