ranking,puesto,id_atleta,nombre,medallas,estado,motivo
Gold,1,93113,Michael Phelps,23,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,2,77795,Ray Ewry,20,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,3,67218,Paavo Nurmi,18,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,4,9825,Birgit Fischer-Schmidt,16,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,5,78102,Carl Lewis,16,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,6,50859,Jenny Thompson,16,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,7,11443,Isabell Werth,14,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,8,124356,Katie Ledecky,14,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,9,111919,Jason Kenny,13,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,10,104492,Usain Bolt,13,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,11,89671,Chris Hoy,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,12,22508,Edoardo Mangiarotti,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,13,10707,Gert Fredriksson,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,14,81744,Lidiya Skoblikova,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,15,82435,Lyubov Yegorova,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,16,22528,Nedo Nadi,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,17,12179,Reiner Klimke,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,18,114815,Svetlana Romashina,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,19,100699,Viktor An,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,20,50865,Amy Van Dyken,11,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,21,47163,Kristin Otto,11,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,22,44364,Al Lane,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,23,106574,Anastasiya Davydova,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,24,80023,Bonnie Blair,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,25,89675,Bradley Wiggins,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,26,50950,Charlie Daniels,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,27,114715,Chen Ruolin,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,28,97474,Clas Thunberg,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,29,81402,Claudia Pechstein,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,30,85870,Eric Heiden,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,31,91944,Georgeta Damian-Andrunache,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,32,333,Hubert Van Innis,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,33,47743,Krisztina Egerszegi,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,34,80983,Larisa Lazutina,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,35,51214,Mark Spitz,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,36,78441,Martin Sheridan,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,37,50908,Matt Biondi,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,38,124381,Missy Franklin,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,39,114812,Nataliya Ishchenko,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,40,43187,Ole Lilloe-Olsen,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,41,37146,Steven Redgrave,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,42,106803,Wu Minxia,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,43,102520,Dana Vollmer,9,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,44,51194,Don Schollander,9,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,45,28985,Larisa Latynina,9,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,46,164169,Larysa Semenivna Latynina (Diriy-),9,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,47,122014,Laura Trott-Kenny,9,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,48,43752,Louis Richardet,9,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,49,93112,Aaron Peirsol,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Gold,50,78077,Al Kraenzlein,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,1,50597,Shirley Babashoff,12,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,2,11431,Anky van Grunsven,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,3,94892,Bogdan Musiol,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,4,47316,Dagmar Hase,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,5,22508,Edoardo Mangiarotti,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,6,22515,Gustavo Marzi,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,7,11443,Isabell Werth,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,8,92527,Leisel Jones,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,9,81748,Raisa Smetanina,10,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,10,117263,Charlotte Kalla,9,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,11,50604,Amanda Beard,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,12,9825,Birgit Fischer-Schmidt,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,13,50860,Dara Torres,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,14,104245,David Cal,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,15,28313,Erika Zuchold,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,16,47405,Franziska van Almsick,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,17,22499,Giulio Gaudini,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,18,114819,Huang Xuechen,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,19,12713,Ian Stark,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,20,12506,J. Michael Plumb,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,21,102357,Kara Lynn Joyce,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,22,80378,Karin Enke-Kania,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,23,91829,Katherine Grainger,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
Silver,24,93295,Kirsty Coventry,8,REVIEW,Ranking derived locally; top historical figures were checked selectively.
