tipo,id,padre,nombre,estado,motivo,fuente_oficial
DEPORTE,1,,Aeronautics,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,2,,Air Sports,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,3,,Aquatics,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,4,,Archery,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,5,,Art Competitions,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,6,,Athletics,MATCH,Official-program nomenclature checked for priority sports.,IOC Olympic programme/results
DEPORTE,7,,Australian Rules Football,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,8,,Badminton,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,9,,Bandy,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,10,,Baseball/Softball,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,11,,Basketball,MATCH,Official-program nomenclature checked for priority sports.,IOC Olympic programme/results
DEPORTE,12,,Basque Pelota,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,13,,Biathlon,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,14,,Bobsleigh,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,15,,Boxing,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,16,,Breaking,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,17,,Canoeing,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,18,,Cricket,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,19,,Croquet,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,20,,Curling,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,21,,Cycling,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,22,,Equestrian,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,23,,Fencing,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,24,,Football,MATCH,Official-program nomenclature checked for priority sports.,IOC Olympic programme/results
DEPORTE,25,,Glíma,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,26,,Golf,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,27,,Gymnastics,MATCH,Official-program nomenclature checked for priority sports.,IOC Olympic programme/results
DEPORTE,28,,Handball,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,29,,Hockey,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,30,,Ice Hockey,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,31,,Intercalated,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,32,,Jeu de Paume,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,33,,Judo,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,34,,Karate,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,35,,Lacrosse,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,36,,Luge,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,37,,Modern Pentathlon,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,38,,Motorboating,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,39,,Mountaineering,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,40,,Olympic,REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
DEPORTE,41,,Olympic (non-medal),REVIEW,Requires event-program source comparison beyond the available audit corpus.,IOC Olympic programme/results
