tipo,objeto,actual,estado
table_count,ENTIDAD_GEOGRAFICA,282,READ_ONLY_CHECK
table_count,POBLACION,17024,READ_ONLY_CHECK
table_count,NOC,236,READ_ONLY_CHECK
table_count,ATLETA,336418,READ_ONLY_CHECK
table_count,SEDE,42,READ_ONLY_CHECK
table_count,EDICION_OLIMPICA,61,READ_ONLY_CHECK
table_count,DEPORTE,65,READ_ONLY_CHECK
table_count,DISCIPLINA,117,READ_ONLY_CHECK
table_count,EVENTO,2986,READ_ONLY_CHECK
table_count,PARTICIPACION,712658,READ_ONLY_CHECK
orphan_check,FK_ATLETA,0,PASS
orphan_check,FK_EVENTO,0,PASS
orphan_check,FK_DISCIPLINA,0,PASS
orphan_check,FK_EDICION,0,PASS
