"tabla","columna","ordinal_real","tipo_real","longitud_real","nullable_real","collation_real","ordinal_script","tipo_esperado","compatible"
"ATLETA","id_atleta","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"ATLETA","nombre","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"ATLETA","nombre_completo","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
"ATLETA","nombre_usado","4","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","4","NVARCHAR(MAX)","PASS"
"ATLETA","nombre_original","5","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","5","NVARCHAR(MAX)","PASS"
"ATLETA","otros_nombres","6","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","6","NVARCHAR(MAX)","PASS"
"ATLETA","apodos","7","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","7","NVARCHAR(MAX)","PASS"
"ATLETA","orden_nombre","8","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","8","NVARCHAR(MAX)","PASS"
"ATLETA","sexo","9","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","9","NVARCHAR(MAX)","PASS"
"ATLETA","fecha_nacimiento","10","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","10","NVARCHAR(MAX)","PASS"
"ATLETA","ciudad_nacimiento","11","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","11","NVARCHAR(MAX)","PASS"
"ATLETA","region_nacimiento","12","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","12","NVARCHAR(MAX)","PASS"
"ATLETA","id_pais_nacimiento","13","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","13","NVARCHAR(MAX)","PASS"
"ATLETA","id_pais_nacionalidad","14","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","14","NVARCHAR(MAX)","PASS"
"ATLETA","fecha_fallecimiento","15","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","15","NVARCHAR(MAX)","PASS"
"ATLETA","ciudad_fallecimiento","16","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","16","NVARCHAR(MAX)","PASS"
"ATLETA","region_fallecimiento","17","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","17","NVARCHAR(MAX)","PASS"
"ATLETA","id_pais_fallecimiento","18","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","18","NVARCHAR(MAX)","PASS"
"ATLETA","altura_cm","19","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","19","NVARCHAR(MAX)","PASS"
"ATLETA","peso_kg","20","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","20","NVARCHAR(MAX)","PASS"
"ATLETA","roles","21","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","21","NVARCHAR(MAX)","PASS"
"ATLETA","afiliaciones","22","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","22","NVARCHAR(MAX)","PASS"
"ATLETA","titulos","23","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","23","NVARCHAR(MAX)","PASS"
"ATLETA","latitud","24","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","24","NVARCHAR(MAX)","PASS"
"ATLETA","longitud","25","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","25","NVARCHAR(MAX)","PASS"
"DEPORTE","id_deporte","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"DEPORTE","nombre","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"DISCIPLINA","id_disciplina","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"DISCIPLINA","id_deporte","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"DISCIPLINA","nombre","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
"EDICION_OLIMPICA","id_edicion","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"EDICION_OLIMPICA","anio","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"EDICION_OLIMPICA","temporada","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
"EDICION_OLIMPICA","id_sede","4","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","4","NVARCHAR(MAX)","PASS"
"ENTIDAD_GEOGRAFICA","id_entidad","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"ENTIDAD_GEOGRAFICA","nombre","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"ENTIDAD_GEOGRAFICA","codigo_pais","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
"EVENTO","id_evento","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"EVENTO","id_disciplina","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"EVENTO","nombre","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
"NOC","id_noc","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"NOC","codigo_noc","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"NOC","nombre_noc","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
"NOC","id_entidad","4","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","4","NVARCHAR(MAX)","PASS"
"NOC","notas","5","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","5","NVARCHAR(MAX)","PASS"
"PARTICIPACION","id_participacion","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"PARTICIPACION","id_atleta","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"PARTICIPACION","id_edicion","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
"PARTICIPACION","id_evento","4","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","4","NVARCHAR(MAX)","PASS"
"PARTICIPACION","id_noc","5","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","5","NVARCHAR(MAX)","PASS"
"PARTICIPACION","id_pais_nacionalidad","6","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","6","NVARCHAR(MAX)","PASS"
"PARTICIPACION","equipo","7","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","7","NVARCHAR(MAX)","PASS"
"PARTICIPACION","nombre_competencia","8","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","8","NVARCHAR(MAX)","PASS"
"PARTICIPACION","edad","9","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","9","NVARCHAR(MAX)","PASS"
"PARTICIPACION","altura_cm_registrada","10","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","10","NVARCHAR(MAX)","PASS"
"PARTICIPACION","peso_kg_registrado","11","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","11","NVARCHAR(MAX)","PASS"
"PARTICIPACION","posicion","12","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","12","NVARCHAR(MAX)","PASS"
"PARTICIPACION","empatado","13","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","13","NVARCHAR(MAX)","PASS"
"PARTICIPACION","estado_resultado","14","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","14","NVARCHAR(MAX)","PASS"
"PARTICIPACION","medalla","15","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","15","NVARCHAR(MAX)","PASS"
"POBLACION","id_entidad","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"POBLACION","anio","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"POBLACION","poblacion","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
"SEDE","id_sede","1","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","1","NVARCHAR(MAX)","PASS"
"SEDE","nombre","2","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","2","NVARCHAR(MAX)","PASS"
"SEDE","id_pais","3","NVARCHAR(MAX)","-1","1","SQL_Latin1_General_CP1_CI_AS","3","NVARCHAR(MAX)","PASS"
