fuente,archivo_relativo,nombre_archivo,columna,tipo_deteccion,valor_especial_detectado,frecuencia,ejemplos
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,name,LEADING_OR_TRAILING_SPACE,<LEADING_OR_TRAILING_SPACE>,932,"["" Finarsih"","" Mia Audina"","" Suharyadi"","" Druart, Jr."","" Denet"","" Galinard"","" Lecomte"","" Coroa"",""Ba Nyein "",""Zaw Latt ""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,name,NON_ASCII,<NON_ASCII>,26261,"[""Jean-François Blanchy"",""Élie, Comte de Lastours"",""Étienne Durand"",""Damien Éloi"",""André Gobert"",""René Lacoste"",""Christophe Legoût"",""Édouard Mény de Marangue"",""André Prévost"",""Stéphane Renault""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_date,EMPTY_STRING,<EMPTY_STRING>,1807,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_city,EMPTY_STRING,<EMPTY_STRING>,34592,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_city,LEADING_OR_TRAILING_SPACE,<LEADING_OR_TRAILING_SPACE>,11,"[""Daraun-Sirubari "",""Grâce-Berleur "",""Maughold "",""Sainte-Marie-Chevigny "",""Munirka "",""Tambacounda "",""Roxborough "",""Báguanos "",""Høje Taastrup "",""Schwalmstadt ""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_city,NON_ASCII,<NON_ASCII>,16333,"[""Nîmes"",""Alès"",""Montbéliard"",""Bagnols-sur-Cèze"",""Montréal"",""Saarbrücken"",""Târgu Mureș"",""Sălacea"",""Eimsbüttel"",""Fürth""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_region,EMPTY_STRING,<EMPTY_STRING>,34592,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_region,NON_ASCII,<NON_ASCII>,20079,"[""Pyrénées-Atlantiques"",""Rhône"",""Îles du Vent"",""Québec"",""Baden-Württemberg"",""Mureș"",""Olomoucký kraj"",""Bistrița-Năsăud"",""Rabat-Salé-Kénitra"",""Hajdú-Bihar""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_country,EMPTY_STRING,<EMPTY_STRING>,34592,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,NOC,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,NOC,NON_ASCII,<NON_ASCII>,1060,"[""Côte d'Ivoire"",""Türkiye"",""Georgia Türkiye"",""Russian Federation Türkiye Unified Team"",""Türkiye Ukraine"",""Belarus Türkiye Unified Team"",""Côte d'Ivoire France"",""São Tomé and Príncipe"",""Türkiye Unified Team"",""Belarus Türkiye""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,height_cm,EMPTY_STRING,<EMPTY_STRING>,38849,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,height_cm,POTENTIAL_OUTLIER_IQR,<POTENTIAL_OUTLIER_IQR>,1490,"[""146.0"",""150.0"",""150.0"",""208.0"",""150.0"",""204.0"",""203.0"",""206.0"",""205.0"",""204.0""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,weight_kg,EMPTY_STRING,<EMPTY_STRING>,43430,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,weight_kg,POTENTIAL_OUTLIER_IQR,<POTENTIAL_OUTLIER_IQR>,1837,"[""125.0"",""133.0"",""110.0"",""127.0"",""110.0"",""128.0"",""110.0"",""130.0"",""110.0"",""108.0""]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,died_date,EMPTY_STRING,<EMPTY_STRING>,111560,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,name,LEADING_OR_TRAILING_SPACE,<LEADING_OR_TRAILING_SPACE>,932,"["" Finarsih"","" Mia Audina"","" Suharyadi"","" Druart, Jr."","" Denet"","" Galinard"","" Lecomte"","" Coroa"",""Ba Nyein "",""Zaw Latt ""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,name,NON_ASCII,<NON_ASCII>,26261,"[""Jean-François Blanchy"",""Élie, Comte de Lastours"",""Étienne Durand"",""Damien Éloi"",""André Gobert"",""René Lacoste"",""Christophe Legoût"",""Édouard Mény de Marangue"",""André Prévost"",""Stéphane Renault""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,born_date,EMPTY_STRING,<EMPTY_STRING>,1807,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,born_city,EMPTY_STRING,<EMPTY_STRING>,34592,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,born_city,LEADING_OR_TRAILING_SPACE,<LEADING_OR_TRAILING_SPACE>,11,"[""Daraun-Sirubari "",""Grâce-Berleur "",""Maughold "",""Sainte-Marie-Chevigny "",""Munirka "",""Tambacounda "",""Roxborough "",""Báguanos "",""Høje Taastrup "",""Schwalmstadt ""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,born_city,NON_ASCII,<NON_ASCII>,16333,"[""Nîmes"",""Alès"",""Montbéliard"",""Bagnols-sur-Cèze"",""Montréal"",""Saarbrücken"",""Târgu Mureș"",""Sălacea"",""Eimsbüttel"",""Fürth""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,born_region,EMPTY_STRING,<EMPTY_STRING>,34592,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,born_region,NON_ASCII,<NON_ASCII>,20079,"[""Pyrénées-Atlantiques"",""Rhône"",""Îles du Vent"",""Québec"",""Baden-Württemberg"",""Mureș"",""Olomoucký kraj"",""Bistrița-Năsăud"",""Rabat-Salé-Kénitra"",""Hajdú-Bihar""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,born_country,EMPTY_STRING,<EMPTY_STRING>,34592,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,NOC,EMPTY_STRING,<EMPTY_STRING>,1,"[""<EMPTY_STRING>""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,NOC,NON_ASCII,<NON_ASCII>,1060,"[""Côte d'Ivoire"",""Türkiye"",""Georgia Türkiye"",""Russian Federation Türkiye Unified Team"",""Türkiye Ukraine"",""Belarus Türkiye Unified Team"",""Côte d'Ivoire France"",""São Tomé and Príncipe"",""Türkiye Unified Team"",""Belarus Türkiye""]"
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,height_cm,EMPTY_STRING,<EMPTY_STRING>,38849,"[""<EMPTY_STRING>""]"
