fuente,archivo_relativo,nombre_archivo,columna,posicion_columna,tipo_inferido,filas_total,no_nulos,nulos,porcentaje_nulos,valores_unicos,porcentaje_cardinalidad,longitud_min_texto,longitud_max_texto,minimo_numerico,maximo_numerico,ejemplos_frecuentes,ejemplos_poco_frecuentes
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,athlete_id,1,int64,145500,145500,0,0.0,145500,100.0,1,6,1,149814,"[{""valor"":""1"",""frecuencia"":1},{""valor"":""2"",""frecuencia"":1},{""valor"":""3"",""frecuencia"":1},{""valor"":""4"",""frecuencia"":1},{""valor"":""5"",""frecuencia"":1}]","[{""valor"":""1"",""frecuencia"":1},{""valor"":""10"",""frecuencia"":1},{""valor"":""100"",""frecuencia"":1},{""valor"":""1000"",""frecuencia"":1},{""valor"":""10000"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,name,2,str,145500,145500,0,0.0,142780,98.1306,3,49,,,"[{""valor"":""Ivan Ivanov"",""frecuencia"":13},{""valor"":""José González"",""frecuencia"":9},{""valor"":""Luis López"",""frecuencia"":9},{""valor"":""José Pérez"",""frecuencia"":8},{""valor"":""Luis González"",""frecuencia"":7}]","[{""valor"":"" Abel Braga"",""frecuencia"":1},{""valor"":"" Abelardo"",""frecuencia"":1},{""valor"":"" Abner"",""frecuencia"":1},{""valor"":"" Acedo"",""frecuencia"":1},{""valor"":"" Adalberto"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_date,3,str,145500,143693,1807,1.2419,41279,28.3704,10,10,,,"[{""valor"":""1931-01-01"",""frecuencia"":63},{""valor"":""1932-01-01"",""frecuencia"":52},{""valor"":""1903-01-01"",""frecuencia"":47},{""valor"":""1936-01-01"",""frecuencia"":45},{""valor"":""1934-01-01"",""frecuencia"":43}]","[{""valor"":""1828-10-25"",""frecuencia"":1},{""valor"":""1831-02-14"",""frecuencia"":1},{""valor"":""1831-02-27"",""frecuencia"":1},{""valor"":""1833-01-03"",""frecuencia"":1},{""valor"":""1836-03-11"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_city,4,str,145500,110908,34592,23.7746,22368,15.3732,2,45,,,"[{""valor"":""Budapest"",""frecuencia"":1378},{""valor"":""Moskva (Moscow)"",""frecuencia"":883},{""valor"":""Oslo"",""frecuencia"":708},{""valor"":""Stockholm"",""frecuencia"":629},{""valor"":""Praha (Prague)"",""frecuencia"":600}]","[{""valor"":""Aarani"",""frecuencia"":1},{""valor"":""Aarschot"",""frecuencia"":1},{""valor"":""Aartselaar"",""frecuencia"":1},{""valor"":""Abaetetuba"",""frecuencia"":1},{""valor"":""Abang"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_region,5,str,145500,110908,34592,23.7746,2554,1.7553,2,36,,,"[{""valor"":""England"",""frecuencia"":4824},{""valor"":""Ontario"",""frecuencia"":1710},{""valor"":""California"",""frecuencia"":1634},{""valor"":""Budapest"",""frecuencia"":1447},{""valor"":""New South Wales"",""frecuencia"":1120}]","[{""valor"":""Acklins"",""frecuencia"":1},{""valor"":""Afar"",""frecuencia"":1},{""valor"":""Ahal"",""frecuencia"":1},{""valor"":""Ajdovščina"",""frecuencia"":1},{""valor"":""Akwa Ibom"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,born_country,6,str,145500,110908,34592,23.7746,236,0.1622,3,9,,,"[{""valor"":""USA"",""frecuencia"":9641},{""valor"":""GER"",""frecuencia"":6891},{""valor"":""GBR"",""frecuencia"":5792},{""valor"":""FRA"",""frecuencia"":5143},{""valor"":""ITA"",""frecuencia"":4709}]","[{""valor"":""Aarhus"",""frecuencia"":1},{""valor"":""Altmark"",""frecuencia"":1},{""valor"":""COK"",""frecuencia"":1},{""valor"":""Corfu"",""frecuencia"":1},{""valor"":""Elster"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,NOC,7,str,145500,145499,1,0.0007,696,0.4784,3,75,,,"[{""valor"":""United States"",""frecuencia"":10114},{""valor"":""Great Britain"",""frecuencia"":6421},{""valor"":""France"",""frecuencia"":6339},{""valor"":""Canada"",""frecuencia"":5276},{""valor"":""Italy"",""frecuencia"":5189}]","[{""valor"":""Albania Australia"",""frecuencia"":1},{""valor"":""Albania Bulgaria"",""frecuencia"":1},{""valor"":""Albania Greece"",""frecuencia"":1},{""valor"":""Albania Kosovo"",""frecuencia"":1},{""valor"":""Albania United States"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,height_cm,8,float64,145500,106651,38849,26.7003,95,0.0653,5,5,127.0,226.0,"[{""valor"":""180.0"",""frecuencia"":6617},{""valor"":""170.0"",""frecuencia"":5944},{""valor"":""178.0"",""frecuencia"":5617},{""valor"":""175.0"",""frecuencia"":5408},{""valor"":""183.0"",""frecuencia"":4490}]","[{""valor"":""128.0"",""frecuencia"":1},{""valor"":""131.0"",""frecuencia"":1},{""valor"":""226.0"",""frecuencia"":1},{""valor"":""127.0"",""frecuencia"":2},{""valor"":""130.0"",""frecuencia"":2}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,weight_kg,9,float64,145500,102070,43430,29.8488,141,0.0969,4,5,25.0,198.0,"[{""valor"":""70.0"",""frecuencia"":4688},{""valor"":""75.0"",""frecuencia"":4120},{""valor"":""60.0"",""frecuencia"":3728},{""valor"":""68.0"",""frecuencia"":3545},{""valor"":""80.0"",""frecuencia"":3290}]","[{""valor"":""161.0"",""frecuencia"":1},{""valor"":""167.0"",""frecuencia"":1},{""valor"":""175.0"",""frecuencia"":1},{""valor"":""178.0"",""frecuencia"":1},{""valor"":""180.0"",""frecuencia"":1}]"
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,died_date,10,str,145500,33940,111560,76.6735,20009,13.7519,10,10,,,"[{""valor"":""2002-01-01"",""frecuencia"":47},{""valor"":""2013-01-01"",""frecuencia"":42},{""valor"":""2008-01-01"",""frecuencia"":41},{""valor"":""1997-01-01"",""frecuencia"":41},{""valor"":""1990-01-01"",""frecuencia"":40}]","[{""valor"":""1900-04-23"",""frecuencia"":1},{""valor"":""1900-08-19"",""frecuencia"":1},{""valor"":""1900-12-30"",""frecuencia"":1},{""valor"":""1901-05-02"",""frecuencia"":1},{""valor"":""1901-05-21"",""frecuencia"":1}]"
