fuente,archivo_relativo,nombre_archivo,filas_total,columnas_total,nombres_columnas,filas_completamente_vacias,columnas_completamente_vacias,duplicados_exactos,tamano_bytes,codificacion
fuente1,data/raw/fuente1/clean/bios.csv,bios.csv,145500,10,"[""athlete_id"",""name"",""born_date"",""born_city"",""born_region"",""born_country"",""NOC"",""height_cm"",""weight_kg"",""died_date""]",0,0,0,10984430,utf-8
fuente1,data/raw/fuente1/clean/bios_locs.csv,bios_locs.csv,145500,12,"[""athlete_id"",""name"",""born_date"",""born_city"",""born_region"",""born_country"",""NOC"",""height_cm"",""weight_kg"",""died_date"",""lat"",""long""]",0,0,0,12714370,utf-8
fuente1,data/raw/fuente1/clean/noc_regions.csv,noc_regions.csv,230,3,"[""NOC"",""region"",""notes""]",0,0,0,3825,utf-8
fuente1,data/raw/fuente1/clean/populations.csv,populations.csv,266,66,"[""Country Name"",""Country Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023""]",0,0,0,180131,utf-8
fuente1,data/raw/fuente1/clean/results.csv,results.csv,308408,11,"[""year"",""type"",""discipline"",""event"",""as"",""athlete_id"",""noc"",""team"",""place"",""tied"",""medal""]",0,0,126,33351982,utf-8
fuente1,data/raw/fuente1/raw/bios.csv,bios.csv,145500,16,"[""Roles"",""Sex"",""Full name"",""Used name"",""Born"",""Died"",""NOC"",""athlete_id"",""Measurements"",""Affiliations"",""Nick/petnames"",""Title(s)"",""Other names"",""Nationality"",""Original name"",""Name order""]",0,0,0,27969433,utf-8
fuente1,data/raw/fuente1/raw/results.csv,results.csv,308408,11,"[""Games"",""Event"",""Team"",""Pos"",""Medal"",""As"",""athlete_id"",""NOC"",""Discipline"",""Nationality"",""Unnamed: 7""]",0,1,110,34250752,utf-8
fuente2,data/raw/fuente2/athlete_events.csv,athlete_events.csv,271116,15,"[""ID"",""Name"",""Sex"",""Age"",""Height"",""Weight"",""Team"",""NOC"",""Games"",""Year"",""Season"",""City"",""Sport"",""Event"",""Medal""]",0,0,1385,41500688,utf-8
fuente3,data/raw/fuente3/olympics_dataset.csv,olympics_dataset.csv,252565,11,"[""player_id"",""Name"",""Sex"",""Team"",""NOC"",""Year"",""Season"",""City"",""Sport"",""Event"",""Medal""]",0,0,0,26988833,utf-8
fuente4,data/raw/fuente4/datalab_export.csv,datalab_export.csv,100,16,"[""index"",""id"",""name"",""sex"",""age"",""height"",""weight"",""team"",""noc"",""games"",""year"",""season"",""city"",""sport"",""event"",""medal""]",0,0,0,17063,utf-8-sig
