caso,fase,posicion,atleta,id_atleta,medallas,estado,detalle
Guatemala_medallistas,actual,,,,5,REVIEW,Filas crudas; contienen duplicación Barrondo.
Guatemala_medallistas,preview,,Érick Barrondo; Adriana Ruano; Pierre Brol,121191|140041|337121,3,PASS,"Se esperan Adriana Ruano Gold, Érick Barrondo Silver y Pierre Brol Bronze."
Phelps_medals,actual,,Michael Phelps,93113,56,REVIEW,"{'Bronze': 4, 'Gold': 46, 'Silver': 6}"
Phelps_medals,preview,,Michael Phelps,93113,28,PASS,"{'Bronze': 2, 'Gold': 23, 'Silver': 3}; esperado={'Gold': 23, 'Silver': 3, 'Bronze': 2}"
Phelps_participaciones_logicas,preview,,Michael Phelps,93113,30,PASS,Participaciones después de aliases y fusiones contextuales; esperado=30.
Chad le Clos_medals,actual,,Chad le Clos,119877,8,REVIEW,"{'Silver': 6, 'Gold': 2}"
Chad le Clos_medals,preview,,Chad le Clos,119877,4,PASS,"{'Silver': 3, 'Gold': 1}; esperado={'Gold': 1, 'Silver': 3, 'Bronze': 0}"
Nikolay Andrianov_medals,actual,,Nikolay Andrianov,31000,30,REVIEW,"{'Silver': 10, 'Gold': 14, 'Bronze': 6}"
Nikolay Andrianov_medals,preview,,Nikolay Andrianov,31000,15,PASS,"{'Silver': 5, 'Gold': 7, 'Bronze': 3}; esperado={'Gold': 7, 'Silver': 5, 'Bronze': 3}"
Messi_regresion,preview,,Lionel Messi,110178,1,PASS,"Una identidad canónica, 2008 Summer, ARG, Gold; nacimiento 1987-06-24."
100m_2004_Gold,actual,,,,1,REVIEW,filas actuales=1
100m_2004_Gold,preview,,Justin Gatlin,104445,1,PASS,evento=43; año=2004; medalla=Gold; filas_preview=1
Phelps_100fly_2004,actual,,,,1,REVIEW,filas actuales=1
Phelps_100fly_2004,preview,,Michael Phelps; Michael Ii,285125|93113,2,PASS,evento=783; año=2004; medalla=Gold; filas_preview=2
Phelps_200fly_2008,actual,,,,1,REVIEW,filas actuales=1
Phelps_200fly_2008,preview,,Michael Phelps; Michael Ii,285134|93113,2,PASS,evento=784; año=2008; medalla=Gold; filas_preview=2
Barrondo_20km_2012,actual,,,,1,REVIEW,filas actuales=1
Barrondo_20km_2012,preview,,Érick Barrondo,121191,1,PASS,evento=1021; año=2012; medalla=Silver; filas_preview=1
Andrianov_team_1972,actual,,,,6,REVIEW,filas actuales=6
Andrianov_team_1972,preview,,Nikolay Andrianov; Viktor Klimenko; Aleksandr Maleyev; Edvard Mikaelyan; Vladimir Shchukin; Mikhail Voronin; Edvard Mikayelyan; Viktor Klimenko; Aleksandr Maleyev; Edvard Mikayelyan,167701|249476|263280|269447|301038|31000|31014|31022|31025|31033|31040|321219,12,PASS,evento=489; año=1972; medalla=Silver; filas_preview=12
Guy_Forget_singles_1992,actual,,,,64,REVIEW,filas actuales=64
Guy_Forget_singles_1992,preview,,Guy Forget; Henri Leconte; Fabrice Santoro; Andrew Castle; Chris Wilkinson; Boris Becker; Carl-Uwe Steeb; Michael Stich; Sándor Noszály; Benny Wijaya,1000|1031|1056|1060|121|138|160|161|17|225|2268|2273|2274|2334|2336|2366|2411|2412|2422|2466|2481|2495|2507|2521|2564|2565|26|2602|2605|2612|2650|267|2707|2708|2738|2740|2773|2811|284|287|35|626|631|639|652|656|660|710|712|760|788|797|816|818|82|822|864|909|944|946|967|969|994|996,64,PASS,evento=1; año=1992; medalla=; filas_preview=64
ranking_global_Gold,actual,1,Michael Phelps,93113,46,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,2,Ray Ewry,77795,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,3,Mark Spitz,51214,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,4,Paavo Nurmi,67218,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,5,Carl Lewis,78102,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,6,Birgit Fischer-Schmidt,9825,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,7,Sawao Kato,30361,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,8,Jenny Thompson,50859,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,9,Matt Biondi,50908,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,actual,10,Usain Bolt,104492,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,1,Michael Phelps,93113,23,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,2,Ray Ewry,77795,20,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,3,Paavo Nurmi,67218,18,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,4,Birgit Fischer-Schmidt,9825,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,5,Jenny Thompson,50859,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,6,Carl Lewis,78102,16,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,7,Isabell Werth,11443,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,8,Katie Ledecky,124356,14,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,9,Usain Bolt,104492,13,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Gold,preview,10,Jason Kenny,111919,13,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,1,Aleksandr Dityatin,31009,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,2,Mikhail Voronin,31040,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,3,Shirley Babashoff,50597,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,4,Anky van Grunsven,11431,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,5,Isabell Werth,11443,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,6,Edoardo Mangiarotti,22508,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,7,Gustavo Marzi,22515,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,8,Nikolay Andrianov,31000,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,9,Viktor Lisitsky,31019,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,actual,10,Yury Titov,31037,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,1,Shirley Babashoff,50597,12,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,2,Anky van Grunsven,11431,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,3,Isabell Werth,11443,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,4,Edoardo Mangiarotti,22508,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,5,Gustavo Marzi,22515,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,6,Dagmar Hase,47316,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,7,Raisa Smetanina,81748,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,8,Leisel Jones,92527,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,9,Bogdan Musiol,94892,10,PASS,Ranking calculado directamente desde PARTICIPACION.
ranking_global_Silver,preview,10,Charlotte Kalla,117263,9,PASS,Ranking calculado directamente desde PARTICIPACION.
