nombre_normalizado,ids_involucrados,identidad_canonica_propuesta,nombre_muestra,clasificacion,evidencia_a_favor,conflictos,participaciones_por_id,cantidad_ids,nota
arnaud boetsch,2;197394,2,Arnaud Boetsch,CONFLICT,nombre_auxiliar_comun,sexo_distinto,2:4;197394:1,2,No se aplica merge; requiere revisión.
jean borotra,3;198421;198422,3,Jean Borotra,CONFLICT,nombre_auxiliar_comun,sexo_distinto,3:6;198421:1;198422:1,3,No se aplica merge; requiere revisión.
jacques brugnon,4;200760;200761,4,Jacques Brugnon,CONFLICT,nombre_auxiliar_comun,sexo_distinto,4:6;200760:1;200761:1,3,No se aplica merge; requiere revisión.
nicolas chatelain,6;205589,6,Nicolas Chatelain,CONFLICT,nombre_auxiliar_comun,sexo_distinto,6:4;205589:1,2,No se aplica merge; requiere revisión.
patrick chila,7;206303;206304;206305;206306;206307,7,Patrick Chila,CONFLICT,nombre_auxiliar_comun,sexo_distinto,7:12;206303:1;206304:1;206305:1;206306:1;206307:1,6,No se aplica merge; requiere revisión.
henri cochet,8;207610,8,Henri Cochet,CONFLICT,nombre_auxiliar_comun,sexo_distinto,8:5;207610:1,2,No se aplica merge; requiere revisión.
guy forget,17;223817;223818;223819,17,Guy Forget,CONFLICT,nombre_auxiliar_comun,sexo_distinto,17:9;223817:1;223818:1;223819:1,4,No se aplica merge; requiere revisión.
jean philippe gatien,18;227040;227041;227042;227043;227044;227045;227046,18,Jean-Philippe Gatien,CONFLICT,nombre_auxiliar_comun,sexo_distinto,18:16;227040:1;227041:1;227042:1;227043:1;227044:1;227045:1;227046:1,8,No se aplica merge; requiere revisión.
paul lecaron,25;256063,25,Paul Lecaron,CONFLICT,nombre_auxiliar_comun,sexo_distinto,25:6;256063:1,2,No se aplica merge; requiere revisión.
henri leconte,26;256135;256136;256137,26,Henri Leconte,CONFLICT,nombre_auxiliar_comun,sexo_distinto,26:8;256135:1;256136:1;256137:1,4,No se aplica merge; requiere revisión.
guillaume raoux,32;289990,32,Guillaume Raoux,CONFLICT,nombre_auxiliar_comun,sexo_distinto,32:4;289990:1,2,No se aplica merge; requiere revisión.
