id_edicion,anio,temporada,participantes_2231,atletas_2231,noc_2231,medallas_2231,participantes_1022,atletas_1022,noc_1022,medallas_1022,contextos_comunes,atletas_comunes,medallas_bidireccionales_conflictivas
12,1932,Summer,29,22,10,Gold:2|Silver:2|Bronze:2|NULL:23,16,16,11,Gold:1|Silver:1|Bronze:1|NULL:13,13,13,0
14,1936,Summer,66,51,16,Gold:2|Silver:2|Bronze:2|NULL:60,33,33,16,Gold:1|Silver:1|Bronze:1|NULL:30,21,21,0
16,1948,Summer,46,37,11,Gold:2|Silver:2|Bronze:2|NULL:40,23,23,11,Gold:1|Silver:1|Bronze:1|NULL:20,19,19,0
18,1952,Summer,62,51,16,Gold:2|Silver:2|Bronze:2|NULL:56,31,31,16,Gold:1|Silver:1|Bronze:1|NULL:28,21,21,0
20,1956,Summer,42,35,10,Gold:2|Silver:2|Bronze:2|NULL:36,23,23,11,Gold:1|Silver:1|Bronze:1|NULL:20,15,15,0
22,1960,Summer,78,70,20,Gold:2|Silver:2|Bronze:2|NULL:72,40,40,20,Gold:1|Silver:1|Bronze:1|NULL:37,30,30,0
24,1964,Summer,68,55,19,Gold:2|Silver:2|Bronze:2|NULL:62,36,36,19,Gold:1|Silver:1|Bronze:1|NULL:33,29,29,0
26,1968,Summer,72,61,19,Gold:2|Silver:2|Bronze:2|NULL:66,40,40,21,Gold:1|Silver:1|Bronze:1|NULL:37,26,26,0
28,1972,Summer,72,60,18,Gold:2|Silver:2|Bronze:2|NULL:66,36,36,18,Gold:1|Silver:1|Bronze:1|NULL:33,26,26,0
32,1980,Summer,54,44,14,Gold:2|Silver:2|Bronze:2|NULL:48,29,29,14,Gold:1|Silver:1|Bronze:1|NULL:26,12,12,0
34,1984,Summer,62,58,16,Gold:2|Silver:2|Bronze:2|NULL:56,34,34,17,Gold:1|Silver:1|Bronze:1|NULL:31,21,21,0
36,1988,Summer,84,72,22,Gold:2|Silver:2|Bronze:2|NULL:78,42,42,22,Gold:1|Silver:1|Bronze:1|NULL:39,31,31,0
38,1992,Summer,84,74,20,Gold:2|Silver:2|Bronze:2|NULL:78,42,42,20,Gold:1|Silver:1|Bronze:1|NULL:39,27,27,0
41,1996,Summer,102,84,27,Gold:2|Silver:2|Bronze:2|NULL:96,52,52,28,Gold:1|Silver:1|Bronze:1|NULL:49,31,31,0
43,2000,Summer,112,94,28,Gold:2|Silver:2|Bronze:2|NULL:106,56,56,28,Gold:1|Silver:1|Bronze:1|NULL:53,38,38,0
45,2004,Summer,108,92,29,Gold:2|Silver:2|Bronze:2|NULL:102,54,54,29,Gold:1|Silver:1|Bronze:1|NULL:51,31,31,0
47,2008,Summer,118,96,32,Gold:2|Silver:2|Bronze:2|NULL:112,61,61,32,Gold:1|Silver:1|Bronze:1|NULL:58,34,34,0
50,2012,Summer,126,111,35,Gold:2|Silver:2|Bronze:2|NULL:120,63,63,35,Gold:1|Silver:1|Bronze:1|NULL:60,38,38,2
54,2016,Summer,160,142,39,Gold:2|Silver:2|Bronze:2|NULL:154,80,80,39,Gold:1|Silver:1|Bronze:1|NULL:77,39,39,0
