origen,destino_canonico,accion,clasificacion,evidencia,nombre_origen,nombre_destino
2218,1021,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"Barrondo 20 km: 20 km, same sport/discipline/gender; cross-source name; overlapping GUA rows.",Athletics Men's 20 kilometres Walk,"20 kilometres Race Walk, Men (Olympic)"
2231,1022,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"Barrondo 50 km: 50 km, same sport/discipline/gender; kept distinct from 20 km.",Athletics Men's 50 kilometres Walk,"50 kilometres Race Walk, Men (Olympic)"
2084,779,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Phelps 200 m freestyle: same swimming event and distance; source-2 naming only.,Swimming Men's 200 metres Freestyle,"200 metres Freestyle, Men (Olympic)"
2085,810,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Phelps 4x100 freestyle relay: same relay distance and gender; source-2 naming only.,Swimming Men's 4 x 100 metres Freestyle Relay,"4 × 100 metres Freestyle Relay, Men (Olympic)"
2007,781,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Phelps 4x200 freestyle relay: same relay distance and gender; source-2 naming only.,Swimming Men's 4 x 200 metres Freestyle Relay,"4 × 200 metres Freestyle Relay, Men (Olympic)"
1951,783,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"Phelps 100 m butterfly: same swimming event, distance and gender.",Swimming Men's 100 metres Butterfly,"100 metres Butterfly, Men (Olympic)"
1952,784,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"Phelps 200 m butterfly: same swimming event, distance and gender.",Swimming Men's 200 metres Butterfly,"200 metres Butterfly, Men (Olympic)"
2087,803,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"Phelps 200 m individual medley: same swimming event, distance and modality.",Swimming Men's 200 metres Individual Medley,"200 metres Individual Medley, Men (Olympic)"
2088,804,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"Phelps 400 m individual medley: same swimming event, distance and modality.",Swimming Men's 400 metres Individual Medley,"400 metres Individual Medley, Men (Olympic)"
1953,791,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Phelps 4x100 medley relay: same relay distance and gender; not freestyle.,Swimming Men's 4 x 100 metres Medley Relay,"4 × 100 metres Medley Relay, Men (Olympic)"
2314,790,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"women 100 m butterfly: same swimming event, distance and female category.",Swimming Women's 100 metres Butterfly,"100 metres Butterfly, Women (Olympic)"
2213,801,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"women 200 m butterfly: same swimming event, distance and female category.",Swimming Women's 200 metres Butterfly,"200 metres Butterfly, Women (Olympic)"
2003,43,ALIAS_EVENTO,FINAL_SAFE_ALIAS,"Athletics 100 m men: same Athletics event, distance and gender; required 2004 acceptance query.",Athletics Men's 100 metres,"100 metres, Men (Olympic)"
1920,488,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Andrianov individual all-around: same gymnastics event and gender; cross-source name.,Gymnastics Men's Individual All-Around,"Individual All-Around, Men (Olympic)"
1921,489,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Andrianov team all-around: same gymnastics event and gender; cross-source name.,Gymnastics Men's Team All-Around,"Team All-Around, Men (Olympic)"
1922,490,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Andrianov floor exercise: same gymnastics event and gender; cross-source name.,Gymnastics Men's Floor Exercise,"Floor Exercise, Men (Olympic)"
1923,491,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Andrianov horse vault: same gymnastics event and gender; cross-source name.,Gymnastics Men's Horse Vault,"Horse Vault, Men (Olympic)"
1924,492,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Andrianov parallel bars: same gymnastics event and gender; cross-source name.,Gymnastics Men's Parallel Bars,"Parallel Bars, Men (Olympic)"
1925,493,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Andrianov horizontal bar: same gymnastics event and gender; cross-source name.,Gymnastics Men's Horizontal Bar,"Horizontal Bar, Men (Olympic)"
1926,494,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Andrianov rings: same gymnastics event and gender; cross-source name.,Gymnastics Men's Rings,"Rings, Men (Olympic)"
1927,495,ALIAS_EVENTO,FINAL_SAFE_ALIAS,Andrianov pommelled horse: same gymnastics event and gender; cross-source name.,Gymnastics Men's Pommelled Horse,"Pommelled Horse, Men (Olympic)"
