origen,destino_canonico,accion,clasificacion,evidencia
550083,507,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=162, edición=1, evento=43, NOC=83, medalla=."
459687,52699,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=16, evento=488, NOC=73, medalla=."
459688,52700,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=16, evento=489, NOC=73, medalla=."
459689,52701,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=16, evento=490, NOC=73, medalla=."
459690,52702,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=16, evento=491, NOC=73, medalla=."
459691,52703,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=16, evento=492, NOC=73, medalla=."
459692,52704,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=16, evento=493, NOC=73, medalla=."
459693,52705,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=16, evento=494, NOC=73, medalla=."
459694,52706,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=16, evento=495, NOC=73, medalla=."
459695,52707,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=18, evento=488, NOC=73, medalla=."
459696,52708,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=18, evento=489, NOC=73, medalla=."
459697,52709,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=18, evento=490, NOC=73, medalla=."
459698,52710,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=18, evento=491, NOC=73, medalla=."
459699,52711,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=18, evento=492, NOC=73, medalla=."
459700,52712,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=18, evento=493, NOC=73, medalla=."
459701,52713,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=18, evento=494, NOC=73, medalla=."
459702,52714,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=18, evento=495, NOC=73, medalla=."
459703,52715,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=20, evento=488, NOC=73, medalla=."
459704,52716,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=20, evento=490, NOC=73, medalla=."
459705,52717,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=20, evento=491, NOC=73, medalla=."
459706,52718,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=20, evento=492, NOC=73, medalla=."
459707,52719,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=20, evento=493, NOC=73, medalla=."
459708,52720,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=20, evento=494, NOC=73, medalla=."
459709,52721,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=20, evento=495, NOC=73, medalla=."
459710,52722,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=22, evento=488, NOC=73, medalla=."
459711,52723,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=22, evento=489, NOC=73, medalla=."
459712,52724,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=22, evento=490, NOC=73, medalla=."
459713,52725,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=22, evento=491, NOC=73, medalla=."
459714,52726,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=22, evento=492, NOC=73, medalla=."
459715,52727,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=22, evento=493, NOC=73, medalla=."
459716,52728,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=22, evento=494, NOC=73, medalla=."
459717,52729,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28188, edición=22, evento=495, NOC=73, medalla=."
480413,54696,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28566, edición=14, evento=488, NOC=108, medalla=."
480414,54697,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28566, edición=14, evento=489, NOC=108, medalla=."
480415,54698,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28566, edición=14, evento=490, NOC=108, medalla=."
480416,54699,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28566, edición=14, evento=491, NOC=108, medalla=."
480417,54700,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28566, edición=14, evento=492, NOC=108, medalla=."
480418,54701,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28566, edición=14, evento=493, NOC=108, medalla=."
480419,54702,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28566, edición=14, evento=494, NOC=108, medalla=."
480420,54703,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=28566, edición=14, evento=495, NOC=108, medalla=."
789321,58077,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29127, edición=22, evento=488, NOC=200, medalla=."
441416,58085,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29128, edición=26, evento=488, NOC=5, medalla=."
441417,58086,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29128, edición=26, evento=490, NOC=5, medalla=."
441418,58087,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29128, edición=26, evento=491, NOC=5, medalla=."
441419,58088,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29128, edición=26, evento=492, NOC=5, medalla=."
441420,58089,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29128, edición=26, evento=493, NOC=5, medalla=."
441421,58090,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29128, edición=26, evento=494, NOC=5, medalla=."
441422,58091,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29128, edición=26, evento=495, NOC=5, medalla=."
441423,58092,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=22, evento=488, NOC=73, medalla=."
441424,58093,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=22, evento=489, NOC=73, medalla=."
441425,58094,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=22, evento=490, NOC=73, medalla=."
441426,58095,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=22, evento=491, NOC=73, medalla=."
441427,58096,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=22, evento=492, NOC=73, medalla=."
441428,58097,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=22, evento=493, NOC=73, medalla=."
441429,58098,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=22, evento=494, NOC=73, medalla=."
441430,58099,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=22, evento=495, NOC=73, medalla=."
441431,58100,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=24, evento=488, NOC=5, medalla=."
441432,58101,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=24, evento=490, NOC=5, medalla=."
441433,58102,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=24, evento=491, NOC=5, medalla=."
441434,58103,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=24, evento=492, NOC=5, medalla=."
441435,58104,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=24, evento=493, NOC=5, medalla=."
441436,58105,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=24, evento=494, NOC=5, medalla=."
441437,58106,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29129, edición=24, evento=495, NOC=5, medalla=."
314507,58107,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29130, edición=16, evento=488, NOC=10, medalla=."
314508,58108,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29130, edición=16, evento=489, NOC=10, medalla=."
314509,58109,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29130, edición=16, evento=490, NOC=10, medalla=."
314510,58110,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29130, edición=16, evento=491, NOC=10, medalla=."
314511,58111,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29130, edición=16, evento=492, NOC=10, medalla=."
314512,58112,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29130, edición=16, evento=493, NOC=10, medalla=."
314513,58113,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29130, edición=16, evento=494, NOC=10, medalla=."
314514,58114,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29130, edición=16, evento=495, NOC=10, medalla=."
608591,58130,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29132, edición=18, evento=488, NOC=10, medalla=."
409563,58144,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29133, edición=38, evento=488, NOC=10, medalla=."
409564,58145,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29133, edición=38, evento=490, NOC=10, medalla=."
409565,58146,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29133, edición=38, evento=491, NOC=10, medalla=."
409566,58147,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29133, edición=38, evento=492, NOC=10, medalla=."
409567,58148,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29133, edición=38, evento=493, NOC=10, medalla=."
409568,58149,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29133, edición=38, evento=494, NOC=10, medalla=."
409569,58150,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29133, edición=38, evento=495, NOC=10, medalla=."
487704,58167,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29136, edición=41, evento=488, NOC=10, medalla=."
487705,58168,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29136, edición=41, evento=490, NOC=10, medalla=."
487706,58169,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29136, edición=41, evento=491, NOC=10, medalla=."
487707,58170,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29136, edición=41, evento=492, NOC=10, medalla=."
487708,58171,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29136, edición=41, evento=493, NOC=10, medalla=."
487709,58172,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29136, edición=41, evento=494, NOC=10, medalla=."
487710,58173,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29136, edición=41, evento=495, NOC=10, medalla=."
496978,58174,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29137, edición=24, evento=488, NOC=10, medalla=."
496979,58175,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29137, edición=24, evento=490, NOC=10, medalla=."
496980,58176,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29137, edición=24, evento=491, NOC=10, medalla=."
496981,58177,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29137, edición=24, evento=492, NOC=10, medalla=."
496982,58178,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29137, edición=24, evento=493, NOC=10, medalla=."
496983,58179,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29137, edición=24, evento=494, NOC=10, medalla=."
496984,58180,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29137, edición=24, evento=495, NOC=10, medalla=."
504250,58181,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29138, edición=16, evento=488, NOC=10, medalla=."
504251,58182,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29138, edición=16, evento=489, NOC=10, medalla=."
504252,58183,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29138, edición=16, evento=490, NOC=10, medalla=."
504253,58184,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29138, edición=16, evento=491, NOC=10, medalla=."
504254,58185,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29138, edición=16, evento=492, NOC=10, medalla=."
504255,58186,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29138, edición=16, evento=493, NOC=10, medalla=."
504256,58187,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29138, edición=16, evento=494, NOC=10, medalla=."
504257,58188,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29138, edición=16, evento=495, NOC=10, medalla=."
531827,58189,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29139, edición=16, evento=488, NOC=10, medalla=."
531828,58190,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29139, edición=16, evento=489, NOC=10, medalla=."
531829,58191,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29139, edición=16, evento=490, NOC=10, medalla=."
531830,58192,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29139, edición=16, evento=491, NOC=10, medalla=."
531831,58193,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29139, edición=16, evento=492, NOC=10, medalla=."
531832,58194,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29139, edición=16, evento=493, NOC=10, medalla=."
531833,58195,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29139, edición=16, evento=494, NOC=10, medalla=."
531834,58196,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29139, edición=16, evento=495, NOC=10, medalla=."
781638,58197,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29140, edición=16, evento=488, NOC=10, medalla=."
517816,58204,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29141, edición=41, evento=488, NOC=11, medalla=."
517817,58205,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29141, edición=41, evento=490, NOC=11, medalla=."
517818,58206,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29141, edición=41, evento=491, NOC=11, medalla=."
517819,58207,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29141, edición=41, evento=492, NOC=11, medalla=."
517820,58208,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29141, edición=41, evento=493, NOC=11, medalla=."
517821,58209,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29141, edición=41, evento=494, NOC=11, medalla=."
517822,58210,FUSIONAR_PARTICIPACION,FINAL_SAFE_PARTICIPATION,"Clave lógica idéntica después del alias/reasignación: atleta=29141, edición=41, evento=495, NOC=11, medalla=."
