id_evento_a,id_evento_b,nombre_a,nombre_b,deporte,disciplina,contexto,confianza,clasificacion
1,19,"Singles, Men (Olympic)","Singles, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=21,media,REVIEW_ALIAS
1,26,"Singles, Men (Olympic)","Singles, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
1,36,"Singles, Men (Olympic)","Singles, Women (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2,3,"Doubles, Men (Olympic)","Doubles, Mixed (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=71,media,REVIEW_ALIAS
2,27,"Doubles, Men (Olympic)","Doubles, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2,38,"Doubles, Men (Olympic)","Doubles, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=15,media,REVIEW_ALIAS
2,3083,"Doubles, Men (Olympic)",Mixed Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
3,27,"Doubles, Mixed (Olympic)","Doubles, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=51,media,REVIEW_ALIAS
3,38,"Doubles, Mixed (Olympic)","Doubles, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
3,3083,"Doubles, Mixed (Olympic)",Mixed Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
6,30,"Singles, Handicap, Men (Olympic (non-medal))","Singles, Handicap, Women (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
7,20,"Doubles, Handicap, Men (Olympic (non-medal))","Doubles, Handicap, Mixed (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=8,media,REVIEW_ALIAS
14,1187,"Singles, Men (Intercalated)","Singles, Women (Intercalated)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
15,16,"Doubles, Mixed (Intercalated)","Doubles, Men (Intercalated)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=2,media,REVIEW_ALIAS
17,21,"Doubles, Covered Courts, Mixed (Olympic)","Doubles, Covered Courts, Men (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=4,media,REVIEW_ALIAS
17,2329,"Doubles, Covered Courts, Mixed (Olympic)","Tennis Mixed Doubles, Covered Courts",Tennis,Tennis,misma disciplina; jaccard=0.75; overlap=11,media,REVIEW_ALIAS
18,25,"Singles, Covered Courts, Men (Olympic)","Singles, Covered Courts, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
19,26,"Singles, Men (Olympic (non-medal))","Singles, Women (Olympic)",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
19,36,"Singles, Men (Olympic (non-medal))","Singles, Women (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
21,2329,"Doubles, Covered Courts, Men (Olympic)","Tennis Mixed Doubles, Covered Courts",Tennis,Tennis,misma disciplina; jaccard=0.75; overlap=1,media,REVIEW_ALIAS
22,23,Polo,"Polo, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=1,media,REVIEW_ALIAS
26,36,"Singles, Women (Olympic)","Singles, Women (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
27,38,"Doubles, Women (Olympic)","Doubles, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
27,3083,"Doubles, Women (Olympic)",Mixed Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
38,3083,"Doubles, Men (Olympic (non-medal))",Mixed Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
66,146,"Long Jump, Men (Olympic)","Long Jump, Men (Olympic (non-medal))",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
1992,2410,Tennis Men's Doubles,Tennis Women's Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2091,2408,Tennis Men's Singles,Tennis Women's Singles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2263,2529,"Tennis Women's Singles, Covered Courts","Tennis Men's Singles, Covered Courts",Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2329,2528,"Tennis Mixed Doubles, Covered Courts","Tennis Men's Doubles, Covered Courts",Tennis,Tennis,misma disciplina; jaccard=0.80; overlap=2,media,REVIEW_ALIAS
2830,2897,Women's Singles,Men's Singles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2898,2908,Men's Doubles Team,Women's Doubles Team,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
3054,3075,Men's Doubles,Women's Doubles,Tennis,Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
4,31,"Singles, Men (Olympic)","Singles, Women (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
5,32,"Doubles, Men (Olympic)","Doubles, Women (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
5,1475,"Doubles, Men (Olympic)","Doubles, Mixed (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
32,1475,"Doubles, Women (Olympic)","Doubles, Mixed (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
37,54,"Team, Women (Olympic)","Team, Men (Olympic)",Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2075,2180,Table Tennis Women's Singles,Table Tennis Men's Singles,Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2076,2245,Table Tennis Women's Doubles,Table Tennis Men's Doubles,Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
2141,2513,Table Tennis Men's Team,Table Tennis Women's Team,Table Tennis,Table Tennis,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
8,408,"Épée, Individual, Men (Olympic)","Épée, Individual, Women (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
11,13,"Doubles, Handicap, Mixed (Olympic (non-medal))","Doubles, Handicap, Men (Olympic (non-medal))",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=1,media,REVIEW_ALIAS
228,1471,"Sabre, Team, Men (Olympic)","Sabre, Team, Women (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
241,1470,"Sabre, Individual, Men (Olympic)","Sabre, Individual, Women (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
358,406,"Foil, Individual, Men (Olympic)","Foil, Individual, Women (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
407,410,"Foil, Team, Women (Olympic)","Foil, Team, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
409,411,"Épée, Team, Women (Olympic)","Épée, Team, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
423,424,Hockey,"Hockey, Men (Olympic)",Fencing,Fencing,misma disciplina; jaccard=1.00; overlap=0,media,REVIEW_ALIAS
