olympedia_athlete_id,id_atleta_canonico,estado
187,187,CANONICAL_GUA
3738,3727,CANONICAL_GUA
3739,3728,CANONICAL_GUA
3740,3729,CANONICAL_GUA
3741,3730,CANONICAL_GUA
3742,3731,CANONICAL_GUA
3743,3732,CANONICAL_GUA
10005,9950,CANONICAL_GUA
11306,11248,CANONICAL_GUA
11307,11249,CANONICAL_GUA
12412,12347,CANONICAL_GUA
13421,13340,CANONICAL_GUA
13846,13762,CANONICAL_GUA
14037,13948,CANONICAL_GUA
14516,14421,CANONICAL_GUA
14842,14743,CANONICAL_GUA
14848,14749,CANONICAL_GUA
15273,15172,CANONICAL_GUA
15291,15190,CANONICAL_GUA
15367,15264,CANONICAL_GUA
15491,15386,CANONICAL_GUA
15513,15408,CANONICAL_GUA
15719,15611,CANONICAL_GUA
15920,15810,CANONICAL_GUA
15935,15825,CANONICAL_GUA
16005,15894,CANONICAL_GUA
16400,16286,CANONICAL_GUA
16438,16324,CANONICAL_GUA
16449,16334,CANONICAL_GUA
16872,16757,CANONICAL_GUA
17082,16965,CANONICAL_GUA
20726,20580,CANONICAL_GUA
22394,22227,CANONICAL_GUA
22395,22228,CANONICAL_GUA
22396,22229,CANONICAL_GUA
25593,25403,CANONICAL_GUA
25594,25404,CANONICAL_GUA
25595,25405,CANONICAL_GUA
25596,25406,CANONICAL_GUA
25597,25407,CANONICAL_GUA
25598,25408,CANONICAL_GUA
25599,25409,CANONICAL_GUA
25600,25410,CANONICAL_GUA
25601,25411,CANONICAL_GUA
25602,25412,CANONICAL_GUA
25603,25413,CANONICAL_GUA
25604,25414,CANONICAL_GUA
25605,25415,CANONICAL_GUA
25606,25416,CANONICAL_GUA
25607,25417,CANONICAL_GUA
25608,25418,CANONICAL_GUA
25609,25419,CANONICAL_GUA
25610,25420,CANONICAL_GUA
25611,25421,CANONICAL_GUA
25612,25422,CANONICAL_GUA
25613,25423,CANONICAL_GUA
25614,25424,CANONICAL_GUA
25615,25425,CANONICAL_GUA
25616,25426,CANONICAL_GUA
25617,25427,CANONICAL_GUA
25618,25428,CANONICAL_GUA
25619,25429,CANONICAL_GUA
25620,25430,CANONICAL_GUA
25621,25431,CANONICAL_GUA
25622,25432,CANONICAL_GUA
25623,25433,CANONICAL_GUA
25624,25434,CANONICAL_GUA
25625,25435,CANONICAL_GUA
25626,25436,CANONICAL_GUA
25627,25437,CANONICAL_GUA
25628,25438,CANONICAL_GUA
25629,25439,CANONICAL_GUA
25630,25440,CANONICAL_GUA
25631,25441,CANONICAL_GUA
25632,25442,CANONICAL_GUA
25633,25443,CANONICAL_GUA
25634,25444,CANONICAL_GUA
25635,25445,CANONICAL_GUA
25636,25446,CANONICAL_GUA
25637,25447,CANONICAL_GUA
25638,25448,CANONICAL_GUA
25639,25449,CANONICAL_GUA
25640,25450,CANONICAL_GUA
25641,25451,CANONICAL_GUA
28597,28386,CANONICAL_GUA
28598,28387,CANONICAL_GUA
33545,33294,CANONICAL_GUA
33782,33526,CANONICAL_GUA
38091,37792,CANONICAL_GUA
38092,37793,CANONICAL_GUA
42691,42369,CANONICAL_GUA
42692,42370,CANONICAL_GUA
42693,42371,CANONICAL_GUA
42694,42372,CANONICAL_GUA
42695,42373,CANONICAL_GUA
42696,42374,CANONICAL_GUA
42697,42375,CANONICAL_GUA
42698,42376,CANONICAL_GUA
42699,42377,CANONICAL_GUA
42700,42378,CANONICAL_GUA
42701,42379,CANONICAL_GUA
42702,42380,CANONICAL_GUA
42703,42381,CANONICAL_GUA
42704,42382,CANONICAL_GUA
42705,42383,CANONICAL_GUA
42706,42384,CANONICAL_GUA
42707,42385,CANONICAL_GUA
42708,42386,CANONICAL_GUA
42709,42387,CANONICAL_GUA
42710,42388,CANONICAL_GUA
42711,42389,CANONICAL_GUA
42712,42390,CANONICAL_GUA
42713,42391,CANONICAL_GUA
42808,42486,CANONICAL_GUA
48005,47654,CANONICAL_GUA
48006,47655,CANONICAL_GUA
48007,47656,CANONICAL_GUA
48008,47657,CANONICAL_GUA
48009,47658,CANONICAL_GUA
48010,47659,CANONICAL_GUA
48011,47660,CANONICAL_GUA
48012,47661,CANONICAL_GUA
48013,47662,CANONICAL_GUA
48014,47663,CANONICAL_GUA
48015,47664,CANONICAL_GUA
48016,47665,CANONICAL_GUA
48017,47666,CANONICAL_GUA
48018,47667,CANONICAL_GUA
48019,47668,CANONICAL_GUA
55912,55517,CANONICAL_GUA
55913,55518,CANONICAL_GUA
55914,55519,CANONICAL_GUA
55915,55520,CANONICAL_GUA
55916,55521,CANONICAL_GUA
55917,55522,CANONICAL_GUA
55918,55523,CANONICAL_GUA
58519,58107,CANONICAL_GUA
58520,58108,CANONICAL_GUA
58521,58109,CANONICAL_GUA
58522,58110,CANONICAL_GUA
58523,58111,CANONICAL_GUA
58524,58112,CANONICAL_GUA
58526,58113,CANONICAL_GUA
58527,58114,CANONICAL_GUA
58528,58115,CANONICAL_GUA
58529,58116,CANONICAL_GUA
58530,58117,CANONICAL_GUA
58531,58118,CANONICAL_GUA
58532,58119,CANONICAL_GUA
58533,58120,CANONICAL_GUA
62869,62407,CANONICAL_GUA
63506,63037,CANONICAL_GUA
63735,63266,CANONICAL_GUA
70898,70374,CANONICAL_GUA
70899,70375,CANONICAL_GUA
70900,70376,CANONICAL_GUA
70901,70377,CANONICAL_GUA
70902,70378,CANONICAL_GUA
70903,70379,CANONICAL_GUA
70904,70380,CANONICAL_GUA
70905,70381,CANONICAL_GUA
70906,70382,CANONICAL_GUA
70907,70383,CANONICAL_GUA
70908,70384,CANONICAL_GUA
70909,70385,CANONICAL_GUA
70910,70386,CANONICAL_GUA
70911,70387,CANONICAL_GUA
70912,70388,CANONICAL_GUA
70913,70389,CANONICAL_GUA
70914,70390,CANONICAL_GUA
70915,70391,CANONICAL_GUA
70916,70392,CANONICAL_GUA
70917,70393,CANONICAL_GUA
70918,70394,CANONICAL_GUA
70919,70395,CANONICAL_GUA
70920,70396,CANONICAL_GUA
70921,70397,CANONICAL_GUA
70922,70398,CANONICAL_GUA
70923,70399,CANONICAL_GUA
82403,81752,CANONICAL_GUA
84409,83746,CANONICAL_GUA
84410,83747,CANONICAL_GUA
84480,83815,CANONICAL_GUA
84481,83816,CANONICAL_GUA
86975,86289,CANONICAL_GUA
86976,86290,CANONICAL_GUA
86977,86291,CANONICAL_GUA
86978,86292,CANONICAL_GUA
86979,86293,CANONICAL_GUA
90413,89696,CANONICAL_GUA
92322,91594,CANONICAL_GUA
93503,92759,CANONICAL_GUA
94115,93364,CANONICAL_GUA
96766,95993,CANONICAL_GUA
103311,102368,CANONICAL_GUA
103722,102766,CANONICAL_GUA
103876,102915,CANONICAL_GUA
104128,103158,CANONICAL_GUA
104634,103648,CANONICAL_GUA
105846,104821,CANONICAL_GUA
106892,105827,CANONICAL_GUA
107438,106349,CANONICAL_GUA
108137,107018,CANONICAL_GUA
108168,107049,CANONICAL_GUA
108260,107140,CANONICAL_GUA
108261,107141,CANONICAL_GUA
112838,111597,CANONICAL_GUA
112995,111750,CANONICAL_GUA
116415,115083,CANONICAL_GUA
116444,115111,CANONICAL_GUA
116734,115388,CANONICAL_GUA
116980,115619,CANONICAL_GUA
117898,116505,CANONICAL_GUA
123159,121191,CANONICAL_GUA
123244,121269,CANONICAL_GUA
123247,121272,CANONICAL_GUA
123248,121273,CANONICAL_GUA
123249,121274,CANONICAL_GUA
123252,121276,CANONICAL_GUA
123253,121277,CANONICAL_GUA
123255,121279,CANONICAL_GUA
123311,121332,CANONICAL_GUA
123453,121465,CANONICAL_GUA
123469,121481,CANONICAL_GUA
123483,121493,CANONICAL_GUA
123489,121499,CANONICAL_GUA
123500,121508,CANONICAL_GUA
130469,127976,CANONICAL_GUA
130470,127977,CANONICAL_GUA
130471,127978,CANONICAL_GUA
134297,131504,CANONICAL_GUA
134298,131505,CANONICAL_GUA
134299,131506,CANONICAL_GUA
134300,131507,CANONICAL_GUA
134301,131508,CANONICAL_GUA
134302,131509,CANONICAL_GUA
134303,131510,CANONICAL_GUA
134304,131511,CANONICAL_GUA
134305,131512,CANONICAL_GUA
143533,140037,CANONICAL_GUA
143534,140038,CANONICAL_GUA
143535,140039,CANONICAL_GUA
143536,140040,CANONICAL_GUA
143537,140041,CANONICAL_GUA
143538,140042,CANONICAL_GUA
143539,140043,CANONICAL_GUA
143540,140044,CANONICAL_GUA
143541,140045,CANONICAL_GUA
143542,140046,CANONICAL_GUA
143543,140047,CANONICAL_GUA
143544,140048,CANONICAL_GUA
143545,140049,CANONICAL_GUA
143546,140050,CANONICAL_GUA
147795,144123,CANONICAL_GUA
150073,338433,CANONICAL_GUA
150074,336653,CANONICAL_GUA
153270,336656,CANONICAL_GUA
153408,336734,CANONICAL_GUA
153409,336767,CANONICAL_GUA
154138,337139,CANONICAL_GUA
154544,336728,CANONICAL_GUA
154545,336727,CANONICAL_GUA
920763,167002,CANONICAL_GUA
