grupo,nombre_normalizado,sexo,ids_atleta,cantidad_ids,exceso_potencial,nombres_observados,fechas_nacimiento_observadas,nocs_observados,ediciones_observadas,participaciones_grupo,completitud_por_id,clasificacion,accion,motivo
albertodavila|Male,albertodavila,Male,260289;260290,2,1,Alberto Davila,,GUA,34,2,260289:0;260290:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
albertolopez|Male,albertolopez,Male,25424;70387,2,1,Alberto López,1944-03-10;1963-02-18,GUA,26;34,3,25424:9;70387:6,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
alfredobentz|Male,alfredobentz,Male,273887;273888,2,1,Alfredo Bentz,,GUA,18,2,273887:0;273888:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
alfredoreyes|Male,alfredoreyes,Male,188941;188942,2,1,Alfredo Reyes,,GUA;IRI;NIG,45;47;58,4,188941:0;188942:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
allanwellman|Male,allanwellman,Male,25451;323238,2,1,Allan Wellman,1954-05-26,GUA,30;36,3,25451:9;323238:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
anaporras|Female,anaporras,Female,229262;229263;229264;229265;229266;229267;229268;229269,8,7,Ana Porras,,GUA,50;54,8,229262:0;229263:0;229264:0;229265:0;229266:0;229267:0;229268:0;229269:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
andrstorres|Male,andrstorres,Male,179799;313782,2,1,Andrs Torres,,GUA,36,3,179799:2;313782:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
andrsvillalta|Male,andrsvillalta,Male,299807;299808;299809;299810,4,3,Andrs Villalta,,GUA,38,4,299807:0;299808:0;299809:0;299810:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
antnvillatoro|Male,antnvillatoro,Male,320279;320280,2,1,Antn Villatoro,,GUA,41,2,320279:0;320280:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
antoniocruz|Male,antoniocruz,Male,47661;209723;209724,3,2,Antonio Cruz,1952-04-20,GUA,26,7,47661:8;209723:0;209724:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
arstidesprez|Male,arstidesprez,Male,171584;283793,2,1,Arstides Prez,,GUA,18,3,171584:0;283793:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
arturovargas|Male,arturovargas,Male,240121;240122;240123,3,2,Arturo Vargas,,GUA,30;32;34,3,240121:0;240122:0;240123:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
attilasolti|Male,attilasolti,Male,42486;304736;304737;304738,4,3,Attila Solti,1966-12-02,GUA;HUN,36;38;41;43;45,13,42486:9;304736:0;304737:0;304738:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
blancamacella|Female,blancamacella,Female,271788;271789;271790;271791;271792;271793;271794;271795;271796,9,8,Blanca Macella,,GUA,34;36;38,9,271788:0;271789:0;271790:0;271791:0;271792:0;271793:0;271794:0;271795:0;271796:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
carloslpez|Male,carloslpez,Male,210169;210170;210171,3,2,Carlos Lpez,,GUA,26;28,3,210169:0;210170:0;210171:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
