olympedia_edition_id,anio,temporada,id_edicion_local,olympedia_athlete_id,nombre_referencia,nombre_normalizado,estados_observados,referencia,contado_en_referencia_263,motivo_referencia
10,1932,Summer,12,920763,Antonia Matos,antoniamatos,HM,https://www.olympedia.org/countries/GUA/editions/10,YES,Participante de referencia.
13,1952,Summer,18,13846,Armando Castillo,armandocastillo,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,15491,Fernando Marroquín,fernandomarroquin,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,15513,Gustavo Martínez,gustavomartinez,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,15719,Juan Montoya,juanmontoya,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,16438,Carlos Sandoval,carlossandoval,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,22394,Antonio Chocano,antoniochocano,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,22395,Eduardo López,eduardolopez,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,22396,Rubén Soberón,rubensoberon,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,42698,José Gómez,josegomez,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,42701,Alfredo Mury,alfredomury,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,42709,Francisco Sandoval,franciscosandoval,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,48019,José Valdés,josevaldes,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,58524,Marco Antonio Girón,marcoantoniogiron,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,58527,Oswaldo Johnston,oswaldojohnston,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,58528,Aristides Pérez,aristidesperez,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,70898,Graviola Ewing,graviolaewing,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,70903,José Julio Barillas,josejuliobarillas,DNS,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,70906,Doroteo Flores,doroteoflores,DNS,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,70920,Víctor Solares,victorsolares,DNS,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,70921,Jeremías Stokes,jeremiasstokes,,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,70923,Luis Velásquez,luisvelasquez,DNF,https://www.olympedia.org/countries/GUA/editions/13,YES,Participante de referencia.
13,1952,Summer,18,923316,Roy Fearon,royfearon,DNS,https://www.olympedia.org/countries/GUA/editions/13,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
13,1952,Summer,18,923317,Augusto Robles,augustorobles,DNS,https://www.olympedia.org/countries/GUA/editions/13,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
13,1952,Summer,18,1005418,Carlos Serrano,carlosserrano,DNS,https://www.olympedia.org/countries/GUA/editions/13,NO,No starter en la tabla de resultados (DNS/DNF-only); excluido del conteo Olympedia 263.
17,1968,Summer,26,3739,Eugenio Boches,eugenioboches,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,3740,Mario Mendoza,mariomendoza,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,14037,Francisco Cuque,franciscocuque,DNF,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,14848,Jorge Inés,jorgeines,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,15935,Evaristo Oliva,evaristooliva,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,16400,Saturnino Rustrián,saturninorustrian,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25596,Roberto Camposeco,robertocamposeco,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25598,Edgar Chacón,edgarchacon,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25599,Ricardo Clark,ricardoclark,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25604,Julio Rodolfo García,juliorodolfogarcia,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
17,1968,Summer,26,25605,Antonio García,antoniogarcia,,https://www.olympedia.org/countries/GUA/editions/17,YES,Participante de referencia.
