tipo,anio,disciplina,medalla,evento_ids,eventos,filas,con_posicion,con_edad,estimado,detalle
resumen_crudo,,,Gold,,,46,,,,tabla actual
resumen_crudo,,,Silver,,,6,,,,tabla actual
resumen_crudo,,,Bronze,,,4,,,,tabla actual
resumen_crudo,,,Total,,,56,,,,tabla actual
resumen_heuristico,,,Gold,,,,,,23,estimación no persistente
resumen_heuristico,,,Silver,,,,,,3,estimación no persistente
resumen_heuristico,,,Bronze,,,,,,2,estimación no persistente
resumen_heuristico,,,Total,,,,,,28,estimación no persistente
grupo,2004,Swimming,Bronze,2084;2085;779;810,"200 metres Freestyle, Men (Olympic) || 4 × 100 metres Freestyle Relay, Men (Olympic) || Swimming Men's 200 metres Freestyle || Swimming Men's 4 x 100 metres Freestyle Relay",4,2,2,2,firma pos/edad
grupo,2004,Swimming,Gold,1951;1952;1953;2007;2087;2088;781;783;784;791;803;804,"100 metres Butterfly, Men (Olympic) || 200 metres Butterfly, Men (Olympic) || 200 metres Individual Medley, Men (Olympic) || 4 × 100 metres Medley Relay, Men (Olympic) || 4 × 200 metres Freestyle Relay, Men (Olympic) || 400 metres Individual Medley, Men (Olympic) || Swimming Men's 100 metres Butterfly || Swimming Men's 200 metres Butterfly || Swimming Men's 200 metres Individual Medley || Swimming Men's 4 x 100 metres Medley Relay || Swimming Men's 4 x 200 metres Freestyle Relay || Swimming Men's 400 metres Individual Medley",12,6,6,6,firma pos/edad
grupo,2008,Swimming,Gold,1951;1952;1953;2007;2084;2085;2087;2088;779;781;783;784;791;803;804;810,"100 metres Butterfly, Men (Olympic) || 200 metres Butterfly, Men (Olympic) || 200 metres Freestyle, Men (Olympic) || 200 metres Individual Medley, Men (Olympic) || 4 × 100 metres Freestyle Relay, Men (Olympic) || 4 × 100 metres Medley Relay, Men (Olympic) || 4 × 200 metres Freestyle Relay, Men (Olympic) || 400 metres Individual Medley, Men (Olympic) || Swimming Men's 100 metres Butterfly || Swimming Men's 200 metres Butterfly || Swimming Men's 200 metres Freestyle || Swimming Men's 200 metres Individual Medley || Swimming Men's 4 x 100 metres Freestyle Relay || Swimming Men's 4 x 100 metres Medley Relay || Swimming Men's 4 x 200 metres Freestyle Relay || Swimming Men's 400 metres Individual Medley",16,8,8,8,firma pos/edad
grupo,2012,Swimming,Gold,1951;1953;2007;2087;781;783;791;803,"100 metres Butterfly, Men (Olympic) || 200 metres Individual Medley, Men (Olympic) || 4 × 100 metres Medley Relay, Men (Olympic) || 4 × 200 metres Freestyle Relay, Men (Olympic) || Swimming Men's 100 metres Butterfly || Swimming Men's 200 metres Individual Medley || Swimming Men's 4 x 100 metres Medley Relay || Swimming Men's 4 x 200 metres Freestyle Relay",8,4,4,4,firma pos/edad
grupo,2012,Swimming,Silver,1952;2085;784;810,"200 metres Butterfly, Men (Olympic) || 4 × 100 metres Freestyle Relay, Men (Olympic) || Swimming Men's 200 metres Butterfly || Swimming Men's 4 x 100 metres Freestyle Relay",4,2,2,2,firma pos/edad
grupo,2016,Swimming,Gold,1952;1953;2007;2085;2087;781;784;791;803;810,"200 metres Butterfly, Men (Olympic) || 200 metres Individual Medley, Men (Olympic) || 4 × 100 metres Freestyle Relay, Men (Olympic) || 4 × 100 metres Medley Relay, Men (Olympic) || 4 × 200 metres Freestyle Relay, Men (Olympic) || Swimming Men's 200 metres Butterfly || Swimming Men's 200 metres Individual Medley || Swimming Men's 4 x 100 metres Freestyle Relay || Swimming Men's 4 x 100 metres Medley Relay || Swimming Men's 4 x 200 metres Freestyle Relay",10,5,5,5,firma pos/edad
grupo,2016,Swimming,Silver,1951;783,"100 metres Butterfly, Men (Olympic) || Swimming Men's 100 metres Butterfly",2,1,1,1,firma pos/edad
