id_evento_origen,nombre_origen,id_evento_canonico,nombre_canonico,deporte_origen,deporte_canonico,disciplina_origen,disciplina_canonica,genero_origen,genero_canonico,distancia_origen,distancia_canonica,modalidad_origen,modalidad_canonica,categoria_origen,categoria_canonica,ediciones_comunes,atletas_comunes,noc_comunes,posiciones_incompatibles,medallas_incompatibles,clasificacion,razon
2218,Athletics Men's 20 kilometres Walk,1021,"20 kilometres Race Walk, Men (Olympic)",Athletics,Athletics,Athletics,Athletics,men,men,pairs:;singles:20/kilometres,pairs:;singles:20/kilometres,individual,individual,,Olympic,16,310,75,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
2231,Athletics Men's 50 kilometres Walk,1022,"50 kilometres Race Walk, Men (Olympic)",Athletics,Athletics,Athletics,Athletics,men,men,pairs:;singles:50/kilometres,pairs:;singles:50/kilometres,individual,individual,,Olympic,19,332,63,0,2,REVIEW_ALIAS,medallas
2084,Swimming Men's 200 metres Freestyle,779,"200 metres Freestyle, Men (Olympic)",Aquatics,Aquatics,Swimming,Swimming,men,men,pairs:;singles:200/metres,pairs:;singles:200/metres,individual,individual,,Olympic,14,430,118,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
2085,Swimming Men's 4 x 100 metres Freestyle Relay,810,"4 × 100 metres Freestyle Relay, Men (Olympic)",Aquatics,Aquatics,Swimming,Swimming,men,men,relay distance equivalent,relay distance equivalent,relay|team,relay|team,,Olympic,12,552,59,0,0,VERIFIED_SAFE_ALIAS,relay distance equivalent after normalizing x/× notation; no position or medal incompatibility
2007,Swimming Men's 4 x 200 metres Freestyle Relay,781,"4 × 200 metres Freestyle Relay, Men (Olympic)",Aquatics,Aquatics,Swimming,Swimming,men,men,relay distance equivalent,relay distance equivalent,relay|team,relay|team,,Olympic,25,923,60,0,0,VERIFIED_SAFE_ALIAS,relay distance equivalent after normalizing x/× notation; no position or medal incompatibility
1951,Swimming Men's 100 metres Butterfly,783,"100 metres Butterfly, Men (Olympic)",Aquatics,Aquatics,Swimming,Swimming,men,men,pairs:;singles:100/metres,pairs:;singles:100/metres,individual,individual,,Olympic,13,371,121,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1952,Swimming Men's 200 metres Butterfly,784,"200 metres Butterfly, Men (Olympic)",Aquatics,Aquatics,Swimming,Swimming,men,men,pairs:;singles:200/metres,pairs:;singles:200/metres,individual,individual,,Olympic,16,332,93,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
2087,Swimming Men's 200 metres Individual Medley,803,"200 metres Individual Medley, Men (Olympic)",Aquatics,Aquatics,Swimming,Swimming,men,men,pairs:;singles:200/metres,pairs:;singles:200/metres,individual,individual,,Olympic,11,287,98,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
2088,Swimming Men's 400 metres Individual Medley,804,"400 metres Individual Medley, Men (Olympic)",Aquatics,Aquatics,Swimming,Swimming,men,men,pairs:;singles:400/metres,pairs:;singles:400/metres,individual,individual,,Olympic,14,256,88,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1953,Swimming Men's 4 x 100 metres Medley Relay,791,"4 × 100 metres Medley Relay, Men (Olympic)",Aquatics,Aquatics,Swimming,Swimming,men,men,relay distance equivalent,relay distance equivalent,relay|team,relay|team,,Olympic,15,772,63,0,0,VERIFIED_SAFE_ALIAS,relay distance equivalent after normalizing x/× notation; no position or medal incompatibility
2314,Swimming Women's 100 metres Butterfly,790,"100 metres Butterfly, Women (Olympic)",Aquatics,Aquatics,Swimming,Swimming,women,women,pairs:;singles:100/metres,pairs:;singles:100/metres,individual,individual,,Olympic,16,348,94,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
2213,Swimming Women's 200 metres Butterfly,801,"200 metres Butterfly, Women (Olympic)",Aquatics,Aquatics,Swimming,Swimming,women,women,pairs:;singles:200/metres,pairs:;singles:200/metres,individual,individual,,Olympic,13,222,66,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
2003,Athletics Men's 100 metres,43,"100 metres, Men (Olympic)",Athletics,Athletics,Athletics,Athletics,men,men,pairs:;singles:100/metres,pairs:;singles:100/metres,individual,individual,,Olympic,28,1242,193,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1920,Gymnastics Men's Individual All-Around,488,"Individual All-Around, Men (Olympic)",Gymnastics,Gymnastics,Artistic Gymnastics,Artistic Gymnastics,men,men,pairs:;singles:,pairs:;singles:,individual,individual,,Olympic,27,1329,79,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1921,Gymnastics Men's Team All-Around,489,"Team All-Around, Men (Olympic)",Gymnastics,Gymnastics,Artistic Gymnastics,Artistic Gymnastics,men,men,pairs:;singles:,pairs:;singles:,team,team,,Olympic,26,1250,45,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1922,Gymnastics Men's Floor Exercise,490,"Floor Exercise, Men (Olympic)",Gymnastics,Gymnastics,Artistic Gymnastics,Artistic Gymnastics,men,men,pairs:;singles:,pairs:;singles:,individual,individual,,Olympic,20,962,81,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1923,Gymnastics Men's Horse Vault,491,"Horse Vault, Men (Olympic)",Gymnastics,Gymnastics,Artistic Gymnastics,Artistic Gymnastics,men,men,pairs:;singles:,pairs:;singles:,individual,individual,,Olympic,24,950,74,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1924,Gymnastics Men's Parallel Bars,492,"Parallel Bars, Men (Olympic)",Gymnastics,Gymnastics,Artistic Gymnastics,Artistic Gymnastics,men,men,pairs:;singles:,pairs:;singles:,individual,individual,,Olympic,24,1046,80,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1925,Gymnastics Men's Horizontal Bar,493,"Horizontal Bar, Men (Olympic)",Gymnastics,Gymnastics,Artistic Gymnastics,Artistic Gymnastics,men,men,pairs:;singles:,pairs:;singles:,individual,individual,,Olympic,24,1040,79,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1926,Gymnastics Men's Rings,494,"Rings, Men (Olympic)",Gymnastics,Gymnastics,Artistic Gymnastics,Artistic Gymnastics,men,men,pairs:;singles:,pairs:;singles:,individual,individual,,Olympic,24,1036,78,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
1927,Gymnastics Men's Pommelled Horse,495,"Pommelled Horse, Men (Olympic)",Gymnastics,Gymnastics,Artistic Gymnastics,Artistic Gymnastics,men,men,pairs:;singles:,pairs:;singles:,individual,individual,,Olympic,23,1027,78,0,0,VERIFIED_SAFE_ALIAS,atributos semánticos compatibles; diferencias de nombre no discriminantes y evidencia contextual consistente
