id_participacion_origen,id_participacion_destino,id_evento_origen,id_evento_canonico,id_atleta_origen,anio,NOC,medalla_origen,posicion_origen,edad_origen,posicion_destino,edad_destino,verificacion,detalle
550083,507,2003,43,162,1896,GER,,,20,3,20,PASS,atributos duplicados/complementarios; destino existente
404886,63526,2003,43,30033,1896,GER,Silver,,24,2,24,PASS,atributos duplicados/complementarios; destino existente
353885,130026,2003,43,61247,1912,USA,Gold,,22,1,22,PASS,atributos duplicados/complementarios; destino existente
386472,133748,2003,43,63779,1996,AFG,,,26,8,26,PASS,atributos duplicados/complementarios; destino existente
424500,133749,2003,43,63780,1936,AFG,,,25,6,25,PASS,atributos duplicados/complementarios; destino existente
459687,52699,1920,488,28188,1948,FRA,,,21,22,21,PASS,atributos duplicados/complementarios; destino existente
459695,52707,1920,488,28188,1952,FRA,,,25,51,25,PASS,atributos duplicados/complementarios; destino existente
459703,52715,1920,488,28188,1956,FRA,,,30,40,30,PASS,atributos duplicados/complementarios; destino existente
459710,52722,1920,488,28188,1960,FRA,,,34,83,34,PASS,atributos duplicados/complementarios; destino existente
480413,54696,1920,488,28566,1936,JPN,,,21,68,21,PASS,atributos duplicados/complementarios; destino existente
459688,52700,1921,489,28188,1948,FRA,,,21,4,21,PASS,atributos duplicados/complementarios; destino existente
459696,52708,1921,489,28188,1952,FRA,,,25,12,25,PASS,atributos duplicados/complementarios; destino existente
459711,52723,1921,489,28188,1960,FRA,,,34,13,34,PASS,atributos duplicados/complementarios; destino existente
480414,54697,1921,489,28566,1936,JPN,,,21,9,21,PASS,atributos duplicados/complementarios; destino existente
441424,58093,1921,489,29129,1960,FRA,,,22,13,22,PASS,atributos duplicados/complementarios; destino existente
459689,52701,1922,490,28188,1948,FRA,,,21,10,21,PASS,atributos duplicados/complementarios; destino existente
459697,52709,1922,490,28188,1952,FRA,,,25,73,25,PASS,atributos duplicados/complementarios; destino existente
459704,52716,1922,490,28188,1956,FRA,,,30,33,30,PASS,atributos duplicados/complementarios; destino existente
459712,52724,1922,490,28188,1960,FRA,,,34,88,34,PASS,atributos duplicados/complementarios; destino existente
480415,54698,1922,490,28566,1936,JPN,,,21,77,21,PASS,atributos duplicados/complementarios; destino existente
459690,52702,1923,491,28188,1948,FRA,,,21,60,21,PASS,atributos duplicados/complementarios; destino existente
459698,52710,1923,491,28188,1952,FRA,,,25,54,25,PASS,atributos duplicados/complementarios; destino existente
459705,52717,1923,491,28188,1956,FRA,,,30,50,30,PASS,atributos duplicados/complementarios; destino existente
459713,52725,1923,491,28188,1960,FRA,,,34,110,34,PASS,atributos duplicados/complementarios; destino existente
480416,54699,1923,491,28566,1936,JPN,,,21,96,21,PASS,atributos duplicados/complementarios; destino existente
459691,52703,1924,492,28188,1948,FRA,,,21,14,21,PASS,atributos duplicados/complementarios; destino existente
459699,52711,1924,492,28188,1952,FRA,,,25,35,25,PASS,atributos duplicados/complementarios; destino existente
459706,52718,1924,492,28188,1956,FRA,,,30,28,30,PASS,atributos duplicados/complementarios; destino existente
459714,52726,1924,492,28188,1960,FRA,,,34,56,34,PASS,atributos duplicados/complementarios; destino existente
480417,54700,1924,492,28566,1936,JPN,,,21,25,21,PASS,atributos duplicados/complementarios; destino existente
459692,52704,1925,493,28188,1948,FRA,,,21,19,21,PASS,atributos duplicados/complementarios; destino existente
459700,52712,1925,493,28188,1952,FRA,,,25,48,25,PASS,atributos duplicados/complementarios; destino existente
459707,52719,1925,493,28188,1956,FRA,,,30,44,30,PASS,atributos duplicados/complementarios; destino existente
459715,52727,1925,493,28188,1960,FRA,,,34,28,34,PASS,atributos duplicados/complementarios; destino existente
480418,54701,1925,493,28566,1936,JPN,,,21,76,21,PASS,atributos duplicados/complementarios; destino existente
459693,52705,1926,494,28188,1948,FRA,,,21,47,21,PASS,atributos duplicados/complementarios; destino existente
459701,52713,1926,494,28188,1952,FRA,,,25,90,25,PASS,atributos duplicados/complementarios; destino existente
459708,52720,1926,494,28188,1956,FRA,,,30,41,30,PASS,atributos duplicados/complementarios; destino existente
459716,52728,1926,494,28188,1960,FRA,,,34,115,34,PASS,atributos duplicados/complementarios; destino existente
480419,54702,1926,494,28566,1936,JPN,,,21,72,21,PASS,atributos duplicados/complementarios; destino existente
459694,52706,1927,495,28188,1948,FRA,,,21,36,21,PASS,atributos duplicados/complementarios; destino existente
459702,52714,1927,495,28188,1952,FRA,,,25,32,25,PASS,atributos duplicados/complementarios; destino existente
459709,52721,1927,495,28188,1956,FRA,,,30,28,30,PASS,atributos duplicados/complementarios; destino existente
459717,52729,1927,495,28188,1960,FRA,,,34,77,34,PASS,atributos duplicados/complementarios; destino existente
480420,54703,1927,495,28566,1936,JPN,,,21,42,21,PASS,atributos duplicados/complementarios; destino existente
435100,96017,2084,779,44551,1984,AHO,,,17,38,17,PASS,atributos duplicados/complementarios; destino existente
410133,96035,2084,779,44557,1996,ALG,,,21,31,21,PASS,atributos duplicados/complementarios; destino existente
571003,96045,2084,779,44559,1980,ALG,,,17,37,17,PASS,atributos duplicados/complementarios; destino existente
446703,96079,2084,779,44572,1980,ANG,,,13,40,13,PASS,atributos duplicados/complementarios; destino existente
478150,96262,2084,779,44637,1968,ARG,,,24,13,24,PASS,atributos duplicados/complementarios; destino existente
327046,96026,2007,781,44554,1980,ALG,,,22,12,22,PASS,atributos duplicados/complementarios; destino existente
330627,96029,2007,781,44555,1980,ALG,,,16,12,16,PASS,atributos duplicados/complementarios; destino existente
396462,96032,2007,781,44556,1980,ALG,,,22,12,22,PASS,atributos duplicados/complementarios; destino existente
571004,96047,2007,781,44559,1980,ALG,,,17,12,17,PASS,atributos duplicados/complementarios; destino existente
325931,96183,2007,781,44605,1924,ARG,,,20,4,20,PASS,atributos duplicados/complementarios; destino existente
571061,96050,1951,783,44560,1980,ALG,,,21,27,21,PASS,atributos duplicados/complementarios; destino existente
356925,96073,1951,783,44568,1980,ANG,,,18,33,18,PASS,atributos duplicados/complementarios; destino existente
389092,96077,1951,783,44571,1988,ANG,,,16,51,16,PASS,atributos duplicados/complementarios; destino existente
446717,96084,1951,783,44573,1988,ANG,,,17,42,17,PASS,atributos duplicados/complementarios; destino existente
446719,96086,1951,783,44573,1992,ANG,,,21,53,21,PASS,atributos duplicados/complementarios; destino existente
571062,96051,1952,784,44560,1980,ALG,,,21,22,21,PASS,atributos duplicados/complementarios; destino existente
485907,96054,1952,784,44562,1996,AND,,,20,42,20,PASS,atributos duplicados/complementarios; destino existente
374334,96206,1952,784,44618,1960,ARG,,,18,18,18,PASS,atributos duplicados/complementarios; destino existente
478145,96256,1952,784,44637,1960,ARG,,,16,12,16,PASS,atributos duplicados/complementarios; destino existente
478147,96259,1952,784,44637,1964,ARG,,,20,11,20,PASS,atributos duplicados/complementarios; destino existente
380752,96065,2314,790,44565,1988,ANG,,,14,39,14,PASS,atributos duplicados/complementarios; destino existente
380755,96068,2314,790,44565,1992,ANG,,,17,48,17,PASS,atributos duplicados/complementarios; destino existente
