archivo,filas_antes,filas_despues,sha_antes,sha_despues,modificado
atleta.csv,336419,336418,97b2089e82ea1f0d3ad4102f3d234b8cbe9e8928d00bebe05c8f246e778baa18,7eeb08fdc6732120d2d2311183a5f821e71a60cd0f6609dd7a35d44f273ec172,SI
deporte.csv,65,65,b096ecfdde1d7abf3eabcfa6ad80a58a485ee5351ea4e053ffd571e373b3738a,b096ecfdde1d7abf3eabcfa6ad80a58a485ee5351ea4e053ffd571e373b3738a,NO
disciplina.csv,117,117,2335e257494e011a86904d00ca87ef3844740a20dd1e39af39e56ddd1e00b3c5,2335e257494e011a86904d00ca87ef3844740a20dd1e39af39e56ddd1e00b3c5,NO
edicion_olimpica.csv,61,61,2c51d0a0c43627e182ab6262173327af70ff0e4fa0f62dea7f8bde73964013b1,2c51d0a0c43627e182ab6262173327af70ff0e4fa0f62dea7f8bde73964013b1,NO
entidad_geografica.csv,282,282,3630e019afdd63e7afd1e0e98aa60faad7d627113ec45703c9b662bb294ecb67,3630e019afdd63e7afd1e0e98aa60faad7d627113ec45703c9b662bb294ecb67,NO
evento.csv,3007,2986,d40e80508e38a07e95d1a829ffc0d390477e92ff66d6f960c49cb985b35044cf,e32208a49873997e24b9de276e9f2c22357f65ab2d0cd0efacdb22361916424c,SI
noc.csv,236,236,5b687b1cfd49fa0da323f70dc0d053068fd22767df3a1c09f68e486965d17554,5b687b1cfd49fa0da323f70dc0d053068fd22767df3a1c09f68e486965d17554,NO
participacion.csv,733414,713678,e168d53a72fff69724a86e0d60d218f567d7140a229c904e1364bafb496abcc1,50f1cd693fd4219850dfc2f338ba832849814f233113d5040c8109047d598132,SI
poblacion.csv,17024,17024,73b271ae1dcd517538ec9dcb490d24ba54fcb48ac974d25df03fcb43d7026161,73b271ae1dcd517538ec9dcb490d24ba54fcb48ac974d25df03fcb43d7026161,NO
sede.csv,42,42,1e3f0148c394460798a1a88259413d9cbfac97aa4257cb0c4896eb5e576d11f5,1e3f0148c394460798a1a88259413d9cbfac97aa4257cb0c4896eb5e576d11f5,NO
